id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
1,Fábio Vieira,1,3,0,0,0,0,0,0.0,0.0,0.0,0
2,G.Jesus,1,4,3,2,0,6,152,154.4,119.5,255.0,600
3,Gabriel,1,2,3,2,0,9,459,584.6,208.8,287.0,2363
4,Havertz,1,4,9,3,0,14,343,467.6,269.0,711.0,1872
5,Hein,1,1,0,0,0,0,0,0.0,0.0,0.0,0
6,J.Timber,1,2,1,3,0,9,426,393.0,296.8,254.0,2415
7,Jorginho,1,3,0,0,0,0,112,44.8,88.8,8.0,701
8,Kiwior,1,2,1,0,0,2,178,267.2,91.3,32.0,1117
9,Martinelli,1,3,8,4,0,6,422,559.8,587.8,912.0,2284
12,Nwaneri,1,3,4,2,0,4,251,293.2,282.8,255.0,882
13,Ødegaard,1,3,3,9,0,11,529,524.6,968.7,493.0,2321
15,Raya,1,1,0,0,0,10,555,755.4,10.7,0.0,3420
16,Rice,1,3,4,7,0,17,627,733.0,959.6,399.0,2823
17,Saka,1,3,6,11,0,18,508,606.0,842.8,830.0,1724
18,Saliba,1,2,2,0,0,14,564,672.6,150.1,116.0,3039
20,Thomas,1,3,4,3,0,8,567,626.6,377.9,223.0,2793
21,Tierney,1,2,1,0,0,2,99,91.8,109.1,48.0,250
22,Tomiyasu,1,2,0,0,0,0,2,0.4,0.3,9.0,6
23,Trossard,1,3,8,8,0,18,561,609.0,617.6,798.0,2546
24,White,1,2,0,2,0,0,211,247.6,162.6,100.0,1195
25,Zinchenko,1,2,0,1,0,2,141,83.4,92.8,66.0,518
73,Neto,1,1,0,0,0,0,30,77.8,0.0,0.0,180
186,Sterling,1,3,0,2,0,0,64,67.2,125.5,122.0,490
578,Calafiori,1,2,2,1,0,1,142,252.6,118.2,176.0,978
597,Lewis-Skelly,1,3,1,0,0,0,237,176.0,170.7,57.0,1362
633,Merino,1,3,7,2,0,8,326,456.8,265.8,511.0,1575
638,Oulad M'hand,1,3,0,0,0,0,0,0.0,0.0,0.0,0
639,Setford,1,1,0,0,0,0,0,0.0,0.0,0.0,0
657,Kacurri,1,2,0,0,0,0,0,0.0,0.0,0.0,0
659,Kabia,1,3,0,0,0,0,0,0.0,0.0,0.0,0
662,Nichols,1,2,0,0,0,0,0,0.0,0.0,0.0,0
665,Butler-Oyedeji,1,4,0,0,0,0,5,3.0,0.0,17.0,6
735,Arteta,1,5,0,0,0,0,0,0.0,0.0,0.0,0
756,Porter,1,1,0,0,0,0,0,0.0,0.0,0.0,0
790,Gower,1,3,0,0,0,0,0,0.0,0.0,0.0,0
793,Jack Henry-Francis,1,3,0,0,0,0,0,0.0,0.0,0.0,0
801,Clarke,1,2,0,0,0,0,0,0.0,0.0,0.0,0
28,Bailey,2,3,1,2,0,2,174,146.4,235.8,325.0,1132
29,Barkley,2,3,3,1,0,5,166,215.4,128.1,206.0,567
30,Barrenechea,2,3,0,0,0,0,0,0.0,0.0,0.0,0
31,Buendia,2,3,0,0,0,0,37,16.4,23.2,16.0,89
32,Cash,2,2,1,1,0,2,286,359.2,181.0,171.0,2069
33,Dendoncker,2,3,0,0,0,0,0,0.0,0.0,0.0,0
34,Diaby,2,3,0,0,0,0,0,0.0,0.0,0.0,0
35,Diego Carlos,2,2,0,0,0,1,69,150.6,9.2,54.0,828
36,Digne,2,2,0,5,0,7,383,512.6,583.9,112.0,2348
37,Dobbin,2,3,0,0,0,0,0,0.0,0.0,0.0,0
38,Duran,2,4,7,0,0,9,222,273.8,68.9,334.0,622
39,Gauci,2,1,0,0,0,0,0,0.0,0.0,0.0,0
40,Hause,2,2,0,0,0,0,0,0.0,0.0,0.0,0
41,Iling Jr,2,3,0,0,0,0,0,0.0,0.0,0.0,0
42,Kamara,2,3,1,0,0,3,296,326.6,191.0,83.0,1720
43,Kesler-Hayden,2,2,0,0,0,0,0,0.0,0.0,0.0,0
44,Konsa,2,2,2,0,0,10,448,532.8,123.9,166.0,2936
45,Maatsen,2,2,1,2,0,0,204,252.0,293.4,197.0,1125
46,Marschall,2,1,0,0,0,0,0,0.0,0.0,0.0,0
47,Martinez,2,1,0,0,0,6,457,839.6,20.0,0.0,3195
48,McGinn,2,3,1,4,0,1,360,277.2,500.6,263.0,2217
49,Mings,2,2,0,1,0,5,207,220.4,49.2,74.0,1119
50,Nedeljkovic,2,2,0,0,0,0,11,22.8,7.2,0.0,121
51,Olsen,2,1,0,0,0,0,23,59.2,0.0,0.0,225
52,Pau,2,2,0,0,0,3,254,350.6,84.5,102.0,2019
53,Ramsey,2,3,1,4,0,3,265,235.4,307.9,245.0,1616
54,Rogers,2,3,8,11,0,15,534,730.6,722.7,689.0,3115
55,Sinisalo,2,1,0,0,0,0,0,0.0,0.0,0.0,0
56,Sousa,2,2,0,0,0,0,0,0.0,0.0,0.0,0
57,Tielemans,2,3,3,7,1,15,686,799.6,963.1,333.0,3025
58,Watkins,2,4,16,8,0,32,631,766.0,345.2,1148.0,2593
167,Disasi,2,2,1,0,0,0,133,169.6,75.6,51.0,851
233,Onana,2,3,3,0,0,5,324,358.0,194.8,215.0,1613
385,Rashford,2,3,6,4,0,9,333,398.4,451.1,369.0,1414
598,Bogarde,2,2,0,0,0,0,22,84.8,33.3,15.0,473
640,Swinkels,2,2,0,0,0,0,0,0.0,0.0,0.0,0
