id,web_name,team,element_type,bonus,bps,total_points,minutes,influence,creativity,threat
1,Fábio Vieira,1,3,0,0,0,0,0.0,0.0,0.0
2,G.Jesus,1,4,6,152,42,600,154.4,119.5,255.0
3,Gabriel,1,2,9,459,117,2363,584.6,208.8,287.0
4,Havertz,1,4,14,343,97,1872,467.6,269.0,711.0
5,Hein,1,1,0,0,0,0,0.0,0.0,0.0
6,J.Timber,1,2,9,426,114,2415,393.0,296.8,254.0
7,Jorginho,1,3,0,112,20,701,44.8,88.8,8.0
8,Kiwior,1,2,2,178,43,1117,267.2,91.3,32.0
9,Martinelli,1,3,6,422,125,2284,559.8,587.8,912.0
12,Nwaneri,1,3,4,251,66,882,293.2,282.8,255.0
13,Ødegaard,1,3,11,529,116,2321,524.6,968.7,493.0
15,Raya,1,1,10,555,142,3420,755.4,10.7,0.0
16,Rice,1,3,17,627,127,2823,733.0,959.6,399.0
17,Saka,1,3,18,508,127,1724,606.0,842.8,830.0
18,Saliba,1,2,14,564,130,3039,672.6,150.1,116.0
20,Thomas,1,3,8,567,108,2793,626.6,377.9,223.0
21,Tierney,1,2,2,99,27,250,91.8,109.1,48.0
22,Tomiyasu,1,2,0,2,1,6,0.4,0.3,9.0
23,Trossard,1,3,18,561,152,2546,609.0,617.6,798.0
24,White,1,2,0,211,50,1195,247.6,162.6,100.0
25,Zinchenko,1,2,2,141,40,518,83.4,92.8,66.0
73,Neto,1,1,0,30,7,180,77.8,0.0,0.0
186,Sterling,1,3,0,64,26,490,67.2,125.5,122.0
578,Calafiori,1,2,1,142,39,978,252.6,118.2,176.0
597,Lewis-Skelly,1,3,0,237,37,1362,176.0,170.7,57.0
633,Merino,1,3,8,326,92,1575,456.8,265.8,511.0
638,Oulad M'hand,1,3,0,0,0,0,0.0,0.0,0.0
639,Setford,1,1,0,0,0,0,0.0,0.0,0.0
657,Kacurri,1,2,0,0,0,0,0.0,0.0,0.0
659,Kabia,1,3,0,0,0,0,0.0,0.0,0.0
662,Nichols,1,2,0,0,0,0,0.0,0.0,0.0
665,Butler-Oyedeji,1,4,0,5,1,6,3.0,0.0,17.0
735,Arteta,1,5,0,0,104,0,0.0,0.0,0.0
756,Porter,1,1,0,0,0,0,0.0,0.0,0.0
790,Gower,1,3,0,0,0,0,0.0,0.0,0.0
793,Jack Henry-Francis,1,3,0,0,0,0,0.0,0.0,0.0
801,Clarke,1,2,0,0,0,0,0.0,0.0,0.0
28,Bailey,2,3,2,174,47,1132,146.4,235.8,325.0
29,Barkley,2,3,5,166,44,567,215.4,128.1,206.0
30,Barrenechea,2,3,0,0,0,0,0.0,0.0,0.0
31,Buendia,2,3,0,37,11,89,16.4,23.2,16.0
32,Cash,2,2,2,286,76,2069,359.2,181.0,171.0
33,Dendoncker,2,3,0,0,0,0,0.0,0.0,0.0
34,Diaby,2,3,0,0,0,0,0.0,0.0,0.0
35,Diego Carlos,2,2,1,69,21,828,150.6,9.2,54.0
36,Digne,2,2,7,383,89,2348,512.6,583.9,112.0
37,Dobbin,2,3,0,0,0,0,0.0,0.0,0.0
38,Duran,2,4,9,222,53,622,273.8,68.9,334.0
39,Gauci,2,1,0,0,0,0,0.0,0.0,0.0
40,Hause,2,2,0,0,0,0,0.0,0.0,0.0
41,Iling Jr,2,3,0,0,0,0,0.0,0.0,0.0
42,Kamara,2,3,3,296,57,1720,326.6,191.0,83.0
43,Kesler-Hayden,2,2,0,0,0,0,0.0,0.0,0.0
44,Konsa,2,2,10,448,103,2936,532.8,123.9,166.0
45,Maatsen,2,2,0,204,57,1125,252.0,293.4,197.0
46,Marschall,2,1,0,0,0,0,0.0,0.0,0.0
47,Martinez,2,1,6,457,111,3195,839.6,20.0,0.0
48,McGinn,2,3,1,360,78,2217,277.2,500.6,263.0
49,Mings,2,2,5,207,47,1119,220.4,49.2,74.0
50,Nedeljkovic,2,2,0,11,5,121,22.8,7.2,0.0
51,Olsen,2,1,0,23,9,225,59.2,0.0,0.0
52,Pau,2,2,3,254,55,2019,350.6,84.5,102.0
53,Ramsey,2,3,3,265,66,1616,235.4,307.9,245.0
54,Rogers,2,3,15,534,161,3115,730.6,722.7,689.0
55,Sinisalo,2,1,0,0,0,0,0.0,0.0,0.0
56,Sousa,2,2,0,0,0,0,0.0,0.0,0.0
57,Tielemans,2,3,15,686,121,3025,799.6,963.1,333.0
58,Watkins,2,4,32,631,186,2593,766.0,345.2,1148.0
167,Disasi,2,2,0,133,33,851,169.6,75.6,51.0
233,Onana,2,3,5,324,65,1613,358.0,194.8,215.0
385,Rashford,2,3,9,333,95,1414,398.4,451.1,369.0
598,Bogarde,2,2,0,22,6,473,84.8,33.3,15.0
640,Swinkels,2,2,0,0,0,0,0.0,0.0,0.0
641,Zych,2,1,0,0,0,0,0.0,0.0,0.0
656,Young,2,3,0,0,0,0,0.0,0.0,0.0
679,Broggio,2,3,0,0,0,0,0.0,0.0,0.0
710,Jimoh,2,3,0,0,0,0,0.0,0.0,0.0
725,Malen,2,3,3,112,34,296,138.2,42.7,208.0
731,A. Garcia,2,2,0,26,8,316,45.6,68.4,7.0
737,Emery,2,5,0,0,105,0,0.0,0.0,0.0
762,M.Asensio,2,3,6,158,44,740,200.6,232.5,242.0
59,Aarons,3,2,0,31,8,84,13.2,3.2,0.0
60,Adams,3,3,1,315,58,1959,411.8,261.2,83.0
61,Anthony,3,3,0,0,0,0,0.0,0.0,0.0
62,Brooks,3,3,2,204,52,941,193.6,316.7,300.0
63,Christie,3,3,5,435,76,2114,514.0,576.8,303.0
64,Cook,3,3,3,500,82,2976,607.0,727.1,114.0
65,Enes Ünal,3,4,4,97,32,330,104.0,56.1,207.0
66,Faivre,3,3,0,0,0,0,0.0,0.0,0.0
67,H.Traorè,3,3,0,0,0,0,0.0,0.0,0.0
68,Hill,3,2,0,55,17,443,97.0,38.4,29.0
69,Jebbison,3,4,1,67,20,105,58.2,39.1,70.0
70,Kerkez,3,2,10,550,134,3336,694.0,642.0,238.0
