id,web_name,team,element_type,now_cost,total_points,points_per_game,value_season,minutes,form
5,Hein,1,1,40,0,0.0,0.0,0,0.0
7,Jorginho,1,3,46,20,1.3,4.3,701,0.2
8,Kiwior,1,2,49,43,2.5,8.8,1117,2.8
12,Nwaneri,1,3,43,66,2.5,15.3,882,0.8
20,Thomas,1,3,49,108,3.1,22.0,2793,2.2
21,Tierney,1,2,43,27,2.1,6.3,250,3.0
22,Tomiyasu,1,2,48,1,1.0,0.2,6,0.0
25,Zinchenko,1,2,48,40,2.7,8.3,518,1.0
73,Neto,1,1,41,7,3.5,1.7,180,0.0
597,Lewis-Skelly,1,3,45,37,1.6,8.2,1362,1.8
638,Oulad M'hand,1,3,45,0,0.0,0.0,0,0.0
639,Setford,1,1,45,0,0.0,0.0,0,0.0
657,Kacurri,1,2,40,0,0.0,0.0,0,0.0
659,Kabia,1,3,45,0,0.0,0.0,0,0.0
662,Nichols,1,2,40,0,0.0,0.0,0,0.0
665,Butler-Oyedeji,1,4,45,1,1.0,0.2,6,0.0
735,Arteta,1,5,15,104,0.0,69.3,0,5.8
756,Porter,1,1,40,0,0.0,0.0,0,0.0
790,Gower,1,3,45,0,0.0,0.0,0,0.0
793,Jack Henry-Francis,1,3,45,0,0.0,0.0,0,0.0
801,Clarke,1,2,40,0,0.0,0.0,0,0.0
30,Barrenechea,2,3,49,0,0.0,0.0,0,0.0
32,Cash,2,2,44,76,2.8,17.3,2069,4.8
33,Dendoncker,2,3,45,0,0.0,0.0,0,0.0
35,Diego Carlos,2,2,45,21,2.1,4.7,828,0.0
36,Digne,2,2,44,89,2.8,20.2,2348,2.0
37,Dobbin,2,3,50,0,0.0,0.0,0,0.0
39,Gauci,2,1,40,0,0.0,0.0,0,0.0
40,Hause,2,2,39,0,0.0,0.0,0,0.0
42,Kamara,2,3,50,57,2.2,11.4,1720,4.5
43,Kesler-Hayden,2,2,40,0,0.0,0.0,0,0.0
44,Konsa,2,2,45,103,3.0,22.9,2936,6.8
45,Maatsen,2,2,45,57,2.0,12.7,1125,3.5
46,Marschall,2,1,40,0,0.0,0.0,0,0.0
47,Martinez,2,1,50,111,3.0,22.2,3195,5.2
49,Mings,2,2,44,47,3.4,10.7,1119,1.5
50,Nedeljkovic,2,2,39,5,1.0,1.3,121,0.0
51,Olsen,2,1,45,9,2.2,2.0,225,0.2
52,Pau,2,2,42,55,2.3,13.1,2019,3.5
