id,web_name,team,element_type,clean_sheets,goals_conceded,minutes,total_points,now_cost
3,Gabriel,1,2,10,22,2363,117,61
5,Hein,1,1,0,0,0,0,40
6,J.Timber,1,2,11,21,2415,114,55
8,Kiwior,1,2,3,15,1117,43,49
15,Raya,1,1,13,34,3420,142,56
18,Saliba,1,2,12,29,3039,130,64
21,Tierney,1,2,1,1,250,27,43
22,Tomiyasu,1,2,0,0,6,1,48
24,White,1,2,5,13,1195,50,62
25,Zinchenko,1,2,4,1,518,40,48
73,Neto,1,1,0,2,180,7,41
578,Calafiori,1,2,1,12,978,39,58
639,Setford,1,1,0,0,0,0,45
657,Kacurri,1,2,0,0,0,0,40
662,Nichols,1,2,0,0,0,0,40
756,Porter,1,1,0,0,0,0,40
801,Clarke,1,2,0,0,0,0,40
32,Cash,2,2,7,22,2069,76,44
35,Diego Carlos,2,2,2,15,828,21,45
36,Digne,2,2,6,36,2348,89,44
39,Gauci,2,1,0,0,0,0,40
40,Hause,2,2,0,0,0,0,39
43,Kesler-Hayden,2,2,0,0,0,0,40
44,Konsa,2,2,8,45,2936,103,45
45,Maatsen,2,2,3,16,1125,57,45
46,Marschall,2,1,0,0,0,0,40
47,Martinez,2,1,8,47,3195,111,50
49,Mings,2,2,4,11,1119,47,44
50,Nedeljkovic,2,2,0,4,121,5,39
51,Olsen,2,1,1,6,225,9,45
52,Pau,2,2,5,33,2019,55,42
55,Sinisalo,2,1,0,0,0,0,40
56,Sousa,2,2,0,0,0,0,40
167,Disasi,2,2,3,12,851,33,42
598,Bogarde,2,2,0,11,473,6,39
640,Swinkels,2,2,0,0,0,0,40
641,Zych,2,1,0,0,0,0,40
731,A. Garcia,2,2,0,5,316,8,45
59,Aarons,3,2,1,0,84,8,43
68,Hill,3,2,1,9,443,17,39
70,Kerkez,3,2,9,45,3336,134,53
72,Mepham,3,2,0,0,0,0,44
75,Paulsen,3,1,0,0,0,0,40
79,Senesi,3,2,2,17,1103,31,46
81,Smith,3,2,6,18,1586,57,44
84,Travers,3,1,1,5,450,19,44
85,Zabarnyi,3,2,8,42,3109,94,44
152,Arrizabalaga,3,1,8,39,2790,106,46
580,Huijsen,3,2,7,31,2422,104,45
592,J.Araujo,3,2,0,10,492,12,43
599,Dennis,3,1,0,0,0,0,39
680,Kinsey,3,2,0,0,0,0,40
702,Harris,3,2,0,0,0,0,40
712,Akinmboni,3,2,0,0,0,0,40
713,Soler,3,2,0,1,9,3,39
727,McKenna,3,1,0,0,0,0,40
86,Ajer,4,2,3,25,1433,39,44
88,Collins,4,2,8,57,3420,127,46
91,Flekken,4,1,7,55,3275,138,45
92,Henry,4,2,0,3,94,4,43
93,Hickey,4,2,0,0,0,0,43
