id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,yellow_cards,red_cards,bonus,bps,minutes,form,points_per_game
3,Gabriel,1,61,117,3,2,10,22,0,4,0,9,459,2363,0.0,4.2
6,J.Timber,1,55,114,1,3,11,21,0,7,0,9,426,2415,0.0,3.8
8,Kiwior,1,49,43,1,0,3,15,0,1,0,2,178,1117,2.8,2.5
18,Saliba,1,64,130,2,0,12,29,0,2,1,14,564,3039,0.8,3.7
21,Tierney,1,43,27,1,0,1,1,0,0,0,2,99,250,3.0,2.1
22,Tomiyasu,1,48,1,0,0,0,0,0,0,0,0,2,6,0.0,1.0
24,White,1,62,50,0,2,5,13,0,2,0,0,211,1195,3.2,2.9
25,Zinchenko,1,48,40,0,1,4,1,0,1,0,2,141,518,1.0,2.7
578,Calafiori,1,58,39,2,1,1,12,0,4,0,1,142,978,0.5,2.1
657,Kacurri,1,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
662,Nichols,1,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
801,Clarke,1,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32,Cash,2,44,76,1,1,7,22,0,7,0,2,286,2069,4.8,2.8
35,Diego Carlos,2,45,21,0,0,2,15,0,1,0,1,69,828,0.0,2.1
36,Digne,2,44,89,0,5,6,36,0,4,0,7,383,2348,2.0,2.8
40,Hause,2,39,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
43,Kesler-Hayden,2,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
44,Konsa,2,45,103,2,0,8,45,0,1,0,10,448,2936,6.8,3.0
45,Maatsen,2,45,57,1,2,3,16,0,2,0,0,204,1125,3.5,2.0
49,Mings,2,44,47,0,1,4,11,0,1,0,5,207,1119,1.5,3.4
50,Nedeljkovic,2,39,5,0,0,0,4,0,0,0,0,11,121,0.0,1.0
52,Pau,2,42,55,0,0,5,33,0,2,0,3,254,2019,3.5,2.3
56,Sousa,2,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
167,Disasi,2,42,33,1,0,3,12,0,3,0,0,133,851,0.0,2.5
598,Bogarde,2,39,6,0,0,0,11,0,2,0,0,22,473,0.0,0.8
640,Swinkels,2,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
731,A. Garcia,2,45,8,0,0,0,5,0,0,0,0,26,316,0.0,1.1
59,Aarons,3,43,8,0,0,1,0,0,0,0,0,31,84,0.0,2.7
68,Hill,3,39,17,0,1,1,9,0,1,0,0,55,443,0.0,1.7
70,Kerkez,3,53,134,2,6,9,45,0,4,0,10,550,3336,2.8,3.5
72,Mepham,3,44,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
79,Senesi,3,46,31,0,0,2,17,0,5,0,3,114,1103,1.8,1.8
81,Smith,3,44,57,0,0,6,18,0,7,0,0,161,1586,2.0,2.3
85,Zabarnyi,3,44,94,0,1,8,42,0,4,1,8,429,3109,3.8,2.6
580,Huijsen,3,45,104,3,2,7,31,0,10,0,14,449,2422,3.2,3.2
592,J.Araujo,3,43,12,0,0,0,10,0,2,0,0,20,492,0.8,1.0
680,Kinsey,3,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
702,Harris,3,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
712,Akinmboni,3,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
713,Soler,3,39,3,0,0,0,1,0,0,0,0,8,9,0.5,1.0
86,Ajer,4,44,39,0,0,3,25,0,5,0,0,120,1433,0.2,1.6
88,Collins,4,46,127,2,7,8,57,0,5,0,11,549,3420,4.6,3.3
92,Henry,4,43,4,0,0,0,3,0,0,0,0,5,94,0.4,0.8
93,Hickey,4,43,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
96,Ji-soo,4,39,3,0,0,0,0,0,0,0,0,8,28,0.0,1.0
100,Mee,4,42,9,0,0,1,4,0,2,0,0,30,180,0.0,1.3
104,Pinnock,4,44,47,2,0,2,35,1,2,0,0,233,1912,0.0,2.1
105,Roerslev,4,43,36,0,2,2,20,0,2,0,0,125,1100,0.0,1.9
112,Zanka,4,45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
338,Van den Berg,4,41,62,0,1,5,49,0,3,0,1,266,2584,3.0,2.0
649,Meghoma,4,40,1,0,0,0,0,0,0,0,0,3,4,0.0,1.0
705,Arthur,4,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
757,Kayode,4,45,27,0,1,2,5,0,2,0,0,115,523,4.0,2.2
786,Benjamin Fredrick,4,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
116,Barco,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120,Dunk,5,42,44,0,1,4,42,1,5,0,0,223,2081,0.5,1.8
122,Estupiñan,5,49,63,1,1,3,44,0,5,0,7,313,2399,2.5,2.1
128,Igor,5,43,18,0,0,1,17,0,4,0,0,113,959,0.2,1.4
131,Lamptey,5,44,42,2,2,2,21,0,0,0,1,99,856,0.5,2.8
139,Offiah,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
144,Van Hecke,5,45,87,1,1,7,47,0,6,1,7,406,2960,3.0,2.6
145,Veltman,5,43,59,0,0,6,24,0,5,0,7,249,1694,0.2,2.8
147,Webster,5,43,39,0,1,4,11,0,1,0,2,167,885,3.2,2.8
628,F.Kadıoğlu,5,44,19,1,0,2,8,0,1,0,0,59,385,0.0,3.2
663,Samuels,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
681,McConville,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
685,Slater,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
763,Cashin,5,45,1,0,0,0,2,0,0,0,0,-2,19,0.0,0.5
791,Charlie Tasker,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
794,Freddie Simmonds,5,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
153,B.Badiashile,6,42,7,0,0,0,5,0,0,0,0,35,332,0.0,1.4
159,Chalobah,6,44,93,3,1,6,25,0,3,0,11,379,1969,0.8,3.7
162,Colwill,6,44,109,2,1,10,41,0,9,0,6,461,3150,5.8,3.1
163,Cucurella,6,54,133,5,2,9,38,0,8,1,14,533,2988,6.5,3.7
170,Gilchrist,6,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
171,Gusto,6,49,60,0,1,4,26,0,4,0,2,285,1853,1.0,1.9
172,James,6,48,54,1,2,3,14,0,1,0,5,223,1057,4.5,2.8
176,M.Sarr,6,45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
187,Tosin,6,42,71,1,1,7,14,0,4,0,7,305,1403,3.5,3.2
189,W.Fofana,6,43,26,0,0,2,13,0,7,0,2,162,1172,0.0,1.9
575,Wiley,6,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
697,Acheampong,6,40,4,0,0,0,3,0,1,0,0,8,168,0.0,1.0
774,Anselmino,6,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
782,Samuels-Smith,6,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
