can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,226597,0,0,1,-1,2,2,0.0,0.0,0,Gabriel,0.0,3,False,Hamstring injury - Expected back 01 Jun,2025-04-01T22:00:07.982867Z,61,226597.jpg,4.2,False,dos Santos Magalhães,12.2,False,,i,1,3,117,5093448,0,5431768,0,0.0,19.2,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,28,2.70,1.21,3.91,23.09,0,0,0,0,0,0,0,108,40,202,45,120,11,135,36,,,,,,,0.1,0.0,0.05,0.15,0.88,0.84,70,6,789,266,34,2,34,13,1.07,0.38,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,445122,0,0,0,0,2,2,0.0,0.0,0,Jurriën,0.0,6,False,Ankle injury - Expected back 01 Jun,2025-05-16T14:00:08.018204Z,55,445122.jpg,3.8,False,Timber,4.3,False,,i,1,3,114,1963751,0,1640941,0,0.0,20.7,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,27,1.23,1.30,2.53,21.09,0,0,0,0,0,0,0,186,69,145,29,135,15,158,41,,,,,,,0.05,0.0,0.05,0.1,0.79,0.78,115,12,779,265,63,8,88,32,1.01,0.41,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,440854,0,0,-1,1,1,2,4.5,4.3,2,Jakub,2.8,8,False,,,49,440854.jpg,2.5,False,Kiwior,3.8,False,,a,1,3,43,518152,0,114231,0,0.6,8.8,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,1117,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,10,0.17,0.29,0.46,14.71,0,0,0,0,0,0,0,260,97,310,96,377,128,328,108,,,,,,,0.01,0.0,0.02,0.03,1.19,1.21,263,32,143,38,212,68,101,38,0.81,0.24,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,462424,0,0,4,-4,3,2,0.0,0.0,0,William,0.8,18,False,Hamstring injury - Expected back 01 Jun,2025-05-18T20:30:07.323616Z,64,462424.jpg,3.7,False,Saliba,25.8,False,,i,1,3,130,4071193,0,5556474,0,0.1,20.3,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,3039,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,35,2.42,1.28,3.70,30.32,0,0,0,0,0,0,0,68,27,246,66,257,72,159,42,,,,,,,0.07,0.0,0.04,0.11,0.9,0.86,50,4,321,95,76,12,10,2,1.04,0.36,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,192895,0,0,-2,2,1,2,2.2,4.5,10,Kieran,3.0,21,False,,2024-08-12T14:30:04.394338Z,43,192895.jpg,2.1,False,Tierney,0.1,False,,a,1,3,27,16286,0,13951,0,0.7,6.3,Tierney,243.0,2019-08-08,1997-06-05,False,p192895,250,1,0,1,1,0,0,0,0,0,0,2,99,91.8,109.1,48.0,25.0,2,0.38,0.54,0.92,2.69,0,0,0,0,0,0,0,405,146,286,84,343,115,377,127,,,,,,,0.14,0.0,0.19,0.33,0.97,0.36,570,117,120,33,265,84,470,164,0.72,0.36,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,223723,0,0,-2,2,0,2,0.0,0.0,0,Tomiyasu,0.0,22,False,Knee injury - Expected back 01 Jun,2024-10-18T16:00:06.930143Z,48,223723.jpg,1.0,False,Takehiro,0.0,False,,i,1,3,1,2219,0,8129,0,0.0,0.2,Tomiyasu,108.0,2021-08-31,1998-11-05,False,p223723,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.00,0.18,0.04,0,0,0,0,0,0,0,547,194,516,190,437,159,525,184,,,,,,,2.7,0.0,0.0,2.7,0.6,0.0,300,37,716,257,516,177,599,207,0.0,0.0,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,198869,0,0,-3,3,0,2,4.2,4.7,5,Benjamin,3.2,24,False,,2025-04-12T20:00:08.123863Z,62,198869.jpg,2.9,False,White,4.4,False,,a,1,3,50,431657,0,1011245,0,0.5,8.1,White,241.0,2021-07-30,1997-10-08,False,p198869,1195,0,2,5,13,0,0,0,2,0,0,0,211,247.6,162.6,100.0,51.0,13,0.46,1.30,1.76,16.88,0,0,0,0,0,0,0,274,103,237,59,276,82,291,88,,,,,,,0.03,0.0,0.1,0.13,1.27,0.98,57,5,111,31,158,44,87,31,0.98,0.38,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,206325,0,0,-2,2,1,2,2.2,2.5,2,Oleksandr,1.0,25,False,,2024-12-09T09:30:06.099861Z,48,206325.jpg,2.7,False,Zinchenko,0.9,False,,a,1,3,40,110618,0,323972,0,0.2,8.3,Zinchenko,225.0,2022-07-22,1996-12-15,False,p206325,518,0,1,4,1,0,0,0,1,0,0,2,141,83.4,92.8,66.0,24.1,5,0.65,0.52,1.17,3.21,0,0,0,0,0,0,0,411,148,309,95,317,99,382,130,,,,,,,0.11,0.0,0.09,0.2,0.56,0.17,296,35,278,82,185,56,214,82,0.87,0.69,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,466075,0,0,-2,2,1,2,2.2,2.0,0,Riccardo,0.5,578,False,,2025-03-24T14:30:09.477149Z,58,466075.jpg,2.1,False,Calafiori,1.5,False,,a,1,3,39,285601,0,425538,0,0.1,6.7,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,11,0.86,0.69,1.55,10.28,0,0,0,0,0,0,0,271,101,277,78,201,40,283,84,,,,,,,0.08,0.0,0.06,0.14,0.95,1.1,91,8,359,109,286,90,159,63,1.01,0.09,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,588793,0,0,0,0,0,2,0.0,0.0,0,Maldini,0.0,657,False,Loaned to Bromley,2025-02-04T10:52:26.271821Z,40,588793.jpg,0.0,False,Kacurri,0.0,False,,u,1,3,0,11257,0,10392,0,0.0,0.0,Kacurri,2.0,2024-09-14,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,645,239,633,238,594,229,645,239,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,712,219,516,197,652,238,551,192,0.0,0.0,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
