id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
1,Fábio Vieira,1,3,0,0,0,0,0,0,0,0,0
2,G.Jesus,1,4,2,5,0,0,4,0,0,6,600
3,Gabriel,1,2,10,22,0,0,4,0,0,9,2363
4,Havertz,1,4,7,20,0,0,5,0,0,14,1872
5,Hein,1,1,0,0,0,0,0,0,0,0,0
6,J.Timber,1,2,11,21,0,0,7,0,0,9,2415
7,Jorginho,1,3,2,7,0,0,5,0,0,0,701
8,Kiwior,1,2,3,15,0,0,1,0,0,2,1117
9,Martinelli,1,3,10,25,0,0,1,0,0,6,2284
12,Nwaneri,1,3,4,4,0,0,1,0,0,4,882
13,Ødegaard,1,3,11,21,0,0,4,0,0,11,2321
15,Raya,1,1,13,34,0,0,3,0,86,10,3420
16,Rice,1,3,11,29,0,0,5,1,0,17,2823
17,Saka,1,3,7,21,0,0,3,0,0,18,1724
18,Saliba,1,2,12,29,0,0,2,1,0,14,3039
20,Thomas,1,3,9,30,0,0,4,0,0,8,2793
21,Tierney,1,2,1,1,0,0,0,0,0,2,250
22,Tomiyasu,1,2,0,0,0,0,0,0,0,0,6
23,Trossard,1,3,11,27,0,0,2,1,0,18,2546
24,White,1,2,5,13,0,0,2,0,0,0,1195
25,Zinchenko,1,2,4,1,0,0,1,0,0,2,518
73,Neto,1,1,0,2,0,0,0,0,11,0,180
186,Sterling,1,3,1,4,0,0,1,0,0,0,490
578,Calafiori,1,2,1,12,0,0,4,0,0,1,978
597,Lewis-Skelly,1,3,5,16,0,0,3,2,0,0,1362
633,Merino,1,3,4,17,0,0,2,1,0,8,1575
638,Oulad M'hand,1,3,0,0,0,0,0,0,0,0,0
639,Setford,1,1,0,0,0,0,0,0,0,0,0
657,Kacurri,1,2,0,0,0,0,0,0,0,0,0
659,Kabia,1,3,0,0,0,0,0,0,0,0,0
662,Nichols,1,2,0,0,0,0,0,0,0,0,0
665,Butler-Oyedeji,1,4,0,0,0,0,0,0,0,0,6
735,Arteta,1,5,0,0,0,0,0,0,0,0,0
756,Porter,1,1,0,0,0,0,0,0,0,0,0
790,Gower,1,3,0,0,0,0,0,0,0,0,0
793,Jack Henry-Francis,1,3,0,0,0,0,0,0,0,0,0
801,Clarke,1,2,0,0,0,0,0,0,0,0,0
28,Bailey,2,3,2,19,0,0,3,0,0,2,1132
29,Barkley,2,3,1,10,0,0,3,0,0,5,567
30,Barrenechea,2,3,0,0,0,0,0,0,0,0,0
31,Buendia,2,3,0,2,0,0,1,0,0,0,89
32,Cash,2,2,7,22,0,0,7,0,0,2,2069
33,Dendoncker,2,3,0,0,0,0,0,0,0,0,0
34,Diaby,2,3,0,0,0,0,0,0,0,0,0
35,Diego Carlos,2,2,2,15,0,0,1,0,0,1,828
36,Digne,2,2,6,36,0,0,4,0,0,7,2348
37,Dobbin,2,3,0,0,0,0,0,0,0,0,0
38,Duran,2,4,2,14,0,0,3,1,0,9,622
39,Gauci,2,1,0,0,0,0,0,0,0,0,0
40,Hause,2,2,0,0,0,0,0,0,0,0,0
41,Iling Jr,2,3,0,0,0,0,0,0,0,0,0
42,Kamara,2,3,6,22,0,0,2,0,0,3,1720
43,Kesler-Hayden,2,2,0,0,0,0,0,0,0,0,0
44,Konsa,2,2,8,45,0,0,1,0,0,10,2936
45,Maatsen,2,2,3,16,0,0,2,0,0,0,1125
46,Marschall,2,1,0,0,0,0,0,0,0,0,0
47,Martinez,2,1,8,47,0,1,5,1,100,6,3195
48,McGinn,2,3,8,34,0,0,7,0,0,1,2217
49,Mings,2,2,4,11,0,0,1,0,0,5,1119
50,Nedeljkovic,2,2,0,4,0,0,0,0,0,0,121
51,Olsen,2,1,1,6,0,0,0,0,8,0,225
52,Pau,2,2,5,33,0,0,2,0,0,3,2019
53,Ramsey,2,3,5,26,0,0,2,1,0,3,1616
54,Rogers,2,3,10,40,0,0,10,0,0,15,3115
55,Sinisalo,2,1,0,0,0,0,0,0,0,0,0
56,Sousa,2,2,0,0,0,0,0,0,0,0,0
57,Tielemans,2,3,7,46,0,0,4,0,0,15,3025
58,Watkins,2,4,10,40,0,0,2,0,0,32,2593
167,Disasi,2,2,3,12,0,0,3,0,0,0,851
233,Onana,2,3,6,23,0,0,4,0,0,5,1613
385,Rashford,2,3,7,15,0,0,2,0,0,9,1414
598,Bogarde,2,2,0,11,0,0,2,0,0,0,473
640,Swinkels,2,2,0,0,0,0,0,0,0,0,0
641,Zych,2,1,0,0,0,0,0,0,0,0,0
656,Young,2,3,0,0,0,0,0,0,0,0,0
679,Broggio,2,3,0,0,0,0,0,0,0,0,0
710,Jimoh,2,3,0,0,0,0,0,0,0,0,0
725,Malen,2,3,0,6,0,0,0,0,0,3,296
731,A. Garcia,2,2,0,5,0,0,0,0,0,0,316
737,Emery,2,5,0,0,0,0,0,0,0,0,0
762,M.Asensio,2,3,3,8,0,0,2,0,0,6,740
59,Aarons,3,2,1,0,0,0,0,0,0,0,84
60,Adams,3,3,6,30,0,0,7,0,0,1,1959
61,Anthony,3,3,0,0,0,0,0,0,0,0,0
62,Brooks,3,3,3,12,0,0,3,0,0,2,941
63,Christie,3,3,8,28,0,0,9,0,0,5,2114
64,Cook,3,3,5,44,0,0,8,1,0,3,2976
65,Enes Ünal,3,4,2,3,0,0,2,0,0,4,330
66,Faivre,3,3,0,0,0,0,0,0,0,0,0
67,H.Traorè,3,3,0,0,0,0,0,0,0,0,0
68,Hill,3,2,1,9,0,0,1,0,0,0,443
69,Jebbison,3,4,0,2,0,0,1,0,0,1,105
