id,web_name,team,element_type,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,goals_scored,assists,minutes,now_cost
1,Fábio Vieira,1,3,0.00,0.00,0.00,0.00,0,0,0,54
2,G.Jesus,1,4,3.05,0.52,3.57,5.82,3,2,600,65
3,Gabriel,1,2,2.70,1.21,3.91,23.09,3,2,2363,61
4,Havertz,1,4,9.53,1.65,11.18,19.32,9,3,1872,77
5,Hein,1,1,0.00,0.00,0.00,0.00,0,0,0,40
6,J.Timber,1,2,1.23,1.30,2.53,21.09,1,3,2415,55
7,Jorginho,1,3,0.06,0.59,0.65,6.05,0,0,701,46
8,Kiwior,1,2,0.17,0.29,0.46,14.71,1,0,1117,49
9,Martinelli,1,3,7.13,4.46,11.59,26.22,8,4,2284,65
12,Nwaneri,1,3,1.19,1.78,2.97,5.38,4,2,882,43
13,Ødegaard,1,3,4.85,6.68,11.53,22.16,3,9,2321,82
15,Raya,1,1,0.00,0.03,0.03,35.03,0,0,3420,56
16,Rice,1,3,3.51,5.64,9.14,27.13,4,7,2823,63
17,Saka,1,3,6.87,7.78,14.65,17.72,6,11,1724,104
18,Saliba,1,2,2.42,1.28,3.70,30.32,2,0,3039,64
20,Thomas,1,3,2.27,2.64,4.91,30.83,4,3,2793,49
21,Tierney,1,2,0.38,0.54,0.92,2.69,1,0,250,43
22,Tomiyasu,1,2,0.18,0.00,0.18,0.04,0,0,6,48
23,Trossard,1,3,6.74,4.12,10.86,24.76,8,8,2546,67
24,White,1,2,0.46,1.30,1.76,16.88,0,2,1195,62
25,Zinchenko,1,2,0.65,0.52,1.17,3.21,0,1,518,48
73,Neto,1,1,0.00,0.00,0.00,2.91,0,0,180,41
186,Sterling,1,3,1.43,0.48,1.91,4.33,0,2,490,67
578,Calafiori,1,2,0.86,0.69,1.55,10.28,2,1,978,58
597,Lewis-Skelly,1,3,0.16,0.51,0.67,16.65,1,0,1362,45
633,Merino,1,3,5.75,1.18,6.93,15.71,7,2,1575,60
638,Oulad M'hand,1,3,0.00,0.00,0.00,0.00,0,0,0,45
639,Setford,1,1,0.00,0.00,0.00,0.00,0,0,0,45
657,Kacurri,1,2,0.00,0.00,0.00,0.00,0,0,0,40
659,Kabia,1,3,0.00,0.00,0.00,0.00,0,0,0,45
662,Nichols,1,2,0.00,0.00,0.00,0.00,0,0,0,40
665,Butler-Oyedeji,1,4,0.07,0.00,0.07,0.04,0,0,6,45
735,Arteta,1,5,0.00,0.00,0.00,0.00,0,0,0,15
756,Porter,1,1,0.00,0.00,0.00,0.00,0,0,0,40
790,Gower,1,3,0.00,0.00,0.00,0.00,0,0,0,45
793,Jack Henry-Francis,1,3,0.00,0.00,0.00,0.00,0,0,0,45
801,Clarke,1,2,0.00,0.00,0.00,0.00,0,0,0,40
28,Bailey,2,3,1.73,2.92,4.65,13.91,1,2,1132,62
29,Barkley,2,3,1.79,0.43,2.22,6.32,3,1,567,52
30,Barrenechea,2,3,0.00,0.00,0.00,0.00,0,0,0,49
31,Buendia,2,3,0.65,0.03,0.68,2.27,0,0,89,51
32,Cash,2,2,0.48,1.23,1.71,28.64,1,1,2069,44
33,Dendoncker,2,3,0.00,0.00,0.00,0.00,0,0,0,45
34,Diaby,2,3,0.00,0.00,0.00,0.00,0,0,0,65
35,Diego Carlos,2,2,0.64,0.08,0.72,11.88,0,0,828,45
36,Digne,2,2,0.80,3.97,4.77,34.94,0,5,2348,44
37,Dobbin,2,3,0.00,0.00,0.00,0.00,0,0,0,50
38,Duran,2,4,5.11,0.24,5.35,9.94,7,0,622,57
39,Gauci,2,1,0.00,0.00,0.00,0.00,0,0,0,40
40,Hause,2,2,0.00,0.00,0.00,0.00,0,0,0,39
41,Iling Jr,2,3,0.00,0.00,0.00,0.00,0,0,0,54
42,Kamara,2,3,0.82,0.83,1.65,23.03,1,0,1720,50
43,Kesler-Hayden,2,2,0.00,0.00,0.00,0.00,0,0,0,40
44,Konsa,2,2,1.29,0.61,1.90,43.82,2,0,2936,45
45,Maatsen,2,2,0.87,2.43,3.30,17.31,1,2,1125,45
46,Marschall,2,1,0.00,0.00,0.00,0.00,0,0,0,40
47,Martinez,2,1,0.00,0.02,0.02,44.99,0,0,3195,50
48,McGinn,2,3,3.10,2.70,5.80,35.03,1,4,2217,52
49,Mings,2,2,0.88,0.23,1.11,13.20,0,1,1119,44
50,Nedeljkovic,2,2,0.00,0.02,0.02,2.23,0,0,121,39
51,Olsen,2,1,0.00,0.00,0.00,5.50,0,0,225,45
52,Pau,2,2,0.51,0.43,0.94,29.69,0,0,2019,42
53,Ramsey,2,3,1.59,2.18,3.77,23.99,1,4,1616,54
54,Rogers,2,3,6.49,5.24,11.73,43.70,8,11,3115,58
55,Sinisalo,2,1,0.00,0.00,0.00,0.00,0,0,0,40
56,Sousa,2,2,0.00,0.00,0.00,0.00,0,0,0,40
57,Tielemans,2,3,3.31,5.83,9.14,43.87,3,7,3025,55
58,Watkins,2,4,15.12,2.07,17.19,38.62,16,8,2593,92
167,Disasi,2,2,0.37,0.37,0.74,16.70,1,0,851,42
233,Onana,2,3,2.12,0.84,2.96,23.66,3,0,1613,48
385,Rashford,2,3,4.67,3.43,8.10,21.68,6,4,1414,66
598,Bogarde,2,2,0.04,0.13,0.17,9.28,0,0,473,39
640,Swinkels,2,2,0.00,0.00,0.00,0.00,0,0,0,40
641,Zych,2,1,0.00,0.00,0.00,0.00,0,0,0,40
656,Young,2,3,0.00,0.00,0.00,0.00,0,0,0,44
679,Broggio,2,3,0.00,0.00,0.00,0.00,0,0,0,45
710,Jimoh,2,3,0.00,0.00,0.00,0.00,0,0,0,45
725,Malen,2,3,2.15,0.15,2.30,4.77,3,0,296,53
731,A. Garcia,2,2,0.04,0.49,0.53,6.49,0,0,316,45
737,Emery,2,5,0.00,0.00,0.00,0.00,0,0,0,8
762,M.Asensio,2,3,4.43,1.16,5.59,11.11,3,2,740,60
59,Aarons,3,2,0.00,0.01,0.01,0.28,0,0,84,43
60,Adams,3,3,1.33,0.76,2.09,29.26,0,3,1959,49
61,Anthony,3,3,0.00,0.00,0.00,0.00,0,0,0,45
62,Brooks,3,3,2.58,2.02,4.60,15.03,2,1,941,49
63,Christie,3,3,2.14,2.90,5.04,30.17,2,3,2114,48
64,Cook,3,3,0.94,3.76,4.70,45.25,1,4,2976,50
65,Enes Ünal,3,4,2.73,0.26,2.99,6.38,2,1,330,54
66,Faivre,3,3,0.00,0.00,0.00,0.00,0,0,0,50
67,H.Traorè,3,3,0.00,0.00,0.00,0.00,0,0,0,45
68,Hill,3,2,0.29,0.25,0.54,8.54,0,1,443,39
69,Jebbison,3,4,1.05,0.12,1.17,2.05,1,0,105,45
70,Kerkez,3,2,0.60,2.57,3.17,48.69,2,6,3336,53
71,Kluivert,3,3,10.05,3.66,13.71,32.60,12,6,2339,59
72,Mepham,3,2,0.00,0.00,0.00,0.00,0,0,0,44
74,O.Dango,3,3,8.42,3.24,11.66,31.96,7,4,1998,45
75,Paulsen,3,1,0.00,0.00,0.00,0.00,0,0,0,40
76,Philip,3,3,0.55,0.97,1.52,3.35,0,0,176,48
77,Scott,3,3,0.73,1.00,1.73,10.14,0,0,745,47
78,Semenyo,3,3,9.51,4.43,13.94,44.18,11,7,3202,57
79,Senesi,3,2,0.84,0.48,1.32,14.76,0,0,1103,46
80,Sinisterra,3,3,1.18,1.29,2.47,4.08,1,1,229,48
81,Smith,3,2,0.65,0.68,1.33,19.04,0,0,1586,44
83,Tavernier,3,3,5.51,3.65,9.16,25.42,3,7,1932,54
84,Travers,3,1,0.00,0.01,0.01,7.36,0,0,450,44
85,Zabarnyi,3,2,1.20,0.76,1.96,42.54,0,1,3109,44
152,Arrizabalaga,3,1,0.06,0.03,0.09,38.83,0,0,2790,46
580,Huijsen,3,2,1.82,1.57,3.39,37.44,3,2,2422,45
592,J.Araujo,3,2,0.00,0.10,0.10,9.69,0,0,492,43
599,Dennis,3,1,0.00,0.00,0.00,0.00,0,0,0,39
617,Evanilson,3,4,12.47,1.74,14.21,26.78,10,5,2317,59
680,Kinsey,3,2,0.00,0.00,0.00,0.00,0,0,0,40
687,Winterburn,3,3,0.00,0.00,0.00,0.16,0,0,22,45
702,Harris,3,2,0.00,0.00,0.00,0.00,0,0,0,40
707,Rees-Dottin,3,4,0.00,0.00,0.00,0.00,0,0,1,45
712,Akinmboni,3,2,0.00,0.00,0.00,0.00,0,0,0,40
713,Soler,3,2,0.00,0.00,0.00,0.08,0,0,9,39
722,Adu-Adjei,3,4,0.00,0.00,0.00,0.00,0,0,0,45
723,Sadi,3,3,0.00,0.00,0.00,0.00,0,0,0,45
727,McKenna,3,1,0.00,0.00,0.00,0.00,0,0,0,40
728,Silcott-Duberry,3,3,0.00,0.00,0.00,0.04,0,0,1,45
738,Iraola,3,5,0.00,0.00,0.00,0.00,0,0,0,11
86,Ajer,4,2,0.97,0.48,1.45,21.70,0,0,1433,44
87,Brierley,4,3,0.00,0.00,0.00,0.00,0,0,0,44
88,Collins,4,2,2.44,1.57,4.01,56.31,2,7,3420,46
89,Damsgaard,4,3,2.91,7.01,9.92,45.60,2,10,2911,49
90,Dasilva,4,3,0.00,0.00,0.00,0.00,0,0,0,48
91,Flekken,4,1,0.00,0.11,0.11,54.82,0,2,3275,45
92,Henry,4,2,0.00,0.01,0.01,2.16,0,0,94,43
93,Hickey,4,2,0.00,0.00,0.00,0.00,0,0,0,43
94,Janelt,4,3,0.83,2.38,3.21,37.37,1,3,2251,48
95,Jensen,4,3,0.23,1.75,1.98,16.41,0,2,846,53
96,Ji-soo,4,2,0.00,0.00,0.00,0.32,0,0,28,39
97,Konak,4,3,0.15,0.00,0.15,1.79,0,0,53,44
98,Lewis-Potter,4,3,2.96,4.94,7.90,50.62,1,5,3092,50
99,Mbeumo,4,3,12.52,9.24,21.75,55.40,20,9,3415,83
100,Mee,4,2,0.00,0.02,0.02,2.71,0,0,180,42
101,Nørgaard,4,3,4.23,1.38,5.61,44.54,5,5,2820,48
102,Onyeka,4,3,0.00,0.02,0.02,0.69,0,0,23,49
103,Peart-Harris,4,3,0.00,0.00,0.00,0.00,0,0,0,45
104,Pinnock,4,2,1.08,0.64,1.72,34.33,2,0,1912,44
105,Roerslev,4,2,0.20,2.09,2.29,21.52,0,2,1100,43
106,Schade,4,3,8.45,1.75,10.20,30.66,11,4,2281,53
107,Thiago,4,4,0.13,0.04,0.17,3.54,0,0,167,59
108,Toney,4,4,0.00,0.00,0.00,0.00,0,0,0,73
109,Valdimarsson,4,1,0.00,0.00,0.00,1.49,0,0,144,39
110,Wissa,4,4,18.58,2.20,20.77,45.12,18,6,2921,69
111,Yarmoliuk,4,3,0.62,0.91,1.53,26.43,0,0,1435,43
112,Zanka,4,2,0.00,0.00,0.00,0.00,0,0,0,45
314,Carvalho,4,3,2.49,0.54,3.03,11.46,2,1,443,45
338,Van den Berg,4,2,2.09,0.52,2.61,44.61,0,1,2584,41
