id,web_name,team,now_cost,total_points,goals_scored,assists,bonus,bps,influence,creativity,threat,ict_index,penalties_missed,minutes,form,points_per_game
2,G.Jesus,1,65,42,3,2,6,152,154.4,119.5,255.0,52.6,0,600,0.0,2.5
4,Havertz,1,77,97,9,3,14,343,467.6,269.0,711.0,144.8,0,1872,0.2,4.2
665,Butler-Oyedeji,1,45,1,0,0,0,5,3.0,0.0,17.0,2.0,0,6,0.0,1.0
38,Duran,2,57,53,7,0,9,222,273.8,68.9,334.0,67.5,0,622,0.0,2.6
58,Watkins,2,92,186,16,8,32,631,766.0,345.2,1148.0,223.8,0,2593,4.5,4.9
65,Enes Ünal,3,54,32,2,1,4,97,104.0,56.1,207.0,35.9,0,330,0.0,1.9
69,Jebbison,3,45,20,1,0,1,67,58.2,39.1,70.0,16.6,0,105,2.2,1.2
617,Evanilson,3,59,128,10,5,20,487,456.0,331.9,966.0,174.8,1,2317,3.0,4.1
707,Rees-Dottin,3,45,1,0,0,0,3,0.0,0.0,0.0,0.0,0,1,0.0,1.0
722,Adu-Adjei,3,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
107,Thiago,4,59,9,0,0,0,32,18.2,30.6,12.0,5.8,0,167,0.8,1.1
108,Toney,4,73,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
110,Wissa,4,69,185,18,6,32,739,849.4,400.0,1181.0,242.4,0,2921,5.2,5.3
780,Morgan,4,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
129,João Pedro,5,55,126,10,6,26,516,567.0,456.0,644.0,166.0,0,1946,0.0,4.7
138,O’Mahony,5,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
143,Undav,5,55,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
148,Welbeck,5,55,125,10,5,21,484,550.2,331.3,676.0,155.8,0,2109,3.8,4.2
164,D.D.Fofana,6,54,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
165,Deivid,6,49,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
175,Lukaku,6,63,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
178,Marc Guiu,6,47,3,0,0,0,11,4.4,11.8,6.0,2.2,0,71,0.0,1.0
180,N.Jackson,6,77,121,10,6,17,417,546.4,368.3,976.0,187.4,0,2220,0.0,4.0
781,Mheuka,6,45,1,0,0,0,5,3.0,0.0,17.0,2.0,0,1,0.0,1.0
11,Nketiah,7,59,53,3,2,4,186,192.2,163.7,475.0,82.5,0,1018,3.8,1.8
207,Mateta,7,75,150,14,2,27,576,671.6,405.4,800.0,187.3,0,2642,1.5,4.1
676,Marsh,7,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
156,Broja,8,53,12,0,0,0,23,20.2,53.8,43.0,10.9,0,327,0.0,1.2
218,Beto,8,48,87,8,0,11,295,373.2,163.9,666.0,119.5,0,1521,4.5,2.9
220,Calvert-Lewin,8,54,63,3,2,3,157,200.2,126.1,573.0,89.2,0,1602,1.0,2.4
229,Maupay,8,49,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
232,Ndiaye,8,52,114,9,0,21,552,598.0,326.4,493.0,142.0,0,2426,4.5,3.5
237,Y. Chermiti,8,49,3,0,0,0,9,2.4,0.6,27.0,3.0,0,42,0.2,0.8
724,Sherif,8,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
251,Muniz,9,55,86,8,1,14,349,352.4,95.3,508.0,95.4,0,943,0.0,2.8
252,Raúl,9,53,147,12,3,26,539,612.8,372.2,1018.0,199.7,0,2486,5.5,3.9
256,Stansfield,9,50,1,0,0,0,2,0.0,0.0,0.0,0.0,0,1,0.0,1.0
