can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,205651,0,0,-5,5,2,4,0.0,0.0,0,Gabriel,0.0,2,False,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z,65,205651.jpg,2.5,False,Fernando de Jesus,1.0,False,,i,1,3,42,1238437,0,1409940,0,0.0,6.5,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,349,33,276,31,134,32,287,33,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,43,20,795,83,216,25,200,32,0.9,0.3,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,219847,0,0,-3,3,1,4,1.5,1.7,1,Kai,0.2,4,False,,2025-02-12T09:00:08.755570Z,77,219847.jpg,4.2,False,Havertz,6.2,False,,a,1,3,97,2644355,0,3530099,0,0.0,12.6,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,21,9.53,1.65,11.18,19.32,0,0,0,0,0,0,0,155,18,161,18,34,15,81,17,,,,,3.0,,0.46,0.0,0.08,0.54,0.93,0.96,14,4,413,40,36,10,61,13,1.01,0.34,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,,,461025,0,0,0,0,0,4,1.5,1.5,0,Nathan,0.0,665,False,,,45,461025.jpg,1.0,False,Butler-Oyedeji,0.2,False,,a,1,3,1,59288,0,48771,0,0.0,0.2,Butler-Oyedeji,241.0,2024-09-18,2003-01-04,False,p461025,6,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.0,17.0,2.0,0,0.07,0.00,0.07,0.04,0,0,0,0,0,0,0,531,55,701,61,411,54,509,56,,,,,,,1.05,0.0,0.0,1.05,0.6,0.0,397,66,618,45,492,51,386,62,0.0,0.0,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,476344,0,0,-3,3,0,4,0.0,0.0,0,Jhon,0.0,38,False,Loaned to Al-Nassr,2025-02-03T10:25:17.104554Z,57,476344.jpg,2.6,False,Durán,1.6,False,,u,2,7,53,1376643,0,1337176,0,0.0,9.3,Duran,48.0,2023-01-23,,False,p476344,622,7,0,2,14,0,0,0,3,1,0,9,222,273.8,68.9,334.0,67.5,4,5.11,0.24,5.35,9.94,0,0,0,0,0,0,0,256,23,337,35,102,30,241,29,,,,,,,0.74,0.0,0.03,0.77,1.44,2.03,99,26,785,81,200,24,156,23,0.58,0.29,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,178301,0,0,2,-2,6,4,5.3,4.5,2,Ollie,4.5,58,True,,2025-03-19T15:30:06.831986Z,92,178301.jpg,4.9,False,Watkins,29.0,False,,a,2,7,186,6498525,0,6903884,0,0.5,20.2,Watkins,241.0,2020-09-09,1995-12-30,False,p178301,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,31,15.12,2.07,17.19,38.62,0,0,0,0,0,0,0,40,6,118,10,6,4,15,5,,,,,1.0,,0.52,0.0,0.07,0.59,1.34,1.39,8,3,51,7,13,6,8,3,1.08,0.35,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,168636,0,0,-1,1,0,4,0.0,0.0,0,Enes,0.0,65,False,Knee injury - Expected back 01 Jun,2025-01-09T16:30:08.243030Z,54,168636.jpg,1.9,False,Ünal,0.1,False,,i,3,91,32,47246,0,47831,0,0.0,5.9,Enes Ünal,219.0,2024-07-01,1997-05-10,False,p168636,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,2,2.73,0.26,2.99,6.38,0,0,0,0,0,0,0,395,36,353,39,169,35,341,37,,,4.0,,,,0.74,0.0,0.07,0.81,1.74,0.82,126,35,770,76,321,36,520,70,0.55,0.55,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,523700,0,0,0,0,0,4,2.7,2.7,1,Daniel,2.2,69,False,,2024-08-31T06:32:40.630710Z,45,523700.jpg,1.2,False,Jebbison,1.1,False,,a,3,91,20,485696,0,572087,0,0.5,4.4,Jebbison,39.0,2024-07-10,2003-08-13,False,p523700,105,1,0,0,2,0,0,0,1,0,0,1,67,58.2,39.1,70.0,16.6,0,1.05,0.12,1.17,2.05,0,0,0,0,0,0,0,433,42,383,44,310,44,412,42,,,,,,,0.9,0.0,0.1,1.0,1.76,1.71,438,70,169,17,437,45,196,31,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,444102,0,0,-1,1,2,4,3.5,3.5,2,Francisco Evanilson,3.0,617,False,,2025-04-27T22:30:08.577290Z,59,444102.jpg,4.1,False,de Lima Barbosa,8.5,False,,a,3,91,128,2362311,0,1424881,0,0.5,21.7,Evanilson,30.0,2024-08-16,1999-10-06,False,p444102,2317,10,5,11,30,0,0,1,1,1,0,20,487,456.0,331.9,966.0,174.8,28,12.47,1.74,14.21,26.78,0,0,0,0,0,0,0,158,19,125,11,13,7,58,12,,,,,2.0,,0.48,0.0,0.07,0.55,1.04,1.17,85,24,135,15,39,12,44,8,1.09,0.43,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,,,606774,0,0,0,0,0,4,0.5,0.5,0,Remy,0.0,707,False,,,45,606774.jpg,1.0,False,Rees-Dottin,0.1,False,,a,3,91,1,18771,0,13803,0,0.0,0.2,Rees-Dottin,241.0,2024-12-28,2006-03-06,False,p606774,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,766,73,763,73,746,73,766,73,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,484,82,689,59,504,57,502,69,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,,,590760,0,0,0,0,0,4,0.5,0.5,0,Daniel,0.0,722,False,,,45,590760.jpg,0.0,False,Adu-Adjei,0.0,False,,a,3,91,0,9542,0,5551,0,0.0,0.0,Adu-Adjei,241.0,2022-12-19,2005-06-21,False,p590760,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,760,71,757,71,740,71,760,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,475,79,683,57,763,74,552,75,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
