id,web_name,team,element_type,goals_scored,assists,goal_involvement,minutes,total_points,now_cost
1,Fábio Vieira,1,3,0,0,0,0,0,54
2,G.Jesus,1,4,3,2,5,600,42,65
3,Gabriel,1,2,3,2,5,2363,117,61
4,Havertz,1,4,9,3,12,1872,97,77
5,Hein,1,1,0,0,0,0,0,40
6,J.Timber,1,2,1,3,4,2415,114,55
7,Jorginho,1,3,0,0,0,701,20,46
8,Kiwior,1,2,1,0,1,1117,43,49
9,Martinelli,1,3,8,4,12,2284,125,65
12,Nwaneri,1,3,4,2,6,882,66,43
13,Ødegaard,1,3,3,9,12,2321,116,82
15,Raya,1,1,0,0,0,3420,142,56
16,Rice,1,3,4,7,11,2823,127,63
17,Saka,1,3,6,11,17,1724,127,104
18,Saliba,1,2,2,0,2,3039,130,64
20,Thomas,1,3,4,3,7,2793,108,49
21,Tierney,1,2,1,0,1,250,27,43
22,Tomiyasu,1,2,0,0,0,6,1,48
23,Trossard,1,3,8,8,16,2546,152,67
24,White,1,2,0,2,2,1195,50,62
25,Zinchenko,1,2,0,1,1,518,40,48
73,Neto,1,1,0,0,0,180,7,41
186,Sterling,1,3,0,2,2,490,26,67
578,Calafiori,1,2,2,1,3,978,39,58
597,Lewis-Skelly,1,3,1,0,1,1362,37,45
633,Merino,1,3,7,2,9,1575,92,60
638,Oulad M'hand,1,3,0,0,0,0,0,45
639,Setford,1,1,0,0,0,0,0,45
657,Kacurri,1,2,0,0,0,0,0,40
659,Kabia,1,3,0,0,0,0,0,45
662,Nichols,1,2,0,0,0,0,0,40
665,Butler-Oyedeji,1,4,0,0,0,6,1,45
735,Arteta,1,5,0,0,0,0,104,15
756,Porter,1,1,0,0,0,0,0,40
790,Gower,1,3,0,0,0,0,0,45
793,Jack Henry-Francis,1,3,0,0,0,0,0,45
801,Clarke,1,2,0,0,0,0,0,40
28,Bailey,2,3,1,2,3,1132,47,62
29,Barkley,2,3,3,1,4,567,44,52
30,Barrenechea,2,3,0,0,0,0,0,49
31,Buendia,2,3,0,0,0,89,11,51
32,Cash,2,2,1,1,2,2069,76,44
33,Dendoncker,2,3,0,0,0,0,0,45
34,Diaby,2,3,0,0,0,0,0,65
35,Diego Carlos,2,2,0,0,0,828,21,45
36,Digne,2,2,0,5,5,2348,89,44
37,Dobbin,2,3,0,0,0,0,0,50
38,Duran,2,4,7,0,7,622,53,57
39,Gauci,2,1,0,0,0,0,0,40
40,Hause,2,2,0,0,0,0,0,39
41,Iling Jr,2,3,0,0,0,0,0,54
42,Kamara,2,3,1,0,1,1720,57,50
43,Kesler-Hayden,2,2,0,0,0,0,0,40
44,Konsa,2,2,2,0,2,2936,103,45
45,Maatsen,2,2,1,2,3,1125,57,45
46,Marschall,2,1,0,0,0,0,0,40
47,Martinez,2,1,0,0,0,3195,111,50
48,McGinn,2,3,1,4,5,2217,78,52
49,Mings,2,2,0,1,1,1119,47,44
50,Nedeljkovic,2,2,0,0,0,121,5,39
51,Olsen,2,1,0,0,0,225,9,45
52,Pau,2,2,0,0,0,2019,55,42
53,Ramsey,2,3,1,4,5,1616,66,54
54,Rogers,2,3,8,11,19,3115,161,58
55,Sinisalo,2,1,0,0,0,0,0,40
56,Sousa,2,2,0,0,0,0,0,40
57,Tielemans,2,3,3,7,10,3025,121,55
58,Watkins,2,4,16,8,24,2593,186,92
167,Disasi,2,2,1,0,1,851,33,42
233,Onana,2,3,3,0,3,1613,65,48
385,Rashford,2,3,6,4,10,1414,95,66
598,Bogarde,2,2,0,0,0,473,6,39
640,Swinkels,2,2,0,0,0,0,0,40
641,Zych,2,1,0,0,0,0,0,40
656,Young,2,3,0,0,0,0,0,44
679,Broggio,2,3,0,0,0,0,0,45
710,Jimoh,2,3,0,0,0,0,0,45
725,Malen,2,3,3,0,3,296,34,53
731,A. Garcia,2,2,0,0,0,316,8,45
737,Emery,2,5,0,0,0,0,105,8
762,M.Asensio,2,3,3,2,5,740,44,60
59,Aarons,3,2,0,0,0,84,8,43
60,Adams,3,3,0,3,3,1959,58,49
61,Anthony,3,3,0,0,0,0,0,45
62,Brooks,3,3,2,1,3,941,52,49
63,Christie,3,3,2,3,5,2114,76,48
64,Cook,3,3,1,4,5,2976,82,50
65,Enes Ünal,3,4,2,1,3,330,32,54
66,Faivre,3,3,0,0,0,0,0,50
67,H.Traorè,3,3,0,0,0,0,0,45
68,Hill,3,2,0,1,1,443,17,39
69,Jebbison,3,4,1,0,1,105,20,45
70,Kerkez,3,2,2,6,8,3336,134,53
71,Kluivert,3,3,12,6,18,2339,158,59
72,Mepham,3,2,0,0,0,0,0,44
74,O.Dango,3,3,7,4,11,1998,111,45
75,Paulsen,3,1,0,0,0,0,0,40
76,Philip,3,3,0,0,0,176,10,48
77,Scott,3,3,0,0,0,745,26,47
78,Semenyo,3,3,11,7,18,3202,165,57
79,Senesi,3,2,0,0,0,1103,31,46
80,Sinisterra,3,3,1,1,2,229,23,48
81,Smith,3,2,0,0,0,1586,57,44
83,Tavernier,3,3,3,7,10,1932,87,54
84,Travers,3,1,0,0,0,450,19,44
85,Zabarnyi,3,2,0,1,1,3109,94,44
152,Arrizabalaga,3,1,0,0,0,2790,106,46
580,Huijsen,3,2,3,2,5,2422,104,45
592,J.Araujo,3,2,0,0,0,492,12,43
599,Dennis,3,1,0,0,0,0,0,39
617,Evanilson,3,4,10,5,15,2317,128,59
680,Kinsey,3,2,0,0,0,0,0,40
687,Winterburn,3,3,0,0,0,22,4,45
702,Harris,3,2,0,0,0,0,0,40
707,Rees-Dottin,3,4,0,0,0,1,1,45
712,Akinmboni,3,2,0,0,0,0,0,40
713,Soler,3,2,0,0,0,9,3,39
722,Adu-Adjei,3,4,0,0,0,0,0,45
723,Sadi,3,3,0,0,0,0,0,45
727,McKenna,3,1,0,0,0,0,0,40
728,Silcott-Duberry,3,3,0,0,0,1,1,45
738,Iraola,3,5,0,0,0,0,82,11
86,Ajer,4,2,0,0,0,1433,39,44
87,Brierley,4,3,0,0,0,0,0,44
88,Collins,4,2,2,7,9,3420,127,46
89,Damsgaard,4,3,2,10,12,2911,131,49
90,Dasilva,4,3,0,0,0,0,0,48
91,Flekken,4,1,0,2,2,3275,138,45
92,Henry,4,2,0,0,0,94,4,43
93,Hickey,4,2,0,0,0,0,0,43
94,Janelt,4,3,1,3,4,2251,73,48
95,Jensen,4,3,0,2,2,846,38,53
96,Ji-soo,4,2,0,0,0,28,3,39
97,Konak,4,3,0,0,0,53,10,44
98,Lewis-Potter,4,3,1,5,6,3092,94,50
99,Mbeumo,4,3,20,9,29,3415,236,83
100,Mee,4,2,0,0,0,180,9,42
101,Nørgaard,4,3,5,5,10,2820,107,48
102,Onyeka,4,3,0,0,0,23,2,49
103,Peart-Harris,4,3,0,0,0,0,0,45
104,Pinnock,4,2,2,0,2,1912,47,44
105,Roerslev,4,2,0,2,2,1100,36,43
106,Schade,4,3,11,4,15,2281,149,53
107,Thiago,4,4,0,0,0,167,9,59
108,Toney,4,4,0,0,0,0,0,73
109,Valdimarsson,4,1,0,0,0,144,2,39
110,Wissa,4,4,18,6,24,2921,185,69
111,Yarmoliuk,4,3,0,0,0,1435,43,43
112,Zanka,4,2,0,0,0,0,0,45
314,Carvalho,4,3,2,1,3,443,35,45
338,Van den Berg,4,2,0,1,1,2584,62,41
602,Trevitt,4,3,0,0,0,3,1,44
634,G.Nunes,4,3,0,0,0,11,3,49
649,Meghoma,4,2,0,0,0,4,1,40
661,Yogane,4,3,0,0,0,0,0,45
674,Maghoma,4,3,0,0,0,112,8,45
705,Arthur,4,2,0,0,0,0,0,40
752,Frank,4,5,0,0,0,0,116,8
757,Kayode,4,2,0,1,1,523,27,45
759,Eyestone,4,1,0,0,0,0,0,40
780,Morgan,4,4,0,0,0,0,0,45
786,Benjamin Fredrick,4,2,0,0,0,0,0,40
113,Adingra,5,3,2,3,5,1081,60,51
114,Baker-Boaitey,5,3,0,0,0,0,0,45
115,Baleba,5,3,3,1,4,2660,87,50
116,Barco,5,2,0,0,0,0,0,40
118,Cozier-Duberry,5,3,0,0,0,0,0,45
119,Dahoud,5,3,0,0,0,0,0,49
120,Dunk,5,2,0,1,1,2081,44,42
122,Estupiñan,5,2,1,1,2,2399,63,49
124,Gilmour,5,3,0,0,0,97,3,50
125,Gross,5,3,0,0,0,0,0,65
126,Hinshelwood,5,3,5,3,8,1839,89,49
127,I.Osman,5,3,0,0,0,0,0,50
128,Igor,5,2,0,0,0,959,18,43
129,João Pedro,5,4,10,6,16,1946,126,55
130,Kozlowski,5,3,0,0,0,0,0,45
131,Lamptey,5,2,2,2,4,856,42,44
132,March,5,3,0,0,0,161,7,65
133,Mazilu,5,3,0,0,0,0,0,45
134,Milner,5,3,0,0,0,170,6,50
135,Minteh,5,3,6,5,11,1831,102,48
136,Mitoma,5,3,10,5,15,2597,145,63
137,Moder,5,3,0,0,0,9,4,44
138,O’Mahony,5,4,0,0,0,0,0,45
139,Offiah,5,2,0,0,0,0,0,40
140,Peupion,5,3,0,0,0,0,0,44
141,Sarmiento,5,3,0,0,0,8,1,49
142,Steele,5,1,0,0,0,180,9,40
143,Undav,5,4,0,0,0,0,0,55
144,Van Hecke,5,2,1,1,2,2960,87,45
145,Veltman,5,2,0,0,0,1694,59,43
146,Verbruggen,5,1,0,1,1,3240,103,45
147,Webster,5,2,0,1,1,885,39,43
148,Welbeck,5,4,10,5,15,2109,125,55
149,Wieffer,5,3,1,5,6,1003,52,47
595,Gruda,5,3,1,4,5,676,45,54
600,Ayari,5,3,2,1,3,1958,74,50
601,Moran,5,3,0,0,0,0,0,50
615,Rushworth,5,1,0,0,0,0,0,39
618,Georginio,5,3,5,6,11,1651,95,50
628,F.Kadıoğlu,5,2,1,0,1,385,19,44
629,O'Riley,5,3,2,3,5,929,50,55
663,Samuels,5,2,0,0,0,0,0,40
668,Cahill,5,1,0,0,0,0,0,39
681,McConville,5,2,0,0,0,0,0,40
