id,web_name,team,now_cost,total_points,saves,penalties_saved,clean_sheets,goals_conceded,bonus,minutes,form,points_per_game
5,Hein,1,40,0,0,0,0,0,0,0,0.0,0.0
15,Raya,1,56,142,86,0,13,34,10,3420,3.0,3.7
73,Neto,1,41,7,11,0,0,2,0,180,0.0,3.5
639,Setford,1,45,0,0,0,0,0,0,0,0.0,0.0
756,Porter,1,40,0,0,0,0,0,0,0,0.0,0.0
39,Gauci,2,40,0,0,0,0,0,0,0,0.0,0.0
46,Marschall,2,40,0,0,0,0,0,0,0,0.0,0.0
47,Martinez,2,50,111,100,1,8,47,6,3195,5.2,3.0
51,Olsen,2,45,9,8,0,1,6,0,225,0.2,2.2
55,Sinisalo,2,40,0,0,0,0,0,0,0,0.0,0.0
641,Zych,2,40,0,0,0,0,0,0,0,0.0,0.0
75,Paulsen,3,40,0,0,0,0,0,0,0,0.0,0.0
84,Travers,3,44,19,20,0,1,5,1,450,0.0,3.8
152,Arrizabalaga,3,46,106,97,0,8,39,7,2790,3.0,3.4
599,Dennis,3,39,0,0,0,0,0,0,0,0.0,0.0
727,McKenna,3,40,0,0,0,0,0,0,0,0.0,0.0
91,Flekken,4,45,138,153,0,7,55,12,3275,5.6,3.7
109,Valdimarsson,4,39,2,3,0,0,2,0,144,0.0,1.0
759,Eyestone,4,40,0,0,0,0,0,0,0,0.0,0.0
142,Steele,5,40,9,3,0,1,1,1,180,0.0,4.5
146,Verbruggen,5,45,103,91,0,7,58,6,3240,3.8,2.9
615,Rushworth,5,39,0,0,0,0,0,0,0,0.0,0.0
668,Cahill,5,39,0,0,0,0,0,0,0,0.0,0.0
154,Bergström,6,39,0,0,0,0,0,0,0,0.0,0.0
155,Bettinelli,6,39,0,0,0,0,0,0,0,0.0,0.0
183,Petrović,6,44,0,0,0,0,0,0,0,0.0,0.0
185,Sánchez,6,45,126,95,1,10,34,11,2880,4.0,3.9
581,Jørgensen,6,42,18,20,0,1,9,0,540,0.0,3.0
201,Henderson,7,46,135,104,1,11,51,8,3420,3.0,3.6
209,Matthews,7,39,0,0,0,0,0,0,0,0.0,0.0
445,Turner,7,39,0,0,0,0,0,0,0,0.0,0.0
227,J.Virginia,8,38,0,0,0,0,0,0,0,0.0,0.0
235,Pickford,8,52,158,122,2,12,44,15,3420,5.5,4.2
624,Begovic,8,40,0,0,0,0,0,0,0,0.0,0.0
242,Benda,9,39,0,0,0,0,0,0,0,0.0,0.0
