id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
1,Fábio Vieira,1,54,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
7,Jorginho,1,46,20,0,0,2,5,0,0,112,44.8,88.8,8.0,14.2,701,0.2,1.3
9,Martinelli,1,65,125,8,4,10,1,0,6,422,559.8,587.8,912.0,206.1,2284,3.5,3.8
12,Nwaneri,1,43,66,4,2,4,1,0,4,251,293.2,282.8,255.0,83.0,882,0.8,2.5
13,Ødegaard,1,82,116,3,9,11,4,0,11,529,524.6,968.7,493.0,198.8,2321,6.5,3.9
16,Rice,1,63,127,4,7,11,5,1,17,627,733.0,959.6,399.0,208.8,2823,5.5,3.6
17,Saka,1,104,127,6,11,7,3,0,18,508,606.0,842.8,830.0,227.9,1724,2.0,5.1
20,Thomas,1,49,108,4,3,9,4,0,8,567,626.6,377.9,223.0,123.2,2793,2.2,3.1
23,Trossard,1,67,152,8,8,11,2,1,18,561,609.0,617.6,798.0,202.1,2546,4.0,4.0
186,Sterling,1,67,26,0,2,1,1,0,0,64,67.2,125.5,122.0,31.3,490,0.8,1.5
597,Lewis-Skelly,1,45,37,1,0,5,3,2,0,237,176.0,170.7,57.0,40.0,1362,1.8,1.6
633,Merino,1,60,92,7,2,4,2,1,8,326,456.8,265.8,511.0,123.3,1575,1.8,3.3
638,Oulad M'hand,1,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
659,Kabia,1,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
790,Gower,1,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
793,Jack Henry-Francis,1,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
28,Bailey,2,62,47,1,2,2,3,0,2,174,146.4,235.8,325.0,70.3,1132,0.2,2.0
29,Barkley,2,52,44,3,1,1,3,0,5,166,215.4,128.1,206.0,54.8,567,0.8,2.2
30,Barrenechea,2,49,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
31,Buendia,2,51,11,0,0,0,1,0,0,37,16.4,23.2,16.0,5.2,89,0.0,0.9
33,Dendoncker,2,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
34,Diaby,2,65,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
37,Dobbin,2,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
41,Iling Jr,2,54,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
42,Kamara,2,50,57,1,0,6,2,0,3,296,326.6,191.0,83.0,60.2,1720,4.5,2.2
48,McGinn,2,52,78,1,4,8,7,0,1,360,277.2,500.6,263.0,103.7,2217,3.2,2.3
53,Ramsey,2,54,66,1,4,5,2,1,3,265,235.4,307.9,245.0,78.7,1616,0.5,2.3
54,Rogers,2,58,161,8,11,10,10,0,15,534,730.6,722.7,689.0,214.2,3115,4.0,4.4
57,Tielemans,2,55,121,3,7,7,4,0,15,686,799.6,963.1,333.0,209.6,3025,3.0,3.4
233,Onana,2,48,65,3,0,6,4,0,5,324,358.0,194.8,215.0,77.0,1613,2.5,2.5
385,Rashford,2,66,95,6,4,7,2,0,9,333,398.4,451.1,369.0,122.1,1414,0.0,3.8
656,Young,2,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
679,Broggio,2,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
710,Jimoh,2,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
