id,web_name,team,element_type,minutes,total_points,points_per_game,starts,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90
1,Fábio Vieira,1,3,0,0,0.0,0,0.0,0.0,0.0
2,G.Jesus,1,4,600,42,2.5,6,0.46,0.08,0.54
3,Gabriel,1,2,2363,117,4.2,28,0.1,0.05,0.15
4,Havertz,1,4,1872,97,4.2,21,0.46,0.08,0.54
5,Hein,1,1,0,0,0.0,0,0.0,0.0,0.0
6,J.Timber,1,2,2415,114,3.8,27,0.05,0.05,0.1
7,Jorginho,1,3,701,20,1.3,9,0.01,0.08,0.09
8,Kiwior,1,2,1117,43,2.5,10,0.01,0.02,0.03
9,Martinelli,1,3,2284,125,3.8,25,0.28,0.18,0.46
12,Nwaneri,1,3,882,66,2.5,11,0.12,0.18,0.3
13,Ødegaard,1,3,2321,116,3.9,26,0.19,0.26,0.45
15,Raya,1,1,3420,142,3.7,38,0.0,0.0,0.0
16,Rice,1,3,2823,127,3.6,33,0.11,0.18,0.29
17,Saka,1,3,1724,127,5.1,20,0.36,0.41,0.77
18,Saliba,1,2,3039,130,3.7,35,0.07,0.04,0.11
20,Thomas,1,3,2793,108,3.1,31,0.07,0.09,0.16
21,Tierney,1,2,250,27,2.1,2,0.14,0.19,0.33
22,Tomiyasu,1,2,6,1,1.0,0,2.7,0.0,2.7
23,Trossard,1,3,2546,152,4.0,28,0.24,0.15,0.39
24,White,1,2,1195,50,2.9,13,0.03,0.1,0.13
25,Zinchenko,1,2,518,40,2.7,5,0.11,0.09,0.2
73,Neto,1,1,180,7,3.5,2,0.0,0.0,0.0
186,Sterling,1,3,490,26,1.5,7,0.26,0.09,0.35
578,Calafiori,1,2,978,39,2.1,11,0.08,0.06,0.14
597,Lewis-Skelly,1,3,1362,37,1.6,15,0.01,0.03,0.04
633,Merino,1,3,1575,92,3.3,17,0.33,0.07,0.4
638,Oulad M'hand,1,3,0,0,0.0,0,0.0,0.0,0.0
639,Setford,1,1,0,0,0.0,0,0.0,0.0,0.0
657,Kacurri,1,2,0,0,0.0,0,0.0,0.0,0.0
659,Kabia,1,3,0,0,0.0,0,0.0,0.0,0.0
662,Nichols,1,2,0,0,0.0,0,0.0,0.0,0.0
665,Butler-Oyedeji,1,4,6,1,1.0,0,1.05,0.0,1.05
735,Arteta,1,5,0,104,0.0,0,0.0,0.0,0.0
756,Porter,1,1,0,0,0.0,0,0.0,0.0,0.0
790,Gower,1,3,0,0,0.0,0,0.0,0.0,0.0
793,Jack Henry-Francis,1,3,0,0,0.0,0,0.0,0.0,0.0
801,Clarke,1,2,0,0,0.0,0,0.0,0.0,0.0
28,Bailey,2,3,1132,47,2.0,14,0.14,0.23,0.37
29,Barkley,2,3,567,44,2.2,3,0.28,0.07,0.35
30,Barrenechea,2,3,0,0,0.0,0,0.0,0.0,0.0
31,Buendia,2,3,89,11,0.9,0,0.66,0.03,0.69
32,Cash,2,2,2069,76,2.8,24,0.02,0.05,0.07
33,Dendoncker,2,3,0,0,0.0,0,0.0,0.0,0.0
34,Diaby,2,3,0,0,0.0,0,0.0,0.0,0.0
35,Diego Carlos,2,2,828,21,2.1,8,0.07,0.01,0.08
36,Digne,2,2,2348,89,2.8,28,0.03,0.15,0.18
37,Dobbin,2,3,0,0,0.0,0,0.0,0.0,0.0
38,Duran,2,4,622,53,2.6,4,0.74,0.03,0.77
39,Gauci,2,1,0,0,0.0,0,0.0,0.0,0.0
40,Hause,2,2,0,0,0.0,0,0.0,0.0,0.0
41,Iling Jr,2,3,0,0,0.0,0,0.0,0.0,0.0
42,Kamara,2,3,1720,57,2.2,20,0.04,0.04,0.08
43,Kesler-Hayden,2,2,0,0,0.0,0,0.0,0.0,0.0
44,Konsa,2,2,2936,103,3.0,33,0.04,0.02,0.06
45,Maatsen,2,2,1125,57,2.0,10,0.07,0.19,0.26
46,Marschall,2,1,0,0,0.0,0,0.0,0.0,0.0
47,Martinez,2,1,3195,111,3.0,37,0.0,0.0,0.0
48,McGinn,2,3,2217,78,2.3,27,0.13,0.11,0.24
49,Mings,2,2,1119,47,3.4,12,0.07,0.02,0.09
50,Nedeljkovic,2,2,121,5,1.0,0,0.0,0.01,0.01
51,Olsen,2,1,225,9,2.2,1,0.0,0.0,0.0
52,Pau,2,2,2019,55,2.3,23,0.02,0.02,0.04
53,Ramsey,2,3,1616,66,2.3,19,0.09,0.12,0.21
