id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
1,Fábio Vieira,1,3,0.0,439,2825,0,0,0,0.0,54
2,G.Jesus,1,4,1.0,1238437,1409940,0,0,42,0.0,65
3,Gabriel,1,2,12.2,5093448,5431768,0,0,117,0.0,61
4,Havertz,1,4,6.2,2644355,3530099,0,0,97,0.2,77
5,Hein,1,1,0.0,0,4643,0,0,0,0.0,40
6,J.Timber,1,2,4.3,1963751,1640941,0,0,114,0.0,55
7,Jorginho,1,3,0.2,30982,50584,0,0,20,0.2,46
8,Kiwior,1,2,3.8,518152,114231,0,0,43,2.8,49
9,Martinelli,1,3,3.1,1360840,1378390,0,0,125,3.5,65
12,Nwaneri,1,3,1.5,735728,604768,0,0,66,0.8,43
13,Ødegaard,1,3,5.7,1245059,2244119,0,0,116,6.5,82
15,Raya,1,1,32.6,4184559,3511572,0,0,142,3.0,56
16,Rice,1,3,4.2,593806,823007,0,0,127,5.5,63
17,Saka,1,3,20.2,8222595,9344351,0,0,127,2.0,104
18,Saliba,1,2,25.8,4071193,5556474,0,0,130,0.8,64
20,Thomas,1,3,0.7,307818,289781,0,0,108,2.2,49
21,Tierney,1,2,0.1,16286,13951,0,0,27,3.0,43
22,Tomiyasu,1,2,0.0,2219,8129,0,0,1,0.0,48
23,Trossard,1,3,4.5,1341936,1105621,0,0,152,4.0,67
24,White,1,2,4.4,431657,1011245,0,0,50,3.2,62
25,Zinchenko,1,2,0.9,110618,323972,0,0,40,1.0,48
73,Neto,1,1,0.7,92955,261168,0,0,7,0.0,41
186,Sterling,1,3,0.8,56881,165293,0,0,26,0.8,67
578,Calafiori,1,2,1.5,285601,425538,0,0,39,0.5,58
597,Lewis-Skelly,1,3,0.4,115370,79089,0,0,37,1.8,45
633,Merino,1,3,1.5,677828,522817,0,0,92,1.8,60
638,Oulad M'hand,1,3,0.0,2791,2341,0,0,0,0.0,45
639,Setford,1,1,0.1,4526,4943,0,0,0,0.0,45
657,Kacurri,1,2,0.0,11257,10392,0,0,0,0.0,40
659,Kabia,1,3,0.0,3033,2565,0,0,0,0.0,45
662,Nichols,1,2,0.1,7424,5568,0,0,0,0.0,40
665,Butler-Oyedeji,1,4,0.2,59288,48771,0,0,1,0.0,45
735,Arteta,1,5,9.0,247297,159775,0,0,104,5.8,15
756,Porter,1,1,0.0,1928,1018,0,0,0,0.0,40
790,Gower,1,3,0.0,113,50,0,0,0,0.0,45
793,Jack Henry-Francis,1,3,0.0,78,28,0,0,0,0.0,45
801,Clarke,1,2,0.0,199,38,0,0,0,0.0,40
28,Bailey,2,3,0.8,186480,472952,0,0,47,0.2,62
29,Barkley,2,3,0.2,26756,91758,0,0,44,0.8,52
30,Barrenechea,2,3,0.0,872,5339,0,0,0,0.0,49
31,Buendia,2,3,0.1,6966,17063,0,0,11,0.0,51
32,Cash,2,2,1.6,306407,452117,0,0,76,4.8,44
33,Dendoncker,2,3,0.2,18187,94027,0,0,0,0.0,45
34,Diaby,2,3,0.0,0,3420,0,0,0,0.0,65
35,Diego Carlos,2,2,0.3,50956,95521,0,0,21,0.0,45
36,Digne,2,2,5.6,2217548,1914740,0,0,89,2.0,44
37,Dobbin,2,3,0.0,0,298,0,0,0,0.0,50
38,Duran,2,4,1.6,1376643,1337176,0,0,53,0.0,57
39,Gauci,2,1,0.5,63380,80126,0,0,0,0.0,40
40,Hause,2,2,0.5,62708,78002,0,0,0,0.0,39
