id,web_name,team,element_type,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
1,Fábio Vieira,1,3,u,0.0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z
2,G.Jesus,1,4,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z
3,Gabriel,1,2,i,0.0,0.0,Hamstring injury - Expected back 01 Jun,2025-04-01T22:00:07.982867Z
4,Havertz,1,4,a,100.0,100.0,,2025-02-12T09:00:08.755570Z
5,Hein,1,1,u,0.0,0.0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z
6,J.Timber,1,2,i,0.0,0.0,Ankle injury - Expected back 01 Jun,2025-05-16T14:00:08.018204Z
7,Jorginho,1,3,a,100.0,100.0,,2025-04-12T20:00:08.048837Z
8,Kiwior,1,2,a,,,,
9,Martinelli,1,3,a,100.0,100.0,,2025-02-06T00:00:08.092348Z
12,Nwaneri,1,3,a,100.0,100.0,,2025-01-04T22:00:06.872110Z
13,Ødegaard,1,3,a,100.0,100.0,,2024-09-10T00:30:06.311550Z
15,Raya,1,1,a,100.0,100.0,,2025-01-30T11:00:08.979724Z
16,Rice,1,3,a,100.0,100.0,,2025-05-11T23:00:08.642302Z
17,Saka,1,3,a,100.0,100.0,,2025-04-09T09:00:07.942776Z
18,Saliba,1,2,i,0.0,0.0,Hamstring injury - Expected back 01 Jun,2025-05-18T20:30:07.323616Z
20,Thomas,1,3,a,100.0,100.0,,2025-04-12T20:00:08.101021Z
21,Tierney,1,2,a,100.0,100.0,,2024-08-12T14:30:04.394338Z
22,Tomiyasu,1,2,i,0.0,0.0,Knee injury - Expected back 01 Jun,2024-10-18T16:00:06.930143Z
23,Trossard,1,3,a,100.0,100.0,,2025-05-11T23:00:08.708617Z
24,White,1,2,a,100.0,100.0,,2025-04-12T20:00:08.123863Z
25,Zinchenko,1,2,a,100.0,100.0,,2024-12-09T09:30:06.099861Z
73,Neto,1,1,a,100.0,100.0,,2025-04-25T00:00:07.994709Z
186,Sterling,1,3,a,100.0,100.0,,2025-03-08T20:00:09.918533Z
578,Calafiori,1,2,a,100.0,100.0,,2025-03-24T14:30:09.477149Z
597,Lewis-Skelly,1,3,a,100.0,100.0,,2025-02-22T21:00:10.286547Z
633,Merino,1,3,a,100.0,100.0,,2025-05-11T23:00:09.594730Z
638,Oulad M'hand,1,3,a,,,,
639,Setford,1,1,a,,,,
657,Kacurri,1,2,u,0.0,0.0,Loaned to Bromley,2025-02-04T10:52:26.271821Z
659,Kabia,1,3,a,,,,
662,Nichols,1,2,a,,,,
665,Butler-Oyedeji,1,4,a,,,,
735,Arteta,1,5,a,,,,
756,Porter,1,1,a,,,,
790,Gower,1,3,a,,,,
793,Jack Henry-Francis,1,3,a,,,,
801,Clarke,1,2,a,,,,
28,Bailey,2,3,a,100.0,100.0,,2025-04-01T15:00:07.914260Z
29,Barkley,2,3,a,100.0,100.0,,2025-01-11T01:30:08.379812Z
30,Barrenechea,2,3,u,0.0,0.0,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z
31,Buendia,2,3,u,0.0,0.0,Loaned to Bayer Leverkusen,2025-02-03T10:22:17.157838Z
32,Cash,2,2,a,100.0,100.0,,2025-01-31T15:00:08.473024Z
33,Dendoncker,2,3,u,0.0,0.0,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z
34,Diaby,2,3,u,0.0,0.0,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z
35,Diego Carlos,2,2,u,0.0,0.0,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z
36,Digne,2,2,a,,,,
37,Dobbin,2,3,u,0.0,0.0,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z
38,Duran,2,4,u,0.0,0.0,Loaned to Al-Nassr,2025-02-03T10:25:17.104554Z
39,Gauci,2,1,u,0.0,0.0,Loaned to Barnsley,2025-02-03T10:19:41.424678Z
40,Hause,2,2,a,,,,
41,Iling Jr,2,3,u,0.0,0.0,Season long loan to Bologna,2024-08-29T11:07:04.555253Z
42,Kamara,2,3,a,100.0,100.0,,2025-02-18T22:00:09.222622Z
