id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,clean_sheets,minutes,bonus,bps,influence,creativity,threat,ict_index,form,value_season
1,Fábio Vieira,1,3,54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,G.Jesus,1,4,65,42,3,2,2,600,6,152,154.4,119.5,255.0,52.6,0.0,6.5
3,Gabriel,1,2,61,117,3,2,10,2363,9,459,584.6,208.8,287.0,108.2,0.0,19.2
4,Havertz,1,4,77,97,9,3,7,1872,14,343,467.6,269.0,711.0,144.8,0.2,12.6
5,Hein,1,1,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,J.Timber,1,2,55,114,1,3,11,2415,9,426,393.0,296.8,254.0,94.2,0.0,20.7
7,Jorginho,1,3,46,20,0,0,2,701,0,112,44.8,88.8,8.0,14.2,0.2,4.3
8,Kiwior,1,2,49,43,1,0,3,1117,2,178,267.2,91.3,32.0,39.2,2.8,8.8
9,Martinelli,1,3,65,125,8,4,10,2284,6,422,559.8,587.8,912.0,206.1,3.5,19.2
12,Nwaneri,1,3,43,66,4,2,4,882,4,251,293.2,282.8,255.0,83.0,0.8,15.3
13,Ødegaard,1,3,82,116,3,9,11,2321,11,529,524.6,968.7,493.0,198.8,6.5,14.1
15,Raya,1,1,56,142,0,0,13,3420,10,555,755.4,10.7,0.0,76.7,3.0,25.4
16,Rice,1,3,63,127,4,7,11,2823,17,627,733.0,959.6,399.0,208.8,5.5,20.2
17,Saka,1,3,104,127,6,11,7,1724,18,508,606.0,842.8,830.0,227.9,2.0,12.2
18,Saliba,1,2,64,130,2,0,12,3039,14,564,672.6,150.1,116.0,94.2,0.8,20.3
20,Thomas,1,3,49,108,4,3,9,2793,8,567,626.6,377.9,223.0,123.2,2.2,22.0
21,Tierney,1,2,43,27,1,0,1,250,2,99,91.8,109.1,48.0,25.0,3.0,6.3
22,Tomiyasu,1,2,48,1,0,0,0,6,0,2,0.4,0.3,9.0,1.0,0.0,0.2
