id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
1,Fábio Vieira,1,3,0.0,0.0,0,0,0.0,0,0
2,G.Jesus,1,4,0.0,2.5,42,600,1.0,0,0
3,Gabriel,1,2,0.0,4.2,117,2363,12.2,0,0
4,Havertz,1,4,0.2,4.2,97,1872,6.2,0,0
5,Hein,1,1,0.0,0.0,0,0,0.0,0,0
6,J.Timber,1,2,0.0,3.8,114,2415,4.3,0,0
7,Jorginho,1,3,0.2,1.3,20,701,0.2,0,0
8,Kiwior,1,2,2.8,2.5,43,1117,3.8,0,0
9,Martinelli,1,3,3.5,3.8,125,2284,3.1,0,0
12,Nwaneri,1,3,0.8,2.5,66,882,1.5,0,0
13,Ødegaard,1,3,6.5,3.9,116,2321,5.7,0,0
15,Raya,1,1,3.0,3.7,142,3420,32.6,0,0
16,Rice,1,3,5.5,3.6,127,2823,4.2,0,0
17,Saka,1,3,2.0,5.1,127,1724,20.2,0,0
18,Saliba,1,2,0.8,3.7,130,3039,25.8,0,0
20,Thomas,1,3,2.2,3.1,108,2793,0.7,0,0
21,Tierney,1,2,3.0,2.1,27,250,0.1,0,0
22,Tomiyasu,1,2,0.0,1.0,1,6,0.0,0,0
23,Trossard,1,3,4.0,4.0,152,2546,4.5,0,0
24,White,1,2,3.2,2.9,50,1195,4.4,0,0
25,Zinchenko,1,2,1.0,2.7,40,518,0.9,0,0
73,Neto,1,1,0.0,3.5,7,180,0.7,0,0
186,Sterling,1,3,0.8,1.5,26,490,0.8,0,0
578,Calafiori,1,2,0.5,2.1,39,978,1.5,0,0
597,Lewis-Skelly,1,3,1.8,1.6,37,1362,0.4,0,0
633,Merino,1,3,1.8,3.3,92,1575,1.5,0,0
638,Oulad M'hand,1,3,0.0,0.0,0,0,0.0,0,0
639,Setford,1,1,0.0,0.0,0,0,0.1,0,0
657,Kacurri,1,2,0.0,0.0,0,0,0.0,0,0
659,Kabia,1,3,0.0,0.0,0,0,0.0,0,0
662,Nichols,1,2,0.0,0.0,0,0,0.1,0,0
665,Butler-Oyedeji,1,4,0.0,1.0,1,6,0.2,0,0
735,Arteta,1,5,5.8,0.0,104,0,9.0,0,0
756,Porter,1,1,0.0,0.0,0,0,0.0,0,0
790,Gower,1,3,0.0,0.0,0,0,0.0,0,0
793,Jack Henry-Francis,1,3,0.0,0.0,0,0,0.0,0,0
801,Clarke,1,2,0.0,0.0,0,0,0.0,0,0
28,Bailey,2,3,0.2,2.0,47,1132,0.8,0,0
29,Barkley,2,3,0.8,2.2,44,567,0.2,0,0
30,Barrenechea,2,3,0.0,0.0,0,0,0.0,0,0
31,Buendia,2,3,0.0,0.9,11,89,0.1,0,0
32,Cash,2,2,4.8,2.8,76,2069,1.6,0,0
33,Dendoncker,2,3,0.0,0.0,0,0,0.2,0,0
