id,web_name,team,element_type,influence,creativity,threat,ict_index,total_points,minutes,now_cost
1,Fábio Vieira,1,3,0.0,0.0,0.0,0.0,0,0,54
2,G.Jesus,1,4,154.4,119.5,255.0,52.6,42,600,65
3,Gabriel,1,2,584.6,208.8,287.0,108.2,117,2363,61
4,Havertz,1,4,467.6,269.0,711.0,144.8,97,1872,77
5,Hein,1,1,0.0,0.0,0.0,0.0,0,0,40
6,J.Timber,1,2,393.0,296.8,254.0,94.2,114,2415,55
7,Jorginho,1,3,44.8,88.8,8.0,14.2,20,701,46
8,Kiwior,1,2,267.2,91.3,32.0,39.2,43,1117,49
9,Martinelli,1,3,559.8,587.8,912.0,206.1,125,2284,65
12,Nwaneri,1,3,293.2,282.8,255.0,83.0,66,882,43
13,Ødegaard,1,3,524.6,968.7,493.0,198.8,116,2321,82
15,Raya,1,1,755.4,10.7,0.0,76.7,142,3420,56
16,Rice,1,3,733.0,959.6,399.0,208.8,127,2823,63
17,Saka,1,3,606.0,842.8,830.0,227.9,127,1724,104
18,Saliba,1,2,672.6,150.1,116.0,94.2,130,3039,64
20,Thomas,1,3,626.6,377.9,223.0,123.2,108,2793,49
21,Tierney,1,2,91.8,109.1,48.0,25.0,27,250,43
22,Tomiyasu,1,2,0.4,0.3,9.0,1.0,1,6,48
23,Trossard,1,3,609.0,617.6,798.0,202.1,152,2546,67
24,White,1,2,247.6,162.6,100.0,51.0,50,1195,62
25,Zinchenko,1,2,83.4,92.8,66.0,24.1,40,518,48
73,Neto,1,1,77.8,0.0,0.0,7.8,7,180,41
186,Sterling,1,3,67.2,125.5,122.0,31.3,26,490,67
578,Calafiori,1,2,252.6,118.2,176.0,54.6,39,978,58
597,Lewis-Skelly,1,3,176.0,170.7,57.0,40.0,37,1362,45
633,Merino,1,3,456.8,265.8,511.0,123.3,92,1575,60
638,Oulad M'hand,1,3,0.0,0.0,0.0,0.0,0,0,45
639,Setford,1,1,0.0,0.0,0.0,0.0,0,0,45
657,Kacurri,1,2,0.0,0.0,0.0,0.0,0,0,40
659,Kabia,1,3,0.0,0.0,0.0,0.0,0,0,45
662,Nichols,1,2,0.0,0.0,0.0,0.0,0,0,40
665,Butler-Oyedeji,1,4,3.0,0.0,17.0,2.0,1,6,45
735,Arteta,1,5,0.0,0.0,0.0,0.0,104,0,15
756,Porter,1,1,0.0,0.0,0.0,0.0,0,0,40
790,Gower,1,3,0.0,0.0,0.0,0.0,0,0,45
793,Jack Henry-Francis,1,3,0.0,0.0,0.0,0.0,0,0,45
801,Clarke,1,2,0.0,0.0,0.0,0.0,0,0,40
28,Bailey,2,3,146.4,235.8,325.0,70.3,47,1132,62
29,Barkley,2,3,215.4,128.1,206.0,54.8,44,567,52
30,Barrenechea,2,3,0.0,0.0,0.0,0.0,0,0,49
31,Buendia,2,3,16.4,23.2,16.0,5.2,11,89,51
32,Cash,2,2,359.2,181.0,171.0,71.3,76,2069,44
33,Dendoncker,2,3,0.0,0.0,0.0,0.0,0,0,45
34,Diaby,2,3,0.0,0.0,0.0,0.0,0,0,65
35,Diego Carlos,2,2,150.6,9.2,54.0,21.5,21,828,45
36,Digne,2,2,512.6,583.9,112.0,120.7,89,2348,44
37,Dobbin,2,3,0.0,0.0,0.0,0.0,0,0,50
38,Duran,2,4,273.8,68.9,334.0,67.5,53,622,57
39,Gauci,2,1,0.0,0.0,0.0,0.0,0,0,40
