id,web_name,team,element_type,now_cost,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,minutes,form,selected_by_percent
1,Fábio Vieira,1,3,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
2,G.Jesus,1,4,65,42,2.5,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,600,0.0,1.0
3,Gabriel,1,2,61,117,4.2,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,2363,0.0,12.2
4,Havertz,1,4,77,97,4.2,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,1872,0.2,6.2
5,Hein,1,1,40,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
6,J.Timber,1,2,55,114,3.8,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,2415,0.0,4.3
7,Jorginho,1,3,46,20,1.3,0,0,2,7,0,0,0,5,0,0,0,112,44.8,88.8,8.0,14.2,701,0.2,0.2
8,Kiwior,1,2,49,43,2.5,1,0,3,15,0,0,0,1,0,0,2,178,267.2,91.3,32.0,39.2,1117,2.8,3.8
9,Martinelli,1,3,65,125,3.8,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,2284,3.5,3.1
12,Nwaneri,1,3,43,66,2.5,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,882,0.8,1.5
13,Ødegaard,1,3,82,116,3.9,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,2321,6.5,5.7
15,Raya,1,1,56,142,3.7,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,3420,3.0,32.6
16,Rice,1,3,63,127,3.6,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,2823,5.5,4.2
17,Saka,1,3,104,127,5.1,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,1724,2.0,20.2
18,Saliba,1,2,64,130,3.7,2,0,12,29,0,0,0,2,1,0,14,564,672.6,150.1,116.0,94.2,3039,0.8,25.8
