id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
1,Fábio Vieira,1,3,54,-1,0,0.0,0.0,0,0.0,0.0,439,2825,0,0
2,G.Jesus,1,4,65,-5,0,0.0,6.5,42,2.5,1.0,1238437,1409940,0,0
3,Gabriel,1,2,61,1,0,0.0,19.2,117,4.2,12.2,5093448,5431768,0,0
4,Havertz,1,4,77,-3,0,0.0,12.6,97,4.2,6.2,2644355,3530099,0,0
5,Hein,1,1,40,0,0,0.0,0.0,0,0.0,0.0,0,4643,0,0
6,J.Timber,1,2,55,0,0,0.0,20.7,114,3.8,4.3,1963751,1640941,0,0
7,Jorginho,1,3,46,-4,0,0.0,4.3,20,1.3,0.2,30982,50584,0,0
8,Kiwior,1,2,49,-1,0,0.6,8.8,43,2.5,3.8,518152,114231,0,0
9,Martinelli,1,3,65,-5,0,0.5,19.2,125,3.8,3.1,1360840,1378390,0,0
12,Nwaneri,1,3,43,-2,0,0.2,15.3,66,2.5,1.5,735728,604768,0,0
13,Ødegaard,1,3,82,-3,0,0.8,14.1,116,3.9,5.7,1245059,2244119,0,0
15,Raya,1,1,56,1,0,0.5,25.4,142,3.7,32.6,4184559,3511572,0,0
16,Rice,1,3,63,-2,0,0.9,20.2,127,3.6,4.2,593806,823007,0,0
17,Saka,1,3,104,4,0,0.2,12.2,127,5.1,20.2,8222595,9344351,0,0
18,Saliba,1,2,64,4,0,0.1,20.3,130,3.7,25.8,4071193,5556474,0,0
20,Thomas,1,3,49,-1,0,0.4,22.0,108,3.1,0.7,307818,289781,0,0
21,Tierney,1,2,43,-2,0,0.7,6.3,27,2.1,0.1,16286,13951,0,0
22,Tomiyasu,1,2,48,-2,0,0.0,0.2,1,1.0,0.0,2219,8129,0,0
23,Trossard,1,3,67,-3,0,0.6,22.7,152,4.0,4.5,1341936,1105621,0,0
24,White,1,2,62,-3,0,0.5,8.1,50,2.9,4.4,431657,1011245,0,0
25,Zinchenko,1,2,48,-2,0,0.2,8.3,40,2.7,0.9,110618,323972,0,0
73,Neto,1,1,41,-4,0,0.0,1.7,7,3.5,0.7,92955,261168,0,0
186,Sterling,1,3,67,-3,0,0.1,3.9,26,1.5,0.8,56881,165293,0,0
578,Calafiori,1,2,58,-2,0,0.1,6.7,39,2.1,1.5,285601,425538,0,0
597,Lewis-Skelly,1,3,45,0,0,0.4,8.2,37,1.6,0.4,115370,79089,0,0
633,Merino,1,3,60,0,0,0.3,15.3,92,3.3,1.5,677828,522817,0,0
638,Oulad M'hand,1,3,45,0,0,0.0,0.0,0,0.0,0.0,2791,2341,0,0
639,Setford,1,1,45,0,0,0.0,0.0,0,0.0,0.1,4526,4943,0,0
657,Kacurri,1,2,40,0,0,0.0,0.0,0,0.0,0.0,11257,10392,0,0
659,Kabia,1,3,45,0,0,0.0,0.0,0,0.0,0.0,3033,2565,0,0
662,Nichols,1,2,40,0,0,0.0,0.0,0,0.0,0.1,7424,5568,0,0
665,Butler-Oyedeji,1,4,45,0,0,0.0,0.2,1,1.0,0.2,59288,48771,0,0
735,Arteta,1,5,15,0,0,3.9,69.3,104,0.0,9.0,247297,159775,0,0
756,Porter,1,1,40,0,0,0.0,0.0,0,0.0,0.0,1928,1018,0,0
790,Gower,1,3,45,0,0,0.0,0.0,0,0.0,0.0,113,50,0,0
793,Jack Henry-Francis,1,3,45,0,0,0.0,0.0,0,0.0,0.0,78,28,0,0
801,Clarke,1,2,40,0,0,0.0,0.0,0,0.0,0.0,199,38,0,0
28,Bailey,2,3,62,-3,0,0.0,7.6,47,2.0,0.8,186480,472952,0,0
29,Barkley,2,3,52,-3,0,0.2,8.5,44,2.2,0.2,26756,91758,0,0
30,Barrenechea,2,3,49,-1,0,0.0,0.0,0,0.0,0.0,872,5339,0,0
31,Buendia,2,3,51,-4,0,0.0,2.2,11,0.9,0.1,6966,17063,0,0
32,Cash,2,2,44,-1,0,1.1,17.3,76,2.8,1.6,306407,452117,0,0
33,Dendoncker,2,3,45,0,0,0.0,0.0,0,0.0,0.2,18187,94027,0,0
34,Diaby,2,3,65,0,0,0.0,0.0,0,0.0,0.0,0,3420,0,0
35,Diego Carlos,2,2,45,0,0,0.0,4.7,21,2.1,0.3,50956,95521,0,0
36,Digne,2,2,44,-1,0,0.5,20.2,89,2.8,5.6,2217548,1914740,0,0
37,Dobbin,2,3,50,0,0,0.0,0.0,0,0.0,0.0,0,298,0,0
38,Duran,2,4,57,-3,0,0.0,9.3,53,2.6,1.6,1376643,1337176,0,0
39,Gauci,2,1,40,0,0,0.0,0.0,0,0.0,0.5,63380,80126,0,0
40,Hause,2,2,39,-1,0,0.0,0.0,0,0.0,0.5,62708,78002,0,0
41,Iling Jr,2,3,54,-1,0,0.0,0.0,0,0.0,0.0,342,6767,0,0
42,Kamara,2,3,50,0,0,0.9,11.4,57,2.2,0.1,14163,9157,0,0
43,Kesler-Hayden,2,2,40,0,0,0.0,0.0,0,0.0,0.0,0,1686,0,0
44,Konsa,2,2,45,0,0,1.5,22.9,103,3.0,9.5,1756553,1967466,0,0
45,Maatsen,2,2,45,-5,0,0.8,12.7,57,2.0,1.6,161062,362749,0,0
46,Marschall,2,1,40,0,0,0.0,0.0,0,0.0,0.0,0,90,0,0
47,Martinez,2,1,50,0,0,1.0,22.2,111,3.0,13.3,1948436,1972857,0,0
