id,web_name,team,element_type,now_cost,total_points,value_season,value_rank,minutes
1,Fábio Vieira,1,3,54,0,0.0,302.5,0
2,G.Jesus,1,4,65,42,6.5,11.0,600
3,Gabriel,1,2,61,117,19.2,105.0,2363
4,Havertz,1,4,77,97,12.6,41.0,1872
5,Hein,1,1,40,0,0.0,63.5,0
6,J.Timber,1,2,55,114,20.7,87.0,2415
7,Jorginho,1,3,46,20,4.3,65.0,701
8,Kiwior,1,2,49,43,8.8,10.0,1117
9,Martinelli,1,3,65,125,19.2,128.0,2284
12,Nwaneri,1,3,43,66,15.3,161.5,882
13,Ødegaard,1,3,82,116,14.1,173.0,2321
15,Raya,1,1,56,142,25.4,14.0,3420
16,Rice,1,3,63,127,20.2,111.0,2823
17,Saka,1,3,104,127,12.2,184.0,1724
18,Saliba,1,2,64,130,20.3,89.0,3039
20,Thomas,1,3,49,108,22.0,101.0,2793
21,Tierney,1,2,43,27,6.3,33.5,250
22,Tomiyasu,1,2,48,1,0.2,189.5,6
23,Trossard,1,3,67,152,22.7,97.0,2546
24,White,1,2,62,50,8.1,14.5,1195
25,Zinchenko,1,2,48,40,8.3,13.0,518
73,Neto,1,1,41,7,1.7,39.0,180
186,Sterling,1,3,67,26,3.9,72.0,490
578,Calafiori,1,2,58,39,6.7,29.5,978
597,Lewis-Skelly,1,3,45,37,8.2,20.5,1362
633,Merino,1,3,60,92,15.3,161.5,1575
638,Oulad M'hand,1,3,45,0,0.0,302.5,0
639,Setford,1,1,45,0,0.0,63.5,0
657,Kacurri,1,2,40,0,0.0,232.0,0
659,Kabia,1,3,45,0,0.0,302.5,0
662,Nichols,1,2,40,0,0.0,232.0,0
665,Butler-Oyedeji,1,4,45,1,0.2,60.0,6
735,Arteta,1,5,15,104,69.3,8.0,0
756,Porter,1,1,40,0,0.0,63.5,0
790,Gower,1,3,45,0,0.0,302.5,0
793,Jack Henry-Francis,1,3,45,0,0.0,302.5,0
801,Clarke,1,2,40,0,0.0,232.0,0
28,Bailey,2,3,62,47,7.6,30.0,1132
29,Barkley,2,3,52,44,8.5,17.0,567
30,Barrenechea,2,3,49,0,0.0,302.5,0
31,Buendia,2,3,51,11,2.2,122.0,89
32,Cash,2,2,44,76,17.3,113.5,2069
33,Dendoncker,2,3,45,0,0.0,302.5,0
34,Diaby,2,3,65,0,0.0,302.5,0
35,Diego Carlos,2,2,45,21,4.7,41.5,828
36,Digne,2,2,44,89,20.2,90.0,2348
37,Dobbin,2,3,50,0,0.0,302.5,0
38,Duran,2,4,57,53,9.3,4.0,622
39,Gauci,2,1,40,0,0.0,63.5,0
40,Hause,2,2,39,0,0.0,232.0,0
41,Iling Jr,2,3,54,0,0.0,302.5,0
42,Kamara,2,3,50,57,11.4,194.0,1720
43,Kesler-Hayden,2,2,40,0,0.0,232.0,0
44,Konsa,2,2,45,103,22.9,77.0,2936
45,Maatsen,2,2,45,57,12.7,138.0,1125
46,Marschall,2,1,40,0,0.0,63.5,0
47,Martinez,2,1,50,111,22.2,19.0,3195
48,McGinn,2,3,52,78,15.0,165.5,2217
49,Mings,2,2,44,47,10.7,150.5,1119
50,Nedeljkovic,2,2,39,5,1.3,162.0,121
51,Olsen,2,1,45,9,2.0,29.5,225
52,Pau,2,2,42,55,13.1,131.0,2019
53,Ramsey,2,3,54,66,12.2,184.0,1616
54,Rogers,2,3,58,161,27.8,82.5,3115
55,Sinisalo,2,1,40,0,0.0,63.5,0
56,Sousa,2,2,40,0,0.0,232.0,0
57,Tielemans,2,3,55,121,22.0,101.0,3025
58,Watkins,2,4,92,186,20.2,32.0,2593
167,Disasi,2,2,42,33,7.9,18.0,851
233,Onana,2,3,48,65,13.5,180.0,1613
385,Rashford,2,3,66,95,14.4,170.5,1414
598,Bogarde,2,2,39,6,1.5,159.5,473
640,Swinkels,2,2,40,0,0.0,232.0,0
641,Zych,2,1,40,0,0.0,63.5,0
656,Young,2,3,44,0,0.0,302.5,0
679,Broggio,2,3,45,0,0.0,302.5,0
710,Jimoh,2,3,45,0,0.0,302.5,0
725,Malen,2,3,53,34,6.4,41.0,296
731,A. Garcia,2,2,45,8,1.8,157.0,316
737,Emery,2,5,8,105,131.2,17.0,0
762,M.Asensio,2,3,60,44,7.3,34.0,740
59,Aarons,3,2,43,8,1.9,156.0,84
60,Adams,3,3,49,58,11.8,189.5,1959
61,Anthony,3,3,45,0,0.0,302.5,0
62,Brooks,3,3,49,52,10.6,201.0,941
63,Christie,3,3,48,76,15.8,157.5,2114
64,Cook,3,3,50,82,16.4,154.5,2976
65,Enes Ünal,3,4,54,32,5.9,13.0,330
66,Faivre,3,3,50,0,0.0,302.5,0
67,H.Traorè,3,3,45,0,0.0,302.5,0
68,Hill,3,2,39,17,4.4,44.0,443
69,Jebbison,3,4,45,20,4.4,18.0,105
70,Kerkez,3,2,53,134,25.3,65.5,3336
71,Kluivert,3,3,59,158,26.8,85.0,2339
72,Mepham,3,2,44,0,0.0,232.0,0
74,O.Dango,3,3,45,111,24.7,89.0,1998
75,Paulsen,3,1,40,0,0.0,63.5,0
76,Philip,3,3,48,10,2.1,123.5,176
77,Scott,3,3,47,26,5.5,53.0,745
78,Semenyo,3,3,57,165,28.9,77.5,3202
79,Senesi,3,2,46,31,6.7,29.5,1103
80,Sinisterra,3,3,48,23,4.8,60.0,229
81,Smith,3,2,44,57,13.0,132.0,1586
83,Tavernier,3,3,54,87,16.1,156.0,1932
84,Travers,3,1,44,19,4.3,5.5,450
85,Zabarnyi,3,2,44,94,21.4,83.0,3109
152,Arrizabalaga,3,1,46,106,23.0,16.5,2790
580,Huijsen,3,2,45,104,23.1,76.0,2422
592,J.Araujo,3,2,43,12,2.8,95.0,492
599,Dennis,3,1,39,0,0.0,63.5,0
617,Evanilson,3,4,59,128,21.7,31.0,2317
680,Kinsey,3,2,40,0,0.0,232.0,0
687,Winterburn,3,3,45,4,0.9,229.5,22
702,Harris,3,2,40,0,0.0,232.0,0
