can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,184029,0,0,-3,3,0,3,7.8,8.0,7,Martin,6.5,13,False,,2024-09-10T00:30:06.311550Z,82,184029.jpg,3.9,False,Ødegaard,5.7,False,,a,1,3,116,1245059,0,2244119,0,0.8,14.1,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,2321,3,9,11,21,0,0,0,4,0,0,11,529,524.6,968.7,493.0,198.8,26,4.85,6.68,11.53,22.16,0,0,0,0,0,0,0,128,48,7,7,66,42,32,25,3.0,,1.0,,2.0,,0.19,0.0,0.26,0.45,0.86,0.81,12,9,15,4,58,28,64,19,1.01,0.43,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,223340,0,0,4,-4,4,3,3.8,3.5,1,Bukayo,2.0,17,False,,2025-04-09T09:00:07.942776Z,104,223340.jpg,5.1,False,Saka,20.2,False,,a,1,3,127,8222595,0,9344351,0,0.2,12.2,Saka,241.0,2018-11-28,2001-09-05,False,p223340,1724,6,11,7,21,0,0,0,3,0,0,18,508,606.0,842.8,830.0,227.9,20,6.87,7.78,14.65,17.72,0,0,0,0,0,0,0,98,37,18,15,23,13,14,10,1.0,,,,1.0,,0.36,0.0,0.41,0.77,0.93,1.1,4,3,200,87,11,6,15,5,1.04,0.37,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,178301,0,0,2,-2,6,4,5.3,4.5,2,Ollie,4.5,58,True,,2025-03-19T15:30:06.831986Z,92,178301.jpg,4.9,False,Watkins,29.0,False,,a,2,7,186,6498525,0,6903884,0,0.5,20.2,Watkins,241.0,2020-09-09,1995-12-30,False,p178301,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,31,15.12,2.07,17.19,38.62,0,0,0,0,0,0,0,40,6,118,10,6,4,15,5,,,,,1.0,,0.52,0.0,0.07,0.59,1.34,1.39,8,3,51,7,13,6,8,3,1.08,0.35,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,446008,0,0,13,-13,6,3,4.5,5.2,8,Bryan,5.2,99,True,,2024-11-13T15:00:08.005055Z,83,446008.jpg,6.2,False,Mbeumo,46.7,False,,a,4,94,236,10656539,0,6074146,0,0.6,28.4,Mbeumo,38.0,2019-08-05,1999-08-07,False,p446008,3415,20,9,9,55,0,0,1,3,0,0,29,948,1236.8,1107.5,1060.0,340.8,38,12.52,9.24,21.75,55.40,0,0,0,0,0,0,0,3,2,5,5,8,4,2,2,2.0,,2.0,,2.0,,0.33,0.0,0.24,0.57,1.46,1.45,11,8,39,13,2,2,3,2,1.0,0.24,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,244851,0,0,0,0,6,3,3.7,3.7,3,Cole,4.2,182,True,,2025-03-16T23:00:06.860890Z,105,244851.jpg,5.8,False,Palmer,34.3,False,,a,6,8,214,7552330,0,7950784,0,0.4,20.4,Palmer,241.0,2023-09-01,2002-05-06,False,p244851,3193,15,10,10,41,0,0,1,7,0,0,35,952,1068.2,1259.2,1052.0,338.0,36,16.79,9.53,26.32,43.88,0,0,0,0,0,0,0,4,3,2,2,9,5,3,3,1.0,,1.0,,1.0,,0.47,0.0,0.27,0.74,1.24,1.16,3,2,57,21,4,3,5,3,1.01,0.28,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,118748,0,0,11,-11,12,3,4.5,5.0,10,Mohamed,4.0,328,True,,,136,118748.jpg,9.1,False,Salah,66.3,False,,a,12,14,344,7064777,0,3645258,0,0.3,25.3,M.Salah,63.0,2017-07-01,1992-06-15,False,p118748,3374,29,18,15,40,0,0,0,1,0,0,55,1133,1577.0,1199.2,1985.0,476.0,38,24.70,8.99,33.69,37.83,0,0,0,0,0,0,0,1,1,3,3,1,1,1,1,,,,,2.0,,0.66,0.0,0.24,0.9,1.01,1.07,2,1,71,28,1,1,1,1,1.01,0.4,14,0,,12,0,Liverpool,0,0,1,LIV,5,,False,0,1350,1370,1320,1360,1380,1380,10,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,61366,0,0,0,0,4,3,6.2,5.0,1,Kevin,4.5,345,False,,2024-09-18T23:00:07.299083Z,95,61366.jpg,4.1,False,De Bruyne,11.6,False,,a,13,43,114,2706405,0,2382547,0,0.5,12.0,De Bruyne,21.0,2015-08-30,1991-06-28,False,p61366,1694,4,9,10,19,0,0,0,2,0,0,12,462,466.6,920.0,411.0,179.5,19,5.17,6.75,11.92,21.47,0,0,0,0,0,0,0,156,59,12,11,79,51,55,38,1.0,,1.0,,4.0,,0.27,0.0,0.36,0.63,1.14,1.01,6,5,52,17,42,20,37,11,1.01,0.53,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,209244,0,0,-4,4,2,3,1.8,1.7,1,Phil,1.2,348,False,,2025-04-12T06:30:08.213792Z,91,209244.jpg,3.8,False,Foden,4.6,False,,a,13,43,105,1832067,0,3152061,0,0.1,11.5,Foden,241.0,2016-12-05,2000-05-28,False,p209244,1771,7,3,6,24,0,0,0,2,0,0,10,454,448.0,749.0,449.0,164.2,20,5.17,5.33,10.49,29.11,0,0,0,0,0,0,0,161,63,28,24,71,45,61,42,3.0,,,,,,0.26,0.0,0.27,0.53,1.48,1.22,9,6,265,127,67,33,82,24,1.02,0.3,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,223094,0,0,-1,1,5,4,1.8,3.0,6,Erling,2.5,351,False,,2025-03-30T21:00:08.779885Z,149,223094.jpg,5.8,False,Haaland,24.0,False,,a,13,43,181,4294318,0,7443687,0,0.2,12.1,Haaland,161.0,2022-07-01,2000-07-21,False,p223094,2736,22,3,10,38,0,0,1,2,0,0,26,795,946.0,359.4,1511.0,281.8,31,21.90,2.04,23.94,41.27,0,0,0,0,0,0,0,11,2,114,9,2,1,6,2,,,3.0,,1.0,,0.72,0.0,0.07,0.79,1.36,1.25,1,1,165,16,5,2,13,5,1.02,0.33,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,141746,0,0,-1,1,3,3,1.8,2.5,7,Bruno,2.5,366,False,,2024-12-27T00:30:09.652602Z,84,141746.jpg,4.8,False,Borges Fernandes,13.7,False,,a,14,1,174,4812923,0,5343496,0,0.3,20.7,B.Fernandes,173.0,2020-01-30,1994-09-08,False,p141746,3017,8,12,10,47,0,0,0,3,2,0,28,810,1017.8,1407.7,587.0,300.8,35,9.93,7.89,17.82,45.85,0,0,0,0,0,0,0,8,4,1,1,51,32,4,4,1.0,,1.0,,1.0,,0.3,0.0,0.24,0.54,1.37,1.4,10,7,164,69,14,8,29,10,1.04,0.3,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
