id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,total_points,selected_by_percent
1,Fábio Vieira,1,3,54,-1,0,1,0,0,0.0
2,G.Jesus,1,4,65,-5,0,5,0,42,1.0
3,Gabriel,1,2,61,1,0,-1,0,117,12.2
4,Havertz,1,4,77,-3,0,3,0,97,6.2
5,Hein,1,1,40,0,0,0,0,0,0.0
6,J.Timber,1,2,55,0,0,0,0,114,4.3
7,Jorginho,1,3,46,-4,0,4,0,20,0.2
8,Kiwior,1,2,49,-1,0,1,0,43,3.8
9,Martinelli,1,3,65,-5,0,5,0,125,3.1
12,Nwaneri,1,3,43,-2,0,2,0,66,1.5
13,Ødegaard,1,3,82,-3,0,3,0,116,5.7
15,Raya,1,1,56,1,0,-1,0,142,32.6
16,Rice,1,3,63,-2,0,2,0,127,4.2
17,Saka,1,3,104,4,0,-4,0,127,20.2
18,Saliba,1,2,64,4,0,-4,0,130,25.8
20,Thomas,1,3,49,-1,0,1,0,108,0.7
21,Tierney,1,2,43,-2,0,2,0,27,0.1
22,Tomiyasu,1,2,48,-2,0,2,0,1,0.0
23,Trossard,1,3,67,-3,0,3,0,152,4.5
24,White,1,2,62,-3,0,3,0,50,4.4
25,Zinchenko,1,2,48,-2,0,2,0,40,0.9
73,Neto,1,1,41,-4,0,4,0,7,0.7
186,Sterling,1,3,67,-3,0,3,0,26,0.8
578,Calafiori,1,2,58,-2,0,2,0,39,1.5
597,Lewis-Skelly,1,3,45,0,0,0,0,37,0.4
633,Merino,1,3,60,0,0,0,0,92,1.5
638,Oulad M'hand,1,3,45,0,0,0,0,0,0.0
639,Setford,1,1,45,0,0,0,0,0,0.1
657,Kacurri,1,2,40,0,0,0,0,0,0.0
659,Kabia,1,3,45,0,0,0,0,0,0.0
662,Nichols,1,2,40,0,0,0,0,0,0.1
665,Butler-Oyedeji,1,4,45,0,0,0,0,1,0.2
735,Arteta,1,5,15,0,0,0,0,104,9.0
756,Porter,1,1,40,0,0,0,0,0,0.0
790,Gower,1,3,45,0,0,0,0,0,0.0
793,Jack Henry-Francis,1,3,45,0,0,0,0,0,0.0
801,Clarke,1,2,40,0,0,0,0,0,0.0
28,Bailey,2,3,62,-3,0,3,0,47,0.8
29,Barkley,2,3,52,-3,0,3,0,44,0.2
30,Barrenechea,2,3,49,-1,0,1,0,0,0.0
31,Buendia,2,3,51,-4,0,4,0,11,0.1
32,Cash,2,2,44,-1,0,1,0,76,1.6
33,Dendoncker,2,3,45,0,0,0,0,0,0.2
34,Diaby,2,3,65,0,0,0,0,0,0.0
35,Diego Carlos,2,2,45,0,0,0,0,21,0.3
36,Digne,2,2,44,-1,0,1,0,89,5.6
37,Dobbin,2,3,50,0,0,0,0,0,0.0
38,Duran,2,4,57,-3,0,3,0,53,1.6
39,Gauci,2,1,40,0,0,0,0,0,0.5
40,Hause,2,2,39,-1,0,1,0,0,0.5
41,Iling Jr,2,3,54,-1,0,1,0,0,0.0
42,Kamara,2,3,50,0,0,0,0,57,0.1
43,Kesler-Hayden,2,2,40,0,0,0,0,0,0.0
44,Konsa,2,2,45,0,0,0,0,103,9.5
45,Maatsen,2,2,45,-5,0,5,0,57,1.6
46,Marschall,2,1,40,0,0,0,0,0,0.0
47,Martinez,2,1,50,0,0,0,0,111,13.3
48,McGinn,2,3,52,-3,0,3,0,78,0.7
49,Mings,2,2,44,-1,0,1,0,47,0.2
50,Nedeljkovic,2,2,39,-1,0,1,0,5,0.5
51,Olsen,2,1,45,0,0,0,0,9,0.1
52,Pau,2,2,42,-3,0,3,0,55,0.8
53,Ramsey,2,3,54,-1,0,1,0,66,0.3
54,Rogers,2,3,58,8,0,-8,0,161,25.8
55,Sinisalo,2,1,40,0,0,0,0,0,0.0
56,Sousa,2,2,40,0,0,0,0,0,0.0
57,Tielemans,2,3,55,0,0,0,0,121,1.1
58,Watkins,2,4,92,2,0,-2,0,186,29.0
167,Disasi,2,2,42,-3,0,3,0,33,0.4
233,Onana,2,3,48,-2,0,2,0,65,2.1
385,Rashford,2,3,66,-4,0,4,0,95,3.7
598,Bogarde,2,2,39,-1,0,1,0,6,0.2
640,Swinkels,2,2,40,0,0,0,0,0,0.1
641,Zych,2,1,40,0,0,0,0,0,0.5
656,Young,2,3,44,-1,0,1,0,0,0.2
679,Broggio,2,3,45,0,0,0,0,0,0.0
710,Jimoh,2,3,45,0,0,0,0,0,0.0
725,Malen,2,3,53,-2,0,2,0,34,0.2
731,A. Garcia,2,2,45,0,0,0,0,8,0.1
737,Emery,2,5,8,0,0,0,0,105,7.7
762,M.Asensio,2,3,60,0,0,0,0,44,2.4
59,Aarons,3,2,43,-2,0,2,0,8,0.1
60,Adams,3,3,49,-1,0,1,0,58,0.1
61,Anthony,3,3,45,0,0,0,0,0,0.1
