can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,215711,0,0,-3,3,0,3,0.3,0.2,0,Leon,0.2,28,False,,2025-04-01T15:00:07.914260Z,62,215711.jpg,2.0,False,Bailey,0.8,False,,a,2,7,47,186480,0,472952,0,0.0,7.6,Bailey,107.0,2021-08-04,1997-08-09,False,p215711,1132,1,2,2,19,0,0,0,3,0,0,2,174,146.4,235.8,325.0,70.3,14,1.73,2.92,4.65,13.91,0,0,0,0,0,0,0,357,162,184,126,104,68,232,118,3.0,,4.0,,,,0.14,0.0,0.23,0.37,1.11,1.51,60,33,410,192,305,138,233,75,1.11,0.16,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,88894,0,0,-3,3,1,3,0.7,0.8,1,Ross,0.8,29,False,,2025-01-11T01:30:08.379812Z,52,88894.jpg,2.2,False,Barkley,0.2,False,,a,2,7,44,26756,0,91758,0,0.2,8.5,Barkley,241.0,2024-07-01,1993-12-05,False,p88894,567,3,1,1,10,0,0,0,3,0,0,5,166,215.4,128.1,206.0,54.8,3,1.79,0.43,2.22,6.32,0,0,0,0,0,0,0,295,136,268,166,173,110,280,147,,,,,,,0.28,0.0,0.07,0.35,1.0,1.59,163,97,314,147,262,113,341,108,0.48,0.16,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,491287,0,0,-1,1,0,3,0.0,0.0,0,Enzo,0.0,30,False,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,491287.jpg,0.0,False,Barrenechea,0.0,False,,u,2,7,0,872,0,5339,0,0.0,0.0,Barrenechea,,,,False,p491287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,779,333,777,333,768,331,779,333,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,273,175,733,308,779,333,669,274,0.0,0.0,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,195546,0,0,-4,4,0,3,0.0,0.0,0,Emiliano,0.0,31,False,Loaned to Bayer Leverkusen,2025-02-03T10:22:17.157838Z,51,195546.jpg,0.9,False,Buendía Stati,0.1,False,,u,2,7,11,6966,0,17063,0,0.0,2.2,Buendia,10.0,2021-06-10,,False,p195546,89,0,0,0,2,0,0,0,1,0,0,0,37,16.4,23.2,16.0,5.2,0,0.65,0.03,0.68,2.27,0,0,0,0,0,0,0,488,224,426,221,415,215,482,224,,,3.0,,,,0.66,0.0,0.03,0.69,2.3,2.02,182,108,759,325,533,250,516,192,0.0,0.0,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,199796,0,0,-1,1,0,2,6.0,4.8,1,Matty,4.8,32,False,,2025-01-31T15:00:08.473024Z,44,199796.jpg,2.8,False,Cash,1.6,False,,a,2,7,76,306407,0,452117,0,1.1,17.3,Cash,172.0,2020-09-03,1997-08-07,False,p199796,2069,1,1,7,22,0,0,0,7,0,0,2,286,359.2,181.0,171.0,71.3,24,0.48,1.23,1.71,28.64,0,0,0,0,0,0,0,202,74,221,52,204,43,228,73,,,,,,,0.02,0.0,0.05,0.07,1.25,0.96,510,92,45,10,166,49,157,61,1.04,0.3,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,151589,0,0,0,0,0,3,0.0,0.0,0,Leander,0.0,33,False,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,151589.jpg,0.0,False,Dendoncker,0.2,False,,u,2,7,0,18187,0,94027,0,0.0,0.0,Dendoncker,,,,False,p151589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,690,268,686,268,665,259,690,268,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,368,232,599,216,695,269,381,124,0.0,0.0,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0.0,34,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,243557.jpg,0.0,False,Diaby,0.0,False,,u,2,7,0,0,0,3420,0,0.0,0.0,Diaby,,,,False,p243557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,802,347,802,347,802,347,802,347,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45,23,796,345,801,347,688,280,0.0,0.0,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,165659,0,0,0,0,0,2,0.0,0.0,0,Diego Carlos,0.0,35,False,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z,45,165659.jpg,2.1,False,Santos Silva,0.3,False,,u,2,7,21,50956,0,95521,0,0.0,4.7,Diego Carlos,30.0,2022-06-10,,False,p165659,828,0,0,2,15,0,0,0,1,0,0,1,69,150.6,9.2,54.0,21.5,8,0.64,0.08,0.72,11.88,0,0,0,0,0,0,0,350,127,469,163,333,109,394,135,,,,,,,0.07,0.0,0.01,0.08,1.29,1.63,370,57,600,241,269,87,316,122,0.87,0.22,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,101188,0,0,-1,1,2,2,2.7,2.0,0,Lucas,2.0,36,False,,,44,101188.jpg,2.8,False,Digne,5.6,False,,a,2,7,89,2217548,0,1914740,0,0.5,20.2,Digne,73.0,2022-01-13,1993-07-20,False,p101188,2348,0,5,6,36,0,0,0,4,0,0,7,383,512.6,583.9,112.0,120.7,28,0.80,3.97,4.77,34.94,0,0,0,0,0,0,0,138,49,57,9,262,73,112,22,2.0,,2.0,,,,0.03,0.0,0.15,0.18,1.34,1.38,498,84,191,58,165,48,67,22,1.07,0.23,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.0,37,False,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,50,461421.jpg,0.0,False,Dobbin,0.0,False,,u,2,7,0,0,0,298,0,0.0,0.0,Dobbin,,,,False,p461421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,786,338,785,338,778,336,786,338,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,221,139,747,319,786,338,788,337,0.0,0.0,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
