can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,535818,0,0,-4,4,0,3,2.8,2.5,1,Simon,2.5,113,False,,2024-09-29T22:30:06.392264Z,51,535818.jpg,2.1,False,Adingra,0.3,False,,a,5,36,60,120944,0,158626,0,0.5,11.8,Adingra,54.0,2022-06-24,2002-01-01,False,p535818,1081,2,3,2,23,0,0,0,0,0,0,0,207,212.4,261.9,337.0,80.9,12,2.47,2.73,5.20,18.94,0,0,0,0,0,0,0,299,138,165,115,101,66,200,102,,,,,,,0.21,0.0,0.23,0.44,1.58,1.91,191,115,161,66,281,124,309,94,1.0,0.17,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,475480,0,0,0,0,0,3,0.0,0.0,0,Benicio,0.0,114,False,Loaned to Port Vale,2024-08-10T12:17:28.055765Z,45,475480.jpg,0.0,False,Baker-Boaitey,0.0,False,,u,5,36,0,0,0,543,0,0.0,0.0,Baker-Boaitey,,,,False,p475480,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,711,283,708,283,688,274,711,283,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,405,251,625,233,716,284,786,335,0.0,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,535301,0,0,0,0,2,3,4.2,2.2,2,Carlos,2.2,115,False,,2025-02-01T22:30:07.945590Z,50,535301.jpg,2.6,False,Baleba,0.2,False,,a,5,36,87,70991,0,63444,0,0.4,17.4,Baleba,38.0,2023-08-29,2004-01-03,False,p535301,2660,3,1,8,40,0,0,0,6,1,0,7,490,515.4,343.7,193.0,105.2,31,3.10,1.21,4.31,39.54,0,0,0,0,0,0,0,134,52,120,85,188,117,142,81,,,,,,,0.1,0.0,0.04,0.14,1.34,1.35,231,147,179,77,196,83,387,129,1.05,0.27,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,543158,0,0,0,0,0,2,0.0,0.0,0,Valentín,0.0,116,False,Loaned to Sevilla,2024-08-23T23:00:06.122778Z,40,543158.jpg,0.0,False,Barco,1.9,False,,u,5,36,0,34254,0,2012896,0,0.0,0.0,Barco,,,,False,p543158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,634,230,622,229,583,220,634,230,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,697,206,502,185,641,229,141,54,0.0,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,519324,0,0,0,0,0,3,0.0,0.0,0,Amario,0.0,118,False,Loaned to Blackburn Rovers,2024-08-31T06:29:40.845798Z,45,519324.jpg,0.0,False,Cozier-Duberry,0.0,False,,u,5,36,0,1560,0,13783,0,0.0,0.0,Cozier-Duberry,,,,False,p519324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,731,300,727,300,709,291,731,300,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,437,275,650,253,735,301,648,260,0.0,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,168090,0,0,-1,1,0,3,0.0,0.0,0,Mahmoud,0.0,119,False,Transferred to Eintracht Frankfurt,2024-08-31T06:30:37.645175Z,49,168090.jpg,0.0,False,Dahoud,0.0,False,,u,5,36,0,380,0,2993,0,0.0,0.0,Dahoud,,,,False,p168090,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,775,330,774,331,762,327,775,330,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,246,156,725,302,776,331,712,293,0.0,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,83299,0,0,-3,3,0,2,0.8,0.5,0,Lewis,0.5,120,False,,2025-05-11T22:30:08.354775Z,42,83299.jpg,1.8,False,Dunk,2.3,False,,a,5,36,44,764625,0,1018224,0,0.1,10.5,Dunk,241.0,2009-07-01,1991-11-21,False,p83299,2081,0,1,4,42,1,0,0,5,0,0,0,223,425.4,115.7,128.0,66.9,23,0.81,1.02,1.83,35.69,0,0,0,0,0,0,0,170,63,279,79,242,65,246,78,,,4.0,,,,0.04,0.0,0.04,0.08,1.54,1.82,604,139,331,99,327,106,131,50,0.99,0.17,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,204214,0,0,-1,1,1,2,2.8,2.5,0,Pervis,2.5,122,False,,2025-01-26T12:00:08.902967Z,49,204214.jpg,2.1,False,Estupiñán,1.3,False,,a,5,36,63,528145,0,429681,0,0.5,12.9,Estupiñan,62.0,2022-07-16,1998-01-21,False,p204214,2399,1,1,3,44,0,0,0,5,0,0,7,313,504.4,530.1,173.0,120.8,26,1.09,2.43,3.52,39.85,0,0,0,0,0,0,0,141,51,68,13,203,42,111,21,2.0,,2.0,,,,0.04,0.0,0.09,0.13,1.49,1.65,255,30,160,47,279,89,177,70,0.98,0.11,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,243568,0,0,0,0,0,3,0.0,0.0,0,Billy,0.0,124,False,Transferred to Napoli,2024-08-31T06:42:09.507349Z,50,243568.jpg,1.5,False,Gilmour,0.0,False,,u,5,36,3,2640,0,16637,0,0.0,0.6,Gilmour,,,,False,p243568,97,0,0,0,1,0,0,0,0,0,0,0,21,11.4,11.9,2.0,2.5,1,0.08,0.04,0.12,1.32,0,0,0,0,0,0,0,500,230,452,231,477,241,500,234,,,,,,,0.07,0.0,0.04,0.11,1.22,0.93,213,133,742,316,390,183,604,235,0.93,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,60307,0,0,0,0,0,3,0.0,0.0,0,Pascal,0.0,125,False,Permanent transfer to Borussia Dortmund,2024-08-02T13:11:40.837259Z,65,60307.jpg,0.0,False,Groß,0.0,False,,u,5,36,0,0,0,8282,0,0.0,0.0,Gross,,,,False,p60307,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,801,346,801,346,801,346,801,346,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,41,20,793,343,800,346,651,263,0.0,0.0,36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
