can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,232980,0,0,-2,2,0,2,0.0,0.0,0,Max,0.0,59,False,Season-long loan to Valencia,2025-01-17T08:27:29.985824Z,43,232980.jpg,2.7,False,Aarons,0.1,False,,u,3,91,8,12506,0,29224,0,0.0,1.9,Aarons,241.0,2023-08-10,,False,p232980,84,0,0,1,0,0,0,0,0,0,0,0,31,13.2,3.2,0.0,1.7,1,0.00,0.01,0.01,0.28,0,0,0,0,0,0,0,496,179,484,173,627,249,514,178,,,,,,,0.0,0.0,0.01,0.01,0.3,0.0,580,126,557,227,183,55,448,159,1.07,1.07,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,200785,0,0,-1,1,0,3,2.3,2.7,3,Tyler,2.2,60,False,,2024-12-30T23:30:08.175231Z,49,200785.jpg,2.1,False,Adams,0.1,False,,a,3,91,58,16849,0,12793,0,0.4,11.8,Adams,229.0,2023-08-20,1999-02-14,False,p200785,1959,0,3,6,30,0,0,0,7,0,0,1,315,411.8,261.2,83.0,75.9,21,1.33,0.76,2.09,29.26,0,0,0,0,0,0,0,176,72,168,117,293,164,216,112,,,,,,,0.06,0.0,0.03,0.09,1.34,1.38,250,160,176,75,278,122,517,193,0.96,0.28,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,444180,0,0,0,0,0,3,0.0,0.0,0,Jaidon,0.0,61,False,Season long loan to Burnley,2024-08-30T09:46:29.420148Z,45,444180.jpg,0.0,False,Anthony,0.1,False,,u,3,91,0,8381,0,46624,0,0.0,0.0,Anthony,,,,False,p444180,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,701,274,697,274,678,265,701,274,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,392,241,614,224,706,275,472,172,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,111317,0,0,-1,1,0,3,1.3,2.0,3,David,1.5,62,False,,2024-08-12T14:30:04.440536Z,49,111317.jpg,1.8,False,Brooks,0.0,False,,a,3,91,52,9328,0,8345,0,0.3,10.6,Brooks,244.0,2018-07-01,1997-07-08,False,p111317,941,2,1,3,12,0,0,0,3,0,0,2,204,193.6,316.7,300.0,80.4,9,2.58,2.02,4.60,15.03,0,0,0,0,0,0,0,319,144,134,94,113,75,201,103,,,,,,,0.25,0.0,0.19,0.44,1.44,1.15,240,152,236,112,337,155,606,237,0.86,0.29,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,158499,0,0,-2,2,1,3,0.0,0.0,0,Ryan,0.0,63,False,Groin Injury - Expected back 01 Jun,2025-04-04T12:00:08.386754Z,48,158499.jpg,2.6,False,Christie,0.1,False,,i,3,91,76,50838,0,63311,0,0.0,15.8,Christie,243.0,2021-08-31,1995-02-22,False,p158499,2114,2,3,8,28,0,0,0,9,0,0,5,435,514.0,576.8,303.0,139.6,27,2.14,2.90,5.04,30.17,0,0,0,0,0,0,0,135,53,60,50,110,73,88,58,4.0,,,,,,0.09,0.0,0.12,0.21,1.28,1.19,288,187,710,292,192,79,437,151,1.15,0.34,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,155408,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.8,64,False,Suspended until 30 Aug,2025-05-21T00:00:07.899357Z,50,155408.jpg,2.3,False,Cook,0.1,False,,s,3,91,82,60667,0,60285,0,0.2,16.4,Cook,241.0,2016-07-08,1997-02-03,False,p155408,2976,1,4,5,44,0,0,0,8,1,0,3,500,607.0,727.1,114.0,144.9,32,0.94,3.76,4.70,45.25,0,0,0,0,0,0,0,96,35,33,29,258,146,80,54,1.0,,2.0,,,,0.03,0.0,0.11,0.14,1.37,1.33,201,122,311,144,242,104,407,140,0.97,0.15,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,168636,0,0,-1,1,0,4,0.0,0.0,0,Enes,0.0,65,False,Knee injury - Expected back 01 Jun,2025-01-09T16:30:08.243030Z,54,168636.jpg,1.9,False,Ünal,0.1,False,,i,3,91,32,47246,0,47831,0,0.0,5.9,Enes Ünal,219.0,2024-07-01,1997-05-10,False,p168636,330,2,1,2,3,0,0,0,2,0,0,4,97,104.0,56.1,207.0,35.9,2,2.73,0.26,2.99,6.38,0,0,0,0,0,0,0,395,36,353,39,169,35,341,37,,,4.0,,,,0.74,0.0,0.07,0.81,1.74,0.82,126,35,770,76,321,36,520,70,0.55,0.55,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,441240,0,0,0,0,0,3,0.0,0.0,0,Romain,0.0,66,False,Loaned to Brest,2024-08-20T12:15:06.505689Z,50,441240.jpg,0.0,False,Faivre,0.0,False,,u,3,91,0,23,0,1460,0,0.0,0.0,Faivre,,,,False,p441240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,784,337,783,337,776,335,784,337,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,218,137,745,318,784,337,746,311,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,424044,0,0,0,0,0,3,0.0,0.0,0,Hamed,0.0,67,False,Season long loan to A.J.Auxerre,2024-08-29T11:07:43.785266Z,45,424044.jpg,0.0,False,Traorè,0.0,False,,u,3,91,0,3525,0,19418,0,0.0,0.0,H.Traorè,,,,False,p424044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,700,273,696,273,676,264,700,273,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,388,240,612,223,705,274,566,215,0.0,0.0,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,75.0,463981,0,0,-1,1,0,2,0.4,0.4,0,James,0.0,68,False,,2025-05-23T14:00:08.258569Z,39,463981.jpg,1.7,False,Hill,0.5,False,,a,3,91,17,112677,0,110218,0,0.0,4.4,Hill,241.0,2022-01-05,2002-01-10,False,p463981,443,0,1,1,9,0,0,0,1,0,0,0,55,97.0,38.4,29.0,16.6,6,0.29,0.25,0.54,8.54,0,0,0,0,0,0,0,403,145,385,134,382,130,411,142,,,,,,,0.06,0.0,0.05,0.11,1.73,1.83,761,250,433,138,345,110,268,105,1.22,0.2,91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
