can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,191866,0,0,-1,1,0,2,0.0,0.2,1,Kristoffer,0.2,86,False,,2025-05-11T22:30:08.310592Z,44,191866.jpg,1.6,False,Ajer,0.2,False,,a,4,94,39,43811,0,65694,0,0.0,8.9,Ajer,161.0,2021-07-21,1998-04-17,False,p191866,1433,0,0,3,25,0,0,0,5,0,0,0,120,199.0,128.1,158.0,48.5,17,0.97,0.48,1.45,21.70,0,0,0,0,0,0,0,314,118,267,74,214,51,293,90,,,,,,,0.06,0.0,0.03,0.09,1.36,1.57,508,91,386,129,367,121,359,137,1.07,0.19,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,494041,0,0,-1,1,0,3,0.0,0.0,0,Ethan,0.0,87,False,,2024-09-10T11:15:13.439596Z,44,494041.jpg,0.0,False,Brierley,0.1,False,,a,4,94,0,14687,0,16742,0,0.0,0.0,Brierley,,,,False,p494041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,677,260,673,261,648,250,677,260,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,537,320,582,204,684,263,492,178,0.0,0.0,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,432830,0,0,1,-1,2,2,5.2,4.6,2,Nathan,4.6,88,False,,,46,432830.jpg,3.3,False,Collins,4.5,False,,a,4,94,127,992798,0,568992,0,1.0,27.6,Collins,104.0,2023-07-04,2001-04-30,False,p432830,3420,2,7,8,57,0,0,0,5,0,0,11,549,1023.2,160.5,311.0,149.6,38,2.44,1.57,4.01,56.31,0,0,0,0,0,0,0,7,1,239,61,106,7,77,10,,,,,,,0.06,0.0,0.04,0.1,1.48,1.5,357,52,46,11,114,26,83,28,1.0,0.21,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,440089,0,0,-1,1,0,3,3.2,3.0,2,Mikkel,3.0,89,False,,2024-10-12T11:00:07.165630Z,49,440089.jpg,3.4,False,Damsgaard,1.2,False,,a,4,94,131,519677,0,410351,0,0.6,26.7,Damsgaard,58.0,2022-08-10,2000-07-03,False,p440089,2911,2,10,11,41,0,0,0,2,0,0,10,611,714.8,1006.4,338.0,205.9,34,2.91,7.01,9.92,45.60,0,0,0,0,0,0,0,56,15,6,6,100,65,27,22,1.0,,3.0,,,,0.09,0.0,0.22,0.31,1.41,1.27,262,168,127,52,102,44,186,61,1.05,0.34,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,183656,0,0,-2,2,0,3,0.0,0.0,0,Josh,0.0,90,False,Knee injury - Expected back 01 Jun,2024-08-12T14:30:04.460316Z,48,183656.jpg,0.0,False,Dasilva,0.0,False,,i,4,94,0,512,0,1162,0,0.0,0.0,Dasilva,241.0,2018-08-21,1998-10-23,False,p183656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,772,329,769,329,757,325,772,329,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,290,189,712,294,773,330,752,314,0.0,0.0,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,118342,0,0,0,0,2,1,6.2,5.6,3,Mark,5.6,91,False,,2025-02-03T02:00:08.276126Z,45,118342.jpg,3.7,False,Flekken,10.0,False,,a,4,94,138,1835614,0,1826995,0,1.2,30.7,Flekken,152.0,2023-07-01,1993-06-13,False,p118342,3275,0,2,7,55,0,0,0,1,0,153,12,584,1298.4,30.3,0.0,132.5,37,0.00,0.11,0.11,54.82,0,0,0,0,0,0,0,2,1,403,2,664,68,96,1,,,,,,,0.0,4.2,0.0,0.0,1.51,1.51,367,16,27,1,69,11,40,7,1.02,0.19,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,194010,0,0,-2,2,0,2,0.5,0.4,0,Rico,0.4,92,False,,2025-01-27T01:00:08.496464Z,43,194010.jpg,0.8,False,Henry,0.0,False,,a,4,94,4,3031,0,8361,0,0.1,0.9,Henry,241.0,2016-08-31,1997-07-08,False,p194010,94,0,0,0,3,0,0,0,0,0,0,0,5,13.6,2.1,2.0,1.7,0,0.00,0.01,0.01,2.16,0,0,0,0,0,0,0,495,178,491,180,472,176,513,177,,,,,,,0.0,0.0,0.01,0.01,2.07,2.87,571,118,363,111,539,182,612,211,0.0,0.0,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,472713,0,0,-2,2,0,2,0.0,0.0,0,Aaron,0.0,93,False,,2024-08-12T14:30:04.480785Z,43,472713.jpg,0.0,False,Hickey,0.0,False,,a,4,94,0,874,0,3168,0,0.0,0.0,Hickey,243.0,2022-07-09,2002-06-10,False,p472713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,667,255,661,254,630,250,667,255,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,586,130,560,229,674,254,705,241,0.0,0.0,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,204580,0,0,-2,2,0,3,0.0,0.0,0,Vitaly,0.0,94,False,Heel Injury - Expected back 01 Jun,2025-05-01T00:30:07.901216Z,48,204580.jpg,2.3,False,Janelt,0.2,False,,i,4,94,73,112872,0,118953,0,0.0,15.2,Janelt,80.0,2020-10-03,1998-05-10,False,p204580,2251,1,3,6,38,2,0,0,3,0,0,2,384,356.6,284.2,131.0,77.2,27,0.83,2.38,3.21,37.37,0,0,0,0,0,0,0,206,90,155,108,239,137,209,108,,,,,,,0.03,0.0,0.1,0.13,1.49,1.52,293,191,713,295,239,102,394,133,1.08,0.24,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,207283,0,0,-2,2,0,3,1.0,1.0,1,Mathias,1.0,95,False,,2025-04-01T14:00:08.042702Z,53,207283.jpg,1.6,False,Jensen,0.1,False,,a,4,94,38,9229,0,22220,0,0.2,7.2,Jensen,58.0,2019-07-10,1996-01-01,False,p207283,846,0,2,2,17,0,0,0,2,0,0,1,179,157.0,249.5,32.0,43.8,8,0.23,1.75,1.98,16.41,0,0,0,0,0,0,0,344,157,176,120,378,201,308,157,3.0,,,,,,0.02,0.0,0.19,0.21,1.75,1.81,151,91,288,136,377,175,511,187,0.85,0.21,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
