can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,532605,0,0,0,0,0,3,0.0,0.0,0,Andrey,0.0,150,False,Has joined Strasbourg on a season-long loan,2024-08-05T10:16:34.176364Z,45,532605.jpg,0.0,False,Nascimento dos Santos,0.0,False,,u,6,8,0,0,0,631,0,0.0,0.0,Andrey Santos,,,,False,p532605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,737,305,733,305,717,297,737,305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,446,281,658,259,741,306,775,328,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,518620,0,0,0,0,0,3,0.0,0.0,0,Ângelo Gabriel,0.0,151,False,Transferred to Al-Nassr,2024-09-05T10:38:18.297070Z,45,518620.jpg,0.0,False,Borges Damaceno,0.1,False,,u,6,8,0,5940,0,30655,0,0.0,0.0,Ângelo,,,,False,p518620,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,729,298,725,298,707,289,729,298,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,435,273,648,251,733,299,462,167,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,242880,0,0,-3,3,0,2,-0.5,-0.5,0,Benoît,0.0,153,False,,2024-12-16T10:30:07.655172Z,42,242880.jpg,1.4,False,Badiashile,0.1,False,,a,6,8,7,12686,0,22025,0,0.0,1.7,B.Badiashile,73.0,2023-01-05,2001-03-26,False,p242880,332,0,0,0,5,0,0,0,0,0,0,0,35,66.0,12.6,0.0,7.9,3,0.00,0.08,0.08,5.34,0,0,0,0,0,0,0,427,155,448,160,621,246,457,161,,,,,,,0.0,0.0,0.02,0.02,1.45,1.36,620,153,547,220,400,134,482,169,0.81,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,482158,0,0,-1,1,0,1,-0.5,-0.5,0,Lucas,0.0,154,False,,,39,482158.jpg,0.0,False,Bergström,0.2,False,,a,6,8,0,25963,0,28478,0,0.0,0.0,Bergström,72.0,2021-07-27,2002-09-05,False,p482158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,586,58,567,41,520,21,586,58,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,764,79,436,43,595,58,335,50,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,122074,0,0,-1,1,0,1,-0.5,-0.5,0,Marcus,0.0,155,False,,,39,122074.jpg,0.0,False,Bettinelli,0.4,False,,a,6,8,0,34216,0,36904,0,0.0,0.0,Bettinelli,241.0,2021-07-28,1992-05-24,False,p122074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,575,48,555,30,507,10,575,48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,742,68,422,33,585,49,290,44,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,486672,0,0,-1,1,0,3,3.0,2.7,2,Moisés,3.2,157,False,,,49,486672.jpg,2.6,False,Caicedo Corozo,1.0,False,,a,6,8,98,294654,0,289677,0,0.7,20.0,Caicedo,62.0,2023-08-14,2001-11-02,False,p486672,3351,1,4,12,42,0,0,0,11,0,0,4,650,627.6,568.8,95.0,129.2,38,0.81,2.82,3.63,45.42,0,0,0,0,0,0,0,83,29,62,51,280,155,99,64,,,,,,,0.02,0.0,0.08,0.1,1.22,1.13,270,173,107,44,195,82,209,65,1.02,0.32,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,505187,0,0,-1,1,0,3,0.0,0.0,0,Cesare,0.0,158,False,Loaned to Torino,2025-02-03T10:23:25.268868Z,44,505187.jpg,0.0,False,Casadei,0.1,False,,u,6,8,0,23729,0,31224,0,0.0,0.0,Casadei,106.0,2022-08-19,,False,p505187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,678,261,674,262,649,251,678,261,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,541,323,584,206,685,264,465,169,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,180736,0,0,-1,1,4,2,2.5,0.3,0,Trevoh,0.8,159,False,,2025-02-22T21:00:09.834402Z,44,180736.jpg,3.7,False,Chalobah,0.7,False,,a,6,8,93,279303,0,230679,0,0.2,21.1,Chalobah,241.0,2018-02-16,1999-07-05,False,p180736,1969,3,1,6,25,0,0,0,3,0,0,11,379,496.4,124.2,222.0,84.6,23,1.98,0.64,2.62,27.15,0,0,0,0,0,0,0,145,55,272,75,158,25,187,56,,,,,,,0.09,0.0,0.03,0.12,1.24,1.14,507,90,301,91,68,9,234,90,1.05,0.27,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,478912,0,0,-3,3,0,3,0.0,0.0,0,Carney,0.0,161,False,Loaned to Borussia Dortmund,2025-02-04T10:49:46.028103Z,47,478912.jpg,0.0,False,Chukwuemeka,0.0,False,,u,6,8,0,4843,0,8839,0,0.0,0.0,Chukwuemeka,241.0,2022-08-04,,False,p478912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,771,328,768,328,755,323,771,328,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,335,218,704,289,772,329,579,223,0.0,0.0,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,460028,0,0,-1,1,2,2,3.0,5.3,15,Levi,5.8,162,False,,2025-01-17T15:00:07.145576Z,44,460028.jpg,3.1,False,Colwill,2.4,False,,a,6,8,109,1105860,0,958654,0,1.3,24.8,Colwill,241.0,2022-07-01,2003-02-26,False,p460028,3150,2,1,10,41,0,0,0,9,0,0,6,461,692.0,214.3,185.0,109.4,35,1.92,1.31,3.23,43.52,0,0,0,0,0,0,0,60,24,194,43,195,36,133,35,,,,,,,0.05,0.0,0.04,0.09,1.24,1.17,531,105,25,7,132,35,125,46,1.0,0.29,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
