can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,205533,0,0,-1,1,1,4,3.7,2.8,1,Eddie,3.8,11,False,,2025-04-05T16:30:06.717546Z,59,205533.jpg,1.8,False,Nketiah,0.7,False,,a,7,31,53,332394,0,321499,0,0.6,9.0,Nketiah,241.0,2024-08-30,1999-05-30,False,p205533,1018,3,2,2,17,0,0,0,4,1,0,4,186,192.2,163.7,475.0,82.5,9,5.94,0.83,6.77,14.29,0,0,0,0,0,0,0,320,28,234,25,68,24,194,25,,,,,,,0.53,0.0,0.07,0.6,1.26,1.5,81,23,85,10,343,38,246,41,0.8,0.18,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,75.0,75.0,172850,0,0,-4,4,0,2,1.3,0.8,0,Ben,2.0,160,False,Illness - 75% chance of playing,2025-05-23T14:00:08.414449Z,46,172850.jpg,1.6,False,Chilwell,0.5,False,,d,7,31,13,56707,0,110689,0,0.4,2.8,Chilwell,241.0,2025-02-03,1996-12-21,False,p172850,254,1,0,0,4,0,0,0,1,0,0,0,54,99.6,69.2,37.0,20.7,1,0.25,0.88,1.13,2.84,0,0,0,0,0,0,0,402,144,336,109,360,122,395,136,,,,,,,0.09,0.0,0.31,0.4,1.01,1.42,353,49,193,59,371,122,258,100,0.35,0.0,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,466117,0,0,0,0,0,3,0.0,0.0,0,Naouirou,0.0,190,False,Loaned to Rennes,2024-08-31T06:25:25.419519Z,45,466117.jpg,0.0,False,Ahamada,0.1,False,,u,7,31,0,6178,0,35185,0,0.0,0.0,Ahamada,,,,False,p466117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,710,282,707,282,687,273,710,282,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,403,250,624,232,715,283,491,177,0.0,0.0,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,438464,0,0,-2,2,0,3,0.0,0.0,0,Cheick,0.0,193,False,Knee injury - Expected back 01 Jun,2025-01-24T16:00:08.864027Z,48,438464.jpg,1.5,False,Doucouré,0.0,False,,i,7,31,19,12980,0,20016,0,0.0,4.0,C.Doucouré,132.0,2022-07-11,2000-01-08,False,p438464,443,0,1,1,6,0,0,0,1,0,0,0,71,58.6,25.7,23.0,10.8,4,0.40,0.11,0.51,7.53,0,0,0,0,0,0,0,432,196,418,218,395,206,439,208,,,,,,,0.08,0.0,0.02,0.1,1.53,1.22,311,201,720,299,386,179,571,219,0.81,0.2,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,427623,0,0,-1,1,0,2,2.0,1.8,2,Chris,2.8,194,False,,2025-04-01T14:00:08.193427Z,44,427623.jpg,2.8,False,Richards,0.2,False,,a,7,31,68,39594,0,40987,0,0.6,15.5,C.Richards,229.0,2022-07-27,2000-03-28,False,p427623,1921,1,1,7,31,0,0,0,2,1,0,2,249,470.8,45.0,181.0,69.6,22,1.33,0.60,1.93,29.78,0,0,0,0,0,0,0,153,59,371,129,199,39,235,74,,,,,,,0.06,0.0,0.03,0.09,1.4,1.45,528,104,138,35,168,51,364,139,1.03,0.33,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,515621,0,0,-2,2,0,2,0.0,0.0,0,Chadi,0.0,195,False,Knee injury - Expected back 01 Jun,2025-01-24T16:00:08.878612Z,43,515621.jpg,1.0,False,Riad Dnanou,0.0,False,,i,7,31,1,2767,0,14454,0,0.0,0.2,Chadi Riad,145.0,2024-07-02,2003-06-17,False,p515621,90,0,0,0,2,0,0,0,0,0,0,0,3,18.2,1.3,0.0,2.0,1,0.00,0.02,0.02,1.39,0,0,0,0,0,0,0,486,174,495,183,632,251,508,175,,,,,,,0.0,0.0,0.02,0.02,1.39,2.0,595,134,563,231,480,174,572,198,1.0,0.0,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,75.0,75.0,57328,0,0,-2,2,0,2,-0.8,-0.8,0,Nathaniel,0.0,196,False,Illness - 75% chance of playing,2025-05-23T14:00:08.468821Z,43,57328.jpg,1.4,False,Clyne,0.1,False,,d,7,31,18,10509,0,15927,0,0.0,4.2,Clyne,241.0,2020-10-14,1991-04-05,False,p57328,477,0,0,1,11,0,0,0,1,0,0,0,48,66.6,51.8,8.0,12.4,5,0.02,0.24,0.26,10.11,0,0,0,0,0,0,0,425,153,359,122,440,161,429,152,,,,,,,0.0,0.0,0.05,0.05,1.91,2.08,559,109,552,223,401,135,466,163,0.94,0.19,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,450535,0,0,0,0,0,3,0.0,0.0,0,Malcolm,0.0,197,False,Season long loan to Oxford United,2024-08-06T17:23:26.723638Z,45,450535.jpg,0.0,False,Ebiowei,0.0,False,,u,7,31,0,0,0,481,0,0.0,0.0,Ebiowei,241.0,2022-07-01,2003-09-04,False,p450535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,702,275,698,275,679,266,702,275,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,393,242,615,225,707,276,780,331,0.0,0.0,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,232413,0,0,0,0,2,3,9.7,7.8,3,Eberechi,8.8,199,False,,2025-01-31T15:00:08.813444Z,70,232413.jpg,4.4,False,Eze,14.6,False,,a,7,31,148,3030839,0,4722130,0,1.3,21.1,Eze,241.0,2020-08-28,1998-06-29,False,p232413,2588,8,8,10,34,0,0,1,1,0,0,15,605,685.0,849.2,691.0,222.4,31,10.39,4.67,15.06,35.03,0,0,0,0,0,0,0,62,18,15,13,38,23,16,11,1.0,,1.0,,2.0,,0.36,0.0,0.16,0.52,1.22,1.18,27,15,6,2,28,15,27,8,1.08,0.35,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,209036,0,0,2,-2,2,2,0.0,0.0,0,Marc,2.2,200,False,Eye Injury - Expected back 01 Jun,2025-05-19T15:30:05.944462Z,47,209036.jpg,3.4,False,Guéhi,5.7,False,,i,7,31,116,1349618,0,1494548,0,0.5,24.7,Guéhi,241.0,2021-07-18,2000-07-13,False,p209036,3059,3,2,11,42,3,0,0,7,1,0,11,492,827.0,237.6,247.0,131.0,34,1.87,2.01,3.88,41.55,0,0,0,0,0,0,0,28,9,183,38,137,17,98,15,,,,,,,0.06,0.0,0.06,0.12,1.22,1.24,325,44,170,50,101,21,65,21,1.0,0.32,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
