can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,440323,0,0,-2,2,0,4,-0.5,-0.5,0,Armando,0.0,156,False,,2025-04-19T20:30:07.515553Z,53,440323.jpg,1.2,False,Broja,0.1,False,,a,8,11,12,13420,0,19014,0,0.0,2.3,Broja,2.0,2024-08-30,2001-09-10,False,p440323,327,0,0,2,2,0,0,0,1,0,0,0,23,20.2,53.8,43.0,10.9,4,0.11,0.11,0.22,3.82,0,0,0,0,0,0,0,482,47,358,40,353,47,437,45,,,,,,,0.03,0.0,0.03,0.06,1.05,0.55,153,40,768,75,442,47,522,71,1.1,0.55,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,121599,0,0,-4,4,0,3,2.0,1.7,1,Abdoulaye,2.2,217,False,,2025-02-12T22:30:09.537351Z,51,121599.jpg,2.8,False,Doucouré,0.5,False,,a,8,11,94,164611,0,165308,0,0.4,18.4,A.Doucoure,132.0,2020-09-08,1993-01-01,False,p121599,2563,3,2,11,33,0,0,0,3,1,0,5,333,352.6,379.4,348.0,107.6,31,4.15,1.41,5.56,34.38,0,0,0,0,0,0,0,210,93,107,78,97,63,138,80,,,,,,,0.15,0.0,0.05,0.2,1.21,1.16,180,107,180,78,174,73,266,82,1.09,0.39,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,486385,0,0,-2,2,1,4,4.0,4.0,2,Norberto Bercique,4.5,218,False,,,48,486385.jpg,2.9,False,Gomes Betuncal,3.9,False,,a,8,11,87,1436358,0,1072086,0,0.9,18.1,Beto,90.0,2023-08-29,1998-01-31,False,p486385,1521,8,0,4,24,0,0,0,2,0,0,11,295,373.2,163.9,666.0,119.5,15,7.89,0.44,8.33,18.80,0,0,0,0,0,0,0,197,20,233,24,43,18,116,20,,,,,,,0.47,0.0,0.03,0.5,1.11,1.42,314,61,48,5,151,22,99,18,0.89,0.24,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,480455,0,0,-1,1,0,2,0.0,0.0,0,Jarrad,2.2,219,False,Hamstring injury - Expected back 01 Jul,2025-05-18T20:30:07.482582Z,49,480455.jpg,2.9,False,Branthwaite,1.9,False,,i,8,11,88,382261,0,419180,0,0.4,18.0,Branthwaite,241.0,2020-06-20,2002-06-27,False,p480455,2509,0,1,9,28,0,0,0,4,0,0,3,420,624.6,57.7,130.0,81.3,28,1.20,0.61,1.81,29.83,0,0,0,0,0,0,0,87,32,350,116,240,64,198,62,,,,,,,0.04,0.0,0.02,0.06,1.07,1.0,268,33,178,52,152,41,140,53,1.0,0.32,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,177815,0,0,-6,6,1,4,0.3,0.5,1,Dominic,1.0,220,False,,2025-01-25T21:00:09.935532Z,54,177815.jpg,2.4,False,Calvert-Lewin,1.0,False,,a,8,11,63,1022531,0,1136648,0,0.2,11.7,Calvert-Lewin,241.0,2016-10-01,1997-03-16,False,p177815,1602,3,2,8,18,0,0,0,2,0,0,3,157,200.2,126.1,573.0,89.2,19,6.53,0.63,7.16,24.83,0,0,0,0,0,0,0,313,27,270,30,53,20,171,23,,,,,1.0,,0.37,0.0,0.04,0.41,1.39,1.01,127,36,289,28,229,26,201,33,1.07,0.45,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,59949,0,0,-2,2,0,2,0.0,0.0,0,Séamus,0.5,221,False,Thigh injury - Expected back 01 Jun,2025-05-18T20:30:07.497165Z,43,59949.jpg,1.0,False,Coleman,0.0,False,,i,8,11,5,6327,0,8964,0,0.1,1.2,Coleman,104.0,2009-02-02,1988-10-11,False,p59949,214,0,0,0,4,0,0,0,1,0,0,0,17,42.4,3.8,23.0,7.1,3,0.62,0.03,0.65,4.45,0,0,0,0,0,0,0,446,164,481,171,393,137,462,163,,,,,,,0.26,0.0,0.01,0.27,1.87,1.68,560,110,333,101,478,172,592,206,1.26,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,80801,0,0,-2,2,0,3,1.7,1.7,2,Idrissa,2.2,222,False,,2024-09-19T14:30:05.586621Z,48,80801.jpg,2.4,False,Gueye,0.2,False,,a,8,11,89,115257,0,106249,0,0.5,18.5,Gana,189.0,2022-09-01,1989-09-26,False,p80801,3063,0,3,12,39,0,0,0,9,0,0,5,505,522.0,327.2,117.0,96.6,35,1.15,1.99,3.14,39.88,0,0,0,0,0,0,0,131,51,127,89,256,145,155,90,,,,,,,0.03,0.0,0.06,0.09,1.17,1.15,281,181,172,72,222,92,384,127,1.03,0.35,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,232928,0,0,-1,1,0,3,1.5,1.5,2,James,2.0,223,False,,2024-10-17T14:00:07.870350Z,49,232928.jpg,2.0,False,Garner,0.0,False,,a,8,11,42,3724,0,4907,0,0.4,8.6,Garner,241.0,2022-09-01,2001-03-13,False,p232928,1590,0,1,5,19,0,0,0,5,0,0,0,244,264.8,248.2,93.0,60.4,17,0.67,1.37,2.04,19.71,0,0,0,0,0,0,0,262,119,177,121,282,157,266,138,,,2.0,,,,0.04,0.0,0.08,0.12,1.12,1.08,260,166,195,84,301,134,657,269,0.96,0.28,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,221399,0,0,-3,3,0,3,1.0,1.3,3,Jack,1.8,224,False,,2024-09-19T14:30:05.601507Z,52,221399.jpg,2.4,False,Harrison,0.2,False,,a,8,11,81,44264,0,49932,0,0.3,15.6,Harrison,241.0,2023-08-14,1996-11-20,False,p221399,2068,1,3,7,27,0,0,0,0,0,0,4,291,277.0,527.7,288.0,108.6,24,3.54,3.12,6.66,31.23,0,0,0,0,0,0,0,254,116,69,54,119,79,134,78,,,,,,,0.15,0.0,0.14,0.29,1.36,1.18,169,102,219,98,227,97,401,138,1.04,0.3,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,194164,0,0,0,0,0,2,0.0,0.0,0,Mason,0.0,225,False,Loaned to West Bromwich Albion,2024-08-31T08:24:25.909228Z,40,194164.jpg,1.0,False,Holgate,0.1,False,,u,8,11,1,11786,0,52358,0,0.0,0.2,Holgate,,,,False,p194164,5,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.07,0,0,0,0,0,0,0,594,201,578,199,537,188,594,201,,,,,,,0.0,0.0,0.0,0.0,1.26,18.0,644,167,454,150,463,159,415,148,0.0,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,490094,0,0,-2,2,0,3,0.0,0.0,0,Tim,0.5,226,False,Groin Injury - Expected back 01 Jun,2025-05-25T13:00:08.397954Z,43,490094.jpg,1.2,False,Iroegbunam,0.6,False,,i,8,11,22,278892,0,252681,0,0.1,5.1,Iroegbunam,241.0,2024-06-22,2003-06-30,False,p490094,562,0,1,0,16,0,0,0,4,0,0,0,82,122.2,40.9,32.0,19.6,5,0.23,0.14,0.37,12.25,0,0,0,0,0,0,0,372,173,379,205,373,198,398,192,,,,,,,0.04,0.0,0.02,0.06,1.96,2.56,588,341,339,158,434,204,249,79,0.8,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,222627,0,0,-2,2,0,1,-0.5,-0.5,0,João,0.0,227,False,,,38,222627.jpg,0.0,False,Neves Virgínia,1.0,False,,a,8,11,0,132962,0,92376,0,0.0,0.0,J.Virginia,173.0,2018-08-27,1999-10-10,False,p222627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,571,44,549,24,500,3,571,44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,782,82,414,28,581,45,210,28,0.0,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,106611,0,0,-2,2,2,2,2.0,3.5,6,Michael,4.0,228,False,,2024-12-06T10:30:07.770742Z,38,106611.jpg,3.4,False,Keane,4.3,False,,a,8,11,48,1676451,0,1471444,0,1.1,12.6,Keane,241.0,2017-07-03,1993-01-11,False,p106611,1046,3,0,3,20,0,0,0,5,0,0,4,139,306.6,23.2,123.0,45.4,11,0.61,0.02,0.63,19.16,0,0,0,0,0,0,0,238,89,425,152,245,68,304,95,,,,,,,0.05,0.0,0.0,0.05,1.65,1.72,777,262,58,14,97,18,89,33,0.95,0.26,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,115382,0,0,-1,1,0,4,0.0,0.0,0,Neal,0.0,229,False,Transferred to Marseille,2024-08-31T06:13:30.372925Z,49,115382.jpg,0.0,False,Maupay,0.2,False,,u,8,11,0,20402,0,164668,0,0.0,0.0,Maupay,,,,False,p115382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,774,76,773,75,761,76,774,76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,241,51,723,64,775,77,339,54,0.0,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,433154,0,0,-4,4,3,3,4.7,4.7,1,Dwight,5.2,230,False,,2024-12-14T22:30:07.956313Z,51,433154.jpg,4.4,False,McNeil,1.4,False,,a,8,11,93,1765302,0,1751563,0,1.0,18.2,McNeil,241.0,2022-07-28,1999-11-22,False,p433154,1366,4,8,5,24,0,0,0,1,0,0,9,401,392.0,631.8,207.0,123.3,15,1.05,4.49,5.53,21.12,0,0,0,0,0,0,0,187,79,50,41,168,108,107,67,1.0,,,,,,0.07,0.0,0.3,0.37,1.39,1.58,187,112,37,12,26,13,172,56,0.99,0.33,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,224967,0,0,-1,1,1,2,4.0,5.7,9,Vitalii,6.2,231,False,,2025-04-05T16:00:08.540143Z,44,224967.jpg,3.5,False,Mykolenko,6.7,False,,a,8,11,121,1637298,0,1780064,0,1.4,27.5,Mykolenko,225.0,2022-01-01,1999-05-29,False,p224967,3082,1,3,11,39,0,0,0,4,0,0,9,467,621.4,428.5,100.0,115.2,35,0.48,2.12,2.60,39.81,0,0,0,0,0,0,0,88,33,91,17,273,79,123,30,,,,,,,0.01,0.0,0.06,0.07,1.16,1.14,515,97,16,3,89,15,57,19,1.02,0.32,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,440993,0,0,-3,3,3,4,3.7,4.0,2,Iliman,4.5,232,False,,2025-02-12T22:30:09.619740Z,52,440993.jpg,3.5,False,Ndiaye,1.1,False,,a,8,11,114,1109282,0,1023439,0,0.9,21.9,Ndiaye,189.0,2024-07-03,2000-03-06,False,p440993,2426,9,0,15,24,0,0,0,3,0,0,21,552,598.0,326.4,493.0,142.0,29,6.23,1.36,7.59,29.01,0,0,0,0,0,0,0,101,10,128,13,65,22,86,19,,,,,,,0.23,0.0,0.05,0.28,1.08,0.89,173,43,50,6,92,20,193,28,1.08,0.56,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,243571,0,0,-1,1,0,2,0.7,0.3,0,Nathan,0.8,234,False,,2025-02-12T12:30:09.421305Z,44,243571.jpg,1.4,False,Patterson,0.0,False,,a,8,11,14,4539,0,5161,0,0.2,3.2,Patterson,243.0,2022-01-04,2001-10-16,False,p243571,342,0,1,0,6,0,0,0,1,0,0,0,47,71.6,70.3,12.0,15.5,3,0.07,0.38,0.45,4.48,0,0,0,0,0,0,0,420,151,335,108,427,154,420,146,,,,,,,0.02,0.0,0.1,0.12,1.18,1.58,526,102,302,92,408,140,616,212,0.79,0.0,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,111234,0,0,2,-2,5,1,3.3,5.0,11,Jordan,5.5,235,True,,,52,111234.jpg,4.2,False,Pickford,15.9,False,,a,8,11,158,2522034,0,2440525,0,1.1,30.4,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,3420,0,1,12,44,0,2,0,7,0,122,15,593,1052.0,20.3,0.0,107.0,38,0.00,0.22,0.22,46.11,0,0,0,0,0,0,0,5,2,429,5,787,79,140,2,,,,,,,0.0,3.21,0.01,0.01,1.21,1.16,165,6,30,2,32,6,24,3,1.0,0.32,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
