can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,200641,0,0,0,0,0,3,0.0,0.0,0,Reiss,0.0,10,False,Hamstring injury - Expected back 01 Jun,2024-12-05T00:30:07.571778Z,50,200641.jpg,2.2,False,Nelson,0.0,False,,i,9,54,27,16146,0,18679,0,0.0,5.4,Nelson,241.0,2024-08-30,1999-12-10,False,p200641,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,5,1.07,0.96,2.03,6.13,0,0,0,0,0,0,0,366,170,189,130,184,116,277,144,4.0,,,,,,0.2,0.0,0.18,0.38,1.14,1.68,203,124,740,314,258,110,555,210,0.93,0.19,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,209289,0,0,-5,5,1,3,3.3,1.5,1,Emile,2.0,19,False,,2025-04-21T04:30:07.475951Z,50,209289.jpg,3.4,False,Smith Rowe,7.3,False,,a,9,54,114,3645005,0,4579201,0,0.4,22.8,Smith Rowe,241.0,2024-08-02,2000-07-28,False,p209289,2036,6,3,7,28,0,0,0,3,0,0,15,449,433.8,422.3,386.0,124.4,25,4.45,2.04,6.49,25.35,0,0,0,0,0,0,0,164,66,94,73,88,58,104,66,,,,,,,0.2,0.0,0.09,0.29,1.12,1.24,205,126,196,85,105,47,52,17,1.11,0.31,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,174874,0,0,-3,3,0,2,0.7,0.5,1,Joachim,1.0,191,False,,2024-12-20T17:00:08.228623Z,42,174874.jpg,1.7,False,Andersen,3.4,False,,a,9,54,51,273468,0,1719354,0,0.2,12.1,Andersen,58.0,2024-08-23,1996-05-31,False,p174874,2673,0,0,4,47,1,0,0,7,1,0,3,306,687.6,99.0,162.0,95.0,30,1.04,0.57,1.61,37.85,0,0,0,0,0,0,0,61,25,302,92,208,46,157,40,,,,,,,0.04,0.0,0.02,0.06,1.27,1.58,614,147,266,75,347,111,106,41,1.01,0.13,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,159533,0,0,-5,5,0,3,3.3,2.5,2,Adama,3.0,239,False,,2025-03-03T01:00:07.621217Z,45,159533.jpg,2.6,False,Traoré,1.4,False,,a,9,54,95,845435,0,780837,0,0.7,21.1,Adama,200.0,2023-08-12,1996-01-25,False,p159533,1756,2,8,3,28,0,0,0,3,0,0,8,384,385.4,632.1,426.0,144.6,18,4.11,4.61,8.72,25.17,0,0,0,0,0,0,0,191,82,49,40,77,49,82,55,,,,,,,0.21,0.0,0.24,0.45,1.29,1.44,369,233,122,50,190,78,166,54,0.92,0.15,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,156689,0,0,-6,6,0,3,0.3,0.5,2,Andreas,1.0,240,False,,2024-12-14T22:00:08.101494Z,49,156689.jpg,2.5,False,Hoelgebaum Pereira,0.8,False,,a,9,54,81,155487,0,444489,0,0.2,16.5,Andreas,30.0,2022-07-11,1996-01-01,False,p156689,2004,2,6,5,32,0,0,1,8,0,0,2,355,326.6,868.3,300.0,149.0,25,4.24,4.63,8.87,27.35,0,0,0,0,0,0,0,227,101,13,12,114,76,78,52,1.0,,1.0,,1.0,,0.19,0.0,0.21,0.4,1.23,1.44,243,153,281,132,211,88,223,71,1.12,0.22,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,232892,0,0,0,0,1,2,0.7,0.3,0,Calvin,0.8,241,False,,2024-12-09T09:30:06.333045Z,45,232892.jpg,2.1,False,Bassey,0.6,False,,a,9,54,75,131118,0,112970,0,0.2,16.7,Bassey,157.0,2023-07-28,1999-12-31,False,p232892,3074,1,0,5,47,0,0,0,7,0,0,0,390,587.2,96.7,157.0,84.1,34,1.02,0.42,1.44,39.22,0,0,0,0,0,0,0,107,39,304,93,216,53,188,57,,,,,,,0.03,0.0,0.01,0.04,1.15,1.38,381,65,305,93,270,88,248,95,1.0,0.15,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,428971,0,0,-1,1,0,1,-0.5,-0.5,0,Steven,0.0,242,False,,,39,428971.jpg,0.0,False,Benda,0.3,False,,a,9,54,0,34233,0,46110,0,0.0,0.0,Benda,80.0,2023-08-30,1998-10-01,False,p428971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,582,54,563,37,516,17,582,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,757,75,430,39,591,54,295,45,0.0,0.0,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,76357,0,0,-2,2,0,3,1.5,1.7,2,Tom,2.2,243,False,,2025-02-22T21:00:09.945910Z,48,76357.jpg,1.3,False,Cairney,0.0,False,,a,9,54,33,4648,0,6915,0,0.5,6.9,Cairney,243.0,2015-07-07,1991-01-20,False,p76357,610,2,0,1,12,0,0,0,3,1,0,0,192,163.8,213.8,94.0,47.2,3,0.73,1.14,1.87,9.59,0,0,0,0,0,0,0,338,154,197,134,281,156,300,153,,,,,,,0.11,0.0,0.17,0.28,1.41,1.77,280,180,171,71,423,198,610,240,0.44,0.15,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,166477,0,0,-3,3,0,2,0.0,0.0,0,Timothy,0.2,244,False,Ankle injury - Expected back 01 Jun,2025-05-07T22:00:07.863791Z,42,166477.jpg,1.9,False,Castagne,0.8,False,,i,9,54,46,237055,0,426100,0,0.0,11.0,Castagne,21.0,2023-08-29,1995-12-05,False,p166477,1642,0,1,3,28,0,0,0,1,0,0,0,205,360.4,163.6,123.0,64.9,17,0.38,0.56,0.94,22.39,0,0,0,0,0,0,0,201,73,235,58,246,69,251,80,,,,,,,0.02,0.0,0.03,0.05,1.23,1.53,613,146,378,122,310,100,226,86,0.93,0.16,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,219924,0,0,-2,2,0,2,-0.5,-0.5,0,Issa,0.0,245,False,,,43,219924.jpg,1.5,False,Diop,0.2,False,,a,9,54,31,30390,0,39287,0,0.0,7.2,Diop,73.0,2022-08-10,1997-01-09,False,p219924,1334,0,0,1,19,1,0,0,2,0,0,0,146,257.6,44.7,83.0,38.3,15,0.51,0.07,0.58,19.98,0,0,0,0,0,0,0,268,99,372,130,292,87,332,110,,,,,,,0.03,0.0,0.0,0.03,1.35,1.28,575,121,554,224,380,125,358,136,1.01,0.07,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
