can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,474120,0,0,-1,1,1,3,3.3,2.7,0,Julio,3.2,121,False,,2025-02-15T18:30:08.525864Z,54,474120.jpg,2.4,False,Enciso,0.2,False,,a,10,40,59,51759,0,38911,0,0.6,10.9,Enciso,168.0,2025-01-23,2004-01-23,False,p474120,1155,2,3,2,22,0,0,0,3,0,0,5,224,250.8,268.9,362.0,87.7,14,2.82,1.32,4.14,22.10,0,0,0,0,0,0,0,273,124,162,112,92,61,174,95,5.0,,3.0,,,,0.22,0.0,0.1,0.32,1.72,1.71,138,86,109,46,230,99,348,111,1.09,0.16,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,462387,0,0,-3,3,0,4,0.0,0.0,0,Ali,0.0,260,False,Loaned to Stoke City,2025-01-27T09:58:45.208139Z,47,462387.jpg,0.7,False,Al-Hamadi,0.2,False,,u,10,40,8,61694,0,88018,0,0.0,1.7,Al-Hamadi,103.0,2024-01-29,,False,p462387,125,0,0,0,5,0,0,0,3,0,0,0,15,5.6,25.7,32.0,6.0,0,0.35,0.04,0.39,3.84,0,0,0,0,0,0,0,513,51,417,47,376,49,473,49,,,,,2.0,,0.25,0.0,0.03,0.28,2.76,3.6,332,62,703,60,547,63,350,55,0.0,0.0,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,517178,0,0,0,0,0,2,0.0,0.0,0,Elkan,0.0,261,False,Season long loan to Blackpool,2024-08-07T08:20:38.133494Z,40,517178.jpg,0.0,False,Baggott,0.0,False,,u,10,40,0,0,0,2914,0,0.0,0.0,Baggott,,,,False,p517178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,628,225,615,223,575,213,628,225,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,688,198,494,178,635,224,696,239,0.0,0.0,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,173818,0,0,-1,1,0,3,-0.3,1.7,8,Nathan,2.2,262,False,,2025-04-21T04:30:07.746088Z,49,173818.jpg,2.1,False,Broadhead,0.0,False,,a,10,40,37,2574,0,3241,0,0.4,7.6,Broadhead,244.0,2023-01-09,1998-04-05,False,p173818,690,2,0,2,12,0,0,0,1,0,0,1,137,148.2,111.0,155.0,41.4,7,1.74,1.05,2.79,11.72,0,0,0,0,0,0,0,352,159,284,171,218,127,315,160,,,1.0,,3.0,,0.23,0.0,0.14,0.37,1.53,1.57,247,157,175,74,277,121,700,285,0.91,0.26,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,50.0,122411,0,0,-2,2,0,2,0.7,0.5,0,Cameron,1.5,263,False,,2025-05-18T20:30:07.575686Z,38,122411.jpg,1.4,False,Burgess,1.8,False,,a,10,40,26,479374,0,340013,0,0.4,6.8,Burgess,13.0,2021-08-15,1995-10-21,False,p122411,1540,0,2,0,37,0,0,0,0,0,0,0,122,422.0,87.2,103.0,61.4,16,1.08,0.34,1.42,35.17,0,0,0,0,0,0,0,171,64,313,98,270,76,263,81,,,,,,,0.06,0.0,0.02,0.08,2.06,2.16,778,263,230,67,394,128,146,57,0.94,0.0,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,149929,0,0,-3,3,0,3,0.0,0.0,0,Wes,0.0,264,False,Knee injury - Expected back 01 Jun,2025-01-25T21:00:10.042481Z,47,149929.jpg,1.7,False,Burns,0.0,False,,i,10,40,30,5890,0,13279,0,0.0,6.4,Burns,244.0,2021-06-09,1994-11-23,False,p149929,922,0,1,1,23,0,0,0,1,0,0,0,144,111.6,148.5,66.0,31.8,12,0.50,1.17,1.67,23.62,0,0,0,0,0,0,0,385,183,247,155,316,174,357,178,,,,,,,0.05,0.0,0.11,0.16,2.31,2.25,320,207,699,286,351,161,621,244,1.17,0.1,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,196411,0,0,-4,4,0,3,0.5,0.7,2,Conor,1.2,265,False,,2025-01-03T20:00:09.216849Z,51,196411.jpg,1.9,False,Chaplin,0.1,False,,a,10,40,41,8181,0,27519,0,0.2,8.0,Chaplin,241.0,2021-07-27,1997-02-16,False,p196411,845,1,2,1,19,0,0,0,2,0,0,0,139,106.6,152.1,108.0,36.1,10,1.52,0.61,2.13,17.93,0,0,0,0,0,0,0,390,185,244,154,266,151,340,169,,,,,,,0.16,0.0,0.06,0.22,1.91,2.02,183,109,257,122,320,145,494,179,1.07,0.11,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,232228,0,0,0,0,0,2,0.0,0.0,0,Harry,0.0,266,False,Loaned to Sheffield United,2025-02-03T10:21:05.274215Z,40,232228.jpg,0.1,False,Clarke,0.0,False,,u,10,40,1,10773,0,12416,0,0.0,0.2,H.Clarke,241.0,2023-01-19,,False,p232228,377,0,0,0,10,1,0,0,1,1,0,0,-5,48.2,24.4,35.0,10.5,4,0.08,0.10,0.18,9.10,0,0,0,0,0,0,0,441,160,422,151,363,123,441,154,,,,,,,0.02,0.0,0.02,0.04,2.17,2.39,654,175,464,158,560,196,558,193,0.95,0.0,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,455084,0,0,-3,3,2,2,-0.3,0.0,1,Leif,0.5,267,False,,2025-04-21T04:30:07.768773Z,42,455084.jpg,1.6,False,Davis,0.9,False,,a,10,40,52,362293,0,455616,0,0.1,12.4,Davis,241.0,2022-07-25,1999-12-31,False,p455084,2742,1,2,2,71,0,0,0,5,1,0,5,174,486.8,865.4,145.0,149.6,32,0.98,4.74,5.72,60.70,0,0,0,0,0,0,0,149,57,14,2,227,58,76,9,1.0,,4.0,,,,0.03,0.0,0.16,0.19,1.99,2.33,622,155,332,100,364,118,219,85,1.05,0.07,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,463034,0,0,1,-1,2,4,0.7,0.5,0,Liam,1.0,268,False,,2025-04-12T05:30:06.621186Z,56,463034.jpg,3.6,False,Delap,3.3,False,,a,10,40,132,1775209,0,1506229,0,0.2,23.6,Delap,241.0,2024-07-13,2003-02-08,False,p463034,2587,12,2,3,58,0,0,0,12,0,0,22,472,513.0,290.5,783.0,157.5,32,9.44,1.38,10.82,53.60,0,0,0,0,0,0,0,137,15,152,16,26,12,66,14,,,,,,,0.33,0.0,0.05,0.38,1.86,2.02,102,27,290,29,83,18,107,19,1.11,0.1,40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
