can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,536916,0,0,-5,5,1,3,1.5,1.5,1,Facundo,2.0,117,False,,2025-04-27T12:00:08.078339Z,45,536916.jpg,2.4,False,Buonanotte,0.4,False,,a,11,13,75,479398,0,461509,0,0.4,16.7,Buonanotte,10.0,2024-08-10,2004-12-23,False,p536916,1508,5,2,2,33,0,0,0,8,0,0,6,299,415.8,415.8,318.0,114.7,14,4.01,2.29,6.30,29.23,0,0,0,0,0,0,0,174,70,95,74,105,69,124,73,3.0,,,,,,0.24,0.0,0.14,0.38,1.74,1.97,451,284,192,82,220,91,275,84,0.84,0.12,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,80146,0,0,-4,4,0,3,3.0,3.3,2,Jordan,3.8,192,False,,2024-12-27T00:30:09.361030Z,51,80146.jpg,2.4,False,Ayew,0.2,False,,a,11,13,75,38197,0,69065,0,0.7,14.7,J.Ayew,81.0,2024-08-23,1991-09-11,False,p80146,1649,5,0,4,42,0,0,0,6,0,0,3,279,304.4,316.9,311.0,93.4,19,3.72,1.50,5.22,30.33,0,0,0,0,0,0,0,239,106,133,93,107,70,161,91,,,2.0,,2.0,,0.2,0.0,0.08,0.28,1.66,2.29,179,106,79,30,225,95,389,131,1.04,0.22,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,199670,0,0,-4,4,0,4,-0.5,-0.5,0,Odsonne,0.0,198,False,,2025-01-04T19:30:08.259088Z,51,199670.jpg,1.2,False,Edouard,0.2,False,,a,11,13,7,44591,0,102619,0,0.0,1.4,Edouard,73.0,2024-08-30,1998-01-16,False,p199670,141,0,0,0,3,0,0,0,0,0,0,0,14,5.0,25.0,50.0,8.0,1,0.39,0.07,0.46,3.72,0,0,0,0,0,0,0,519,52,421,49,341,45,456,48,,,,,,,0.25,0.0,0.04,0.29,2.37,1.91,184,45,760,73,441,46,360,57,0.64,0.0,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,225902,0,0,-1,1,0,3,1.0,1.3,2,Boubakary,1.8,285,False,,2024-12-09T09:30:06.376244Z,44,225902.jpg,1.5,False,Soumaré,0.3,False,,a,11,13,48,107787,0,102520,0,0.4,10.9,B.Soumaré,73.0,2021-07-02,1999-02-27,False,p225902,2165,0,0,1,52,0,0,0,8,0,0,0,327,294.2,261.8,47.0,60.4,25,0.29,0.94,1.23,46.48,0,0,0,0,0,0,0,242,109,166,116,345,184,265,137,,,,,,,0.01,0.0,0.04,0.05,1.93,2.16,517,316,206,88,382,177,320,98,1.04,0.04,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,461416,0,0,0,0,0,4,0.0,0.0,0,Tom,0.0,286,False,Loaned to Stoke City,2024-08-31T06:20:48.397195Z,45,461416.jpg,0.0,False,Cannon,0.3,False,,u,11,13,0,49177,0,156745,0,0.0,0.0,Cannon,104.0,2023-09-01,,False,p461416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,705,62,702,62,682,62,705,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,398,67,619,46,710,67,318,51,0.0,0.0,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,197469,0,0,-1,1,0,3,0.0,0.0,0,Hamza,0.0,287,False,Loaned to Sheffield United,2025-01-30T11:40:47.663636Z,44,197469.jpg,1.0,False,Choudhury,1.0,False,,u,11,13,4,474957,0,413990,0,0.0,0.9,Choudhury,18.0,2017-09-18,,False,p197469,129,0,0,0,5,0,0,0,0,0,0,0,29,33.8,30.4,6.0,7.0,1,0.00,0.19,0.19,5.28,0,0,0,0,0,0,0,461,209,402,212,449,228,465,217,,,,,,,0.0,0.0,0.13,0.13,3.68,3.49,509,315,568,200,483,214,205,64,0.7,0.0,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,94147,0,0,0,0,1,2,5.3,5.0,0,Conor,5.5,288,False,,2024-08-12T14:30:04.626270Z,40,94147.jpg,1.8,False,Coady,0.5,False,,a,11,13,39,87413,0,67838,0,1.4,9.8,Coady,241.0,2023-07-01,1993-02-25,False,p94147,1712,1,0,2,42,0,0,0,3,0,0,3,144,378.8,33.0,62.0,47.5,19,0.52,0.48,1.00,38.75,0,0,0,0,0,0,0,196,71,397,141,319,100,298,93,,,,,,,0.03,0.0,0.03,0.06,2.04,2.21,640,164,29,8,326,105,267,104,1.0,0.11,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,245419,0,0,-2,2,0,4,0.0,0.5,2,Patson,1.0,289,False,,2024-08-12T14:30:04.636525Z,48,245419.jpg,1.5,False,Daka,0.5,False,,a,11,13,34,233645,0,216761,0,0.2,7.1,Daka,238.0,2021-07-01,1998-10-09,False,p245419,717,1,0,1,16,0,0,0,0,0,0,2,108,86.0,41.7,148.0,27.0,6,1.25,0.06,1.31,17.37,0,0,0,0,0,0,0,409,38,378,42,224,39,373,39,,,,,3.0,,0.16,0.0,0.01,0.17,2.18,2.01,307,58,279,26,385,41,253,43,0.75,0.13,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,96994,0,0,-3,3,0,3,0.0,0.0,0,Bobby,0.0,290,False,Muscle injury - Expected back 01 Jun,2025-04-26T18:00:08.353099Z,52,96994.jpg,2.1,False,De Cordova-Reid,0.1,False,,i,11,13,48,9853,0,20982,0,0.0,9.2,De Cordova-Reid,107.0,2024-07-05,1993-02-02,False,p96994,734,1,4,1,17,0,0,0,2,0,0,2,145,102.2,84.4,72.0,26.0,9,0.79,0.14,0.93,14.61,0,0,0,0,0,0,0,398,187,316,183,305,170,375,187,,,,,,,0.1,0.0,0.02,0.12,1.79,2.08,164,98,764,327,282,125,525,197,1.1,0.12,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,218218,0,0,-2,2,0,2,3.3,3.5,1,Wout,4.0,291,False,,2025-04-11T00:00:08.480230Z,38,218218.jpg,1.6,False,Faes,5.2,False,,a,11,13,55,1556642,0,1726298,0,1.1,14.5,Faes,21.0,2022-09-01,1998-04-03,False,p218218,2812,1,0,3,63,0,0,0,4,0,0,2,241,678.0,68.5,121.0,86.9,30,1.52,0.40,1.92,58.54,0,0,0,0,0,0,0,65,26,338,110,249,71,180,53,,,,,,,0.05,0.0,0.01,0.06,1.87,2.02,780,265,59,15,360,114,72,24,0.96,0.1,13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
