can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,211975,0,0,-2,2,0,2,3.5,4.3,6,Manuel,3.8,340,False,,2025-02-12T09:00:09.174095Z,53,211975.jpg,2.3,False,Akanji,2.3,False,,a,13,43,61,435566,0,725398,0,0.7,11.5,Akanji,207.0,2022-09-01,1995-07-19,False,p211975,2012,0,0,6,28,0,0,0,3,0,0,1,307,339.8,249.8,100.0,68.9,23,1.57,1.30,2.87,29.72,0,0,0,0,0,0,0,220,82,175,37,275,81,238,76,,,,,,,0.07,0.0,0.06,0.13,1.33,1.25,152,19,81,22,245,78,130,49,1.03,0.27,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,126184,0,0,-2,2,0,2,0.5,0.5,0,Nathan,0.0,341,False,,2025-03-01T21:30:09.703817Z,53,126184.jpg,2.5,False,Aké,0.8,False,,a,13,43,25,73413,0,279388,0,0.0,4.7,Aké,152.0,2020-08-05,1995-02-18,False,p126184,677,0,0,3,11,0,0,0,0,0,0,0,121,104.6,33.7,20.0,15.9,8,0.22,0.17,0.39,13.44,0,0,0,0,0,0,0,394,141,394,139,403,142,418,145,,,,,,,0.03,0.0,0.02,0.05,1.79,1.46,145,16,767,264,215,69,229,89,1.06,0.4,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,165809,0,0,-4,4,2,3,6.2,5.5,3,Bernardo,5.0,342,False,,2025-03-15T22:00:08.783379Z,61,165809.jpg,3.3,False,Veiga de Carvalho e Silva,2.8,False,,a,13,43,110,979839,0,1228232,0,0.8,18.0,Bernardo,173.0,2017-07-01,1994-08-10,False,p165809,2667,4,4,10,36,0,0,0,7,0,0,13,568,603.0,800.4,532.0,193.6,29,3.84,4.56,8.40,39.68,0,0,0,0,0,0,0,100,38,20,16,56,36,39,31,4.0,,,,,,0.13,0.0,0.15,0.28,1.34,1.21,68,41,43,15,119,54,117,37,0.98,0.34,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,477555,0,0,-3,3,0,3,0.8,0.7,0,Oscar,0.2,343,False,,2025-05-09T16:00:08.760594Z,47,477555.jpg,1.0,False,Bobb,0.1,False,,a,13,43,3,5257,0,32204,0,0.0,0.6,Bobb,161.0,2022-01-06,2003-07-12,False,p477555,14,0,0,0,1,0,0,0,0,0,0,0,13,4.4,12.6,0.0,1.6,0,0.00,0.02,0.02,0.47,0,0,0,0,0,0,0,520,238,450,229,754,322,519,239,,,,,,,0.0,0.0,0.13,0.13,3.02,6.43,334,217,398,184,513,235,546,207,0.0,0.0,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,17601,0,0,-1,1,0,1,0.5,0.5,0,Scott,0.0,344,False,,,39,17601.jpg,0.0,False,Carson,0.2,False,,a,13,43,0,22375,0,23641,0,0.0,0.0,Carson,241.0,2021-07-20,1985-09-03,False,p17601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,572,45,550,25,501,4,572,45,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,732,62,416,29,582,46,363,52,0.0,0.0,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,61366,0,0,0,0,4,3,6.2,5.0,1,Kevin,4.5,345,False,,2024-09-18T23:00:07.299083Z,95,61366.jpg,4.1,False,De Bruyne,11.6,False,,a,13,43,114,2706405,0,2382547,0,0.5,12.0,De Bruyne,21.0,2015-08-30,1991-06-28,False,p61366,1694,4,9,10,19,0,0,0,2,0,0,12,462,466.6,920.0,411.0,179.5,19,5.17,6.75,11.92,21.47,0,0,0,0,0,0,0,156,59,12,11,79,51,55,38,1.0,,1.0,,4.0,,0.27,0.0,0.36,0.63,1.14,1.01,6,5,52,17,42,20,37,11,1.01,0.53,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,248875,0,0,-3,3,1,3,3.2,3.3,3,Jérémy,2.8,346,False,,2025-01-23T00:00:08.182578Z,62,248875.jpg,3.0,False,Doku,1.7,False,,a,13,43,88,581377,0,802508,0,0.5,14.2,Doku,21.0,2023-08-24,2002-05-27,False,p248875,1506,3,6,8,14,0,0,0,1,0,0,3,425,453.8,515.9,528.0,150.0,16,1.32,3.81,5.13,15.18,0,0,0,0,0,0,0,160,62,72,56,57,37,75,51,,,,,,,0.08,0.0,0.23,0.31,0.91,0.84,64,37,149,62,148,66,153,50,0.96,0.48,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,121160,0,0,-2,2,2,1,4.8,5.5,7,Ederson,5.0,347,False,,2025-04-12T20:00:08.389207Z,53,121160.jpg,4.3,False,Santana de Moraes,5.7,False,,a,13,43,111,885490,0,1169725,0,0.9,20.9,Ederson M.,30.0,2017-07-01,1993-08-17,False,p121160,2320,0,4,10,26,0,0,0,4,0,54,9,400,567.0,43.0,0.0,60.9,26,0.00,0.16,0.16,29.50,0,0,0,0,0,0,0,112,19,373,1,789,80,264,18,,,,,,,0.0,2.09,0.01,0.01,1.14,1.01,144,3,42,4,29,5,66,13,1.01,0.39,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,209244,0,0,-4,4,2,3,1.8,1.7,1,Phil,1.2,348,False,,2025-04-12T06:30:08.213792Z,91,209244.jpg,3.8,False,Foden,4.6,False,,a,13,43,105,1832067,0,3152061,0,0.1,11.5,Foden,241.0,2016-12-05,2000-05-28,False,p209244,1771,7,3,6,24,0,0,0,2,0,0,10,454,448.0,749.0,449.0,164.2,20,5.17,5.33,10.49,29.11,0,0,0,0,0,0,0,161,63,28,24,71,45,61,42,3.0,,,,,,0.26,0.0,0.27,0.53,1.48,1.22,9,6,265,127,67,33,82,24,1.02,0.3,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,114283,0,0,-1,1,0,3,0.8,0.7,0,Jack,0.2,349,False,,2025-02-12T09:00:09.233925Z,64,114283.jpg,1.9,False,Grealish,0.2,False,,a,13,43,38,55079,0,64648,0,0.0,5.9,Grealish,241.0,2021-08-05,1995-09-10,False,p114283,710,1,1,2,10,0,0,0,3,0,0,4,187,157.2,321.4,234.0,71.3,7,1.13,1.67,2.80,11.33,0,0,0,0,0,0,0,343,156,130,91,150,97,229,115,,,,,,,0.14,0.0,0.21,0.35,1.44,1.27,49,25,412,194,324,148,338,107,0.89,0.25,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,477424,0,0,5,-5,2,2,5.8,6.5,8,Joško,6.0,350,True,,2024-10-31T02:30:07.426838Z,65,477424.jpg,4.1,False,Gvardiol,38.6,False,,a,13,43,153,6026146,0,5098220,0,0.9,23.5,Gvardiol,97.0,2023-08-05,2002-01-23,False,p477424,3278,5,0,13,41,0,0,0,2,0,0,15,623,847.0,501.7,497.0,185.0,36,4.60,2.92,7.52,44.27,0,0,0,0,0,0,0,23,7,74,14,63,2,49,5,,,,,,,0.13,0.0,0.08,0.21,1.22,1.13,48,3,22,6,40,3,4,1,0.99,0.36,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,223094,0,0,-1,1,5,4,1.8,3.0,6,Erling,2.5,351,False,,2025-03-30T21:00:08.779885Z,149,223094.jpg,5.8,False,Haaland,24.0,False,,a,13,43,181,4294318,0,7443687,0,0.2,12.1,Haaland,161.0,2022-07-01,2000-07-21,False,p223094,2736,22,3,10,38,0,0,1,2,0,0,26,795,946.0,359.4,1511.0,281.8,31,21.90,2.04,23.94,41.27,0,0,0,0,0,0,0,11,2,114,9,2,1,6,2,,,3.0,,1.0,,0.72,0.0,0.07,0.79,1.36,1.25,1,1,165,16,5,2,13,5,1.02,0.33,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,461358,0,0,0,0,0,4,0.0,0.0,0,Julián,0.0,352,False,Transferred to Atletico Madrid,2024-08-13T07:07:51.627006Z,70,461358.jpg,0.0,False,Álvarez,0.1,False,,u,13,43,0,0,0,29626,0,0.0,0.0,J.Alvarez,,,,False,p461358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,803,86,803,86,803,86,803,86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30,14,799,85,802,86,476,67,0.0,0.0,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,121145,0,0,-2,2,0,2,0.0,0.0,0,João,0.0,353,False,Permanent transfer to Saudi club Al-Hilal,2024-08-29T11:05:25.670531Z,53,121145.jpg,0.0,False,Cavaco Cancelo,0.2,False,,u,13,43,0,4654,0,78784,0,0.0,0.0,João Cancelo,,,,False,p121145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,793,268,793,268,788,268,793,268,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,143,15,766,263,792,267,368,140,0.0,0.0,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,0.0,91651,0,0,-1,1,3,3,0.0,0.0,0,Mateo,2.0,354,False,,2025-05-21T00:00:08.373244Z,54,91651.jpg,3.5,False,Kovačić,1.2,False,,a,13,43,109,777810,0,787720,0,0.4,20.2,Kovačić,97.0,2023-06-27,1994-05-06,False,p91651,2194,6,3,10,29,0,0,0,5,1,0,13,542,606.4,579.3,204.0,139.1,25,1.91,3.21,5.11,31.50,0,0,0,0,0,0,0,97,36,58,48,174,111,89,59,,,,,,,0.08,0.0,0.13,0.21,1.29,1.19,123,76,197,86,94,42,180,58,1.03,0.41,43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
