can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,493250,0,0,3,-3,3,3,2.2,5.5,13,Amad,5.5,364,False,,2025-02-15T18:30:08.930349Z,53,493250.jpg,5.0,False,Diallo,4.1,False,,a,14,1,129,3991127,0,4001407,0,1.0,24.3,Amad,54.0,2021-01-07,2002-07-11,False,p493250,1898,8,8,7,30,0,0,0,5,0,0,17,569,634.0,687.2,615.0,193.8,20,4.71,3.98,8.69,31.71,0,0,0,0,0,0,0,77,26,39,33,49,30,38,30,3.0,,,,,,0.22,0.0,0.19,0.41,1.5,1.42,155,93,32,9,12,7,94,29,0.95,0.33,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,467169,0,0,-3,3,0,3,0.0,0.0,0,Antony Matheus,0.0,365,False,Loaned to Real Betis,2025-01-27T09:58:14.449507Z,57,467169.jpg,1.0,False,dos Santos,0.2,False,,u,14,1,8,18431,0,38780,0,0.0,1.4,Antony,30.0,2022-09-01,,False,p467169,135,0,0,0,2,0,0,0,0,0,0,0,37,35.0,50.7,74.0,15.8,0,0.60,0.21,0.81,2.05,0,0,0,0,0,0,0,458,206,360,198,302,169,419,199,,,,,,,0.4,0.0,0.14,0.54,1.37,1.33,98,65,784,337,526,244,380,123,0.0,0.0,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,141746,0,0,-1,1,3,3,1.8,2.5,7,Bruno,2.5,366,False,,2024-12-27T00:30:09.652602Z,84,141746.jpg,4.8,False,Borges Fernandes,13.7,False,,a,14,1,174,4812923,0,5343496,0,0.3,20.7,B.Fernandes,173.0,2020-01-30,1994-09-08,False,p141746,3017,8,12,10,47,0,0,0,3,2,0,28,810,1017.8,1407.7,587.0,300.8,35,9.93,7.89,17.82,45.85,0,0,0,0,0,0,0,8,4,1,1,51,32,4,4,1.0,,1.0,,1.0,,0.3,0.0,0.24,0.54,1.37,1.4,10,7,164,69,14,8,29,10,1.04,0.3,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,451302,0,0,-2,2,0,1,0.5,2.0,6,Altay,2.0,367,False,,2025-02-14T14:30:08.406927Z,43,451302.jpg,2.0,False,Bayindir,0.1,False,,a,14,1,8,13115,0,17199,0,0.5,1.9,Bayindir,219.0,2023-09-01,1998-04-14,False,p451302,360,0,0,1,10,0,0,0,0,0,8,0,22,80.0,0.0,0.0,7.9,4,0.00,0.00,0.00,6.93,0,0,0,0,0,0,0,415,35,659,74,628,58,458,35,,,,,,,0.0,2.0,0.0,0.0,1.73,2.5,584,28,188,16,292,37,446,61,1.0,0.25,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,61256,0,0,-4,4,1,3,1.0,1.0,2,Carlos Henrique,1.0,368,False,,2024-11-10T23:00:08.039181Z,46,61256.jpg,2.0,False,Casimiro,0.4,False,,a,14,1,48,130546,0,162297,0,0.2,10.4,Casemiro,30.0,2022-08-22,1992-02-23,False,p61256,1489,1,0,6,20,0,0,0,5,0,0,3,300,433.2,348.2,265.0,104.8,18,1.80,1.99,3.79,24.00,0,0,0,0,0,0,0,165,67,117,83,126,83,143,82,,,,,,,0.11,0.0,0.12,0.23,1.45,1.21,346,225,274,129,296,130,273,83,1.09,0.36,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,216051,0,0,0,0,3,2,0.0,0.2,1,Diogo,0.2,369,False,,2025-04-25T13:30:08.377875Z,50,216051.jpg,2.9,False,Dalot Teixeira,4.7,False,,a,14,1,95,1487754,0,1919171,0,0.0,19.0,Dalot,173.0,2018-06-08,1999-03-18,False,p216051,2812,0,4,8,45,0,0,0,5,0,0,9,352,493.2,434.2,258.0,118.2,31,1.96,2.35,4.31,46.95,0,0,0,0,0,0,0,146,56,89,16,132,14,119,27,,,,,,,0.06,0.0,0.08,0.14,1.5,1.44,209,26,405,132,154,42,80,27,0.99,0.26,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,80607,0,0,-3,3,0,3,1.5,2.8,6,Christian,2.8,370,False,,2024-11-01T10:30:06.566158Z,52,80607.jpg,2.0,False,Eriksen,0.2,False,,a,14,1,45,25596,0,38042,0,0.5,8.7,Eriksen,58.0,2022-07-15,1992-02-14,False,p80607,1052,1,2,4,16,0,0,0,4,0,0,0,228,235.8,474.3,79.0,78.9,11,1.31,2.60,3.91,18.54,0,0,0,0,0,0,0,277,126,81,63,298,167,204,105,2.0,,4.0,,,,0.11,0.0,0.22,0.33,1.59,1.37,160,96,144,60,303,136,382,125,0.94,0.34,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,37642,0,0,-1,1,1,2,0.0,0.2,1,Jonny,0.2,371,False,,2025-01-14T12:00:08.993380Z,44,37642.jpg,2.1,False,Evans,0.1,False,,a,14,1,15,9203,0,17912,0,0.0,3.4,Evans,242.0,2023-07-18,1988-01-03,False,p37642,312,0,0,1,2,0,0,0,1,0,0,3,71,66.6,5.3,23.0,9.5,3,0.11,0.02,0.13,2.96,0,0,0,0,0,0,0,426,154,474,167,394,138,447,156,,,,,,,0.03,0.0,0.01,0.04,0.85,0.58,496,82,384,128,267,85,484,170,0.87,0.29,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,493105,0,0,-6,6,2,3,4.0,3.5,0,Alejandro,3.5,372,False,,2024-10-07T15:30:06.108745Z,59,493105.jpg,2.9,False,Garnacho,4.7,False,,a,14,1,106,1273615,0,2554030,0,0.6,18.0,Garnacho,10.0,2022-04-15,2004-07-01,False,p493105,2188,6,4,5,36,0,0,0,3,0,0,7,370,454.0,532.2,904.0,188.3,23,7.40,2.76,10.16,35.43,0,0,0,0,0,0,0,159,61,66,53,17,9,42,32,,,,,,,0.3,0.0,0.11,0.41,1.46,1.48,86,56,99,41,157,69,78,22,0.95,0.21,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,465527,0,0,0,0,0,3,0.0,0.0,0,Hannibal,0.0,373,False,Permanent move to Burnley,2024-08-30T09:47:42.727251Z,45,465527.jpg,0.0,False,Mejbri,0.0,False,,u,14,1,0,1740,0,11919,0,0.0,0.0,Hannibal,,,,False,p465527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,709,281,706,281,686,272,709,281,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,402,249,623,231,714,282,613,242,0.0,0.0,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
