can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,106468,0,0,-3,3,1,2,0.5,0.5,0,Álex,0.0,26,False,,2025-04-01T21:30:07.812085Z,42,106468.jpg,2.3,False,Moreno Lopera,0.4,False,,a,16,17,34,104187,0,141697,0,0.0,8.1,Alex Moreno,200.0,2024-08-21,1993-06-08,False,p106468,952,0,1,3,16,0,0,0,2,0,0,1,126,200.8,134.5,29.0,36.4,11,0.17,1.10,1.27,13.94,0,0,0,0,0,0,0,310,116,261,73,383,131,337,112,,,,,,,0.02,0.0,0.1,0.12,1.32,1.51,607,141,541,215,234,73,292,112,1.04,0.28,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,159506,0,0,8,-8,4,2,1.5,1.5,1,Ola,1.0,422,False,,2025-04-01T22:30:08.809939Z,53,159506.jpg,3.7,False,Aina,13.0,False,,a,16,17,128,5010441,0,3861843,0,0.2,24.2,Aina,157.0,2023-07-22,1996-10-08,False,p159506,2996,2,1,12,39,0,0,0,5,0,0,15,483,578.2,282.3,80.0,94.1,35,0.63,2.25,2.88,40.59,0,0,0,0,0,0,0,109,41,157,32,297,89,160,43,,,,,,,0.02,0.0,0.07,0.09,1.22,1.17,146,17,286,84,70,10,32,11,1.05,0.36,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,215379,0,0,0,0,0,3,2.0,1.9,1,Elliot,1.4,423,False,,2024-11-13T15:30:08.535910Z,50,215379.jpg,2.9,False,Anderson,0.3,False,,a,16,17,107,84054,0,73428,0,0.3,21.4,Anderson,241.0,2024-07-01,2002-11-06,False,p215379,2726,2,6,13,37,0,0,0,10,0,0,8,526,638.8,605.2,308.0,155.6,33,2.04,3.51,5.55,40.36,0,0,0,0,0,0,0,76,25,55,46,108,71,69,47,3.0,,,,,,0.07,0.0,0.12,0.19,1.33,1.22,208,129,244,116,153,67,306,93,1.09,0.43,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,210156,0,0,-5,5,0,4,0.0,0.0,0,Taiwo,0.4,424,False,Abdominal injury - Expected back 01 Jun,2025-05-16T14:00:08.726296Z,55,210156.jpg,1.2,False,Awoniyi,0.3,False,,i,16,17,32,60961,0,127645,0,0.1,5.8,Awoniyi,157.0,2022-06-25,1997-08-12,False,p210156,398,1,0,1,10,0,0,0,0,0,0,0,89,67.0,40.9,118.0,21.9,3,2.15,0.12,2.27,6.65,0,0,0,0,0,0,0,424,41,381,43,255,40,392,41,,,,,,,0.49,0.0,0.03,0.52,1.5,2.26,109,29,365,36,443,48,305,49,0.68,0.23,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,90585,0,0,-3,3,0,2,0.5,0.5,0,Willy,0.0,425,False,,2024-09-11T12:30:07.170970Z,42,90585.jpg,1.0,False,Boly,0.1,False,,a,16,17,6,11976,0,28480,0,0.0,1.4,Boly,54.0,2022-09-01,1991-02-03,False,p90585,146,0,0,0,1,0,0,0,1,0,0,0,26,51.0,0.4,17.0,6.8,1,0.07,0.00,0.07,2.68,0,0,0,0,0,0,0,439,159,506,186,409,144,467,166,,,,,,,0.04,0.0,0.0,0.04,1.65,0.62,606,140,540,214,476,170,449,160,0.62,0.0,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,245830,0,0,0,0,0,3,0.0,0.0,0,Josh,0.0,426,False,Loaned to  Preston North End,2024-08-31T08:19:22.292913Z,45,245830.jpg,0.0,False,Bowler,0.0,False,,u,16,17,0,1220,0,6572,0,0.0,0.0,Bowler,,,,False,p245830,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,698,271,694,271,674,262,698,271,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,386,238,610,221,703,272,673,275,0.0,0.0,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,475123,0,0,-4,4,0,1,0.5,0.5,0,Carlos Miguel,0.0,427,False,,2025-02-14T12:30:08.621523Z,41,475123.jpg,0.0,False,dos Santos Pereira,0.1,False,,a,16,17,0,14594,0,38857,0,0.0,0.0,C.Miguel,30.0,2024-07-09,1998-10-09,False,p475123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,661,77,650,67,614,49,661,77,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,633,37,535,70,668,77,414,57,0.0,0.0,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,569014,0,0,-2,2,0,3,0.5,0.5,0,Eric,0.0,428,False,,,43,569014.jpg,1.0,False,da Silva Moreira,0.1,False,,a,16,17,2,22201,0,21652,0,0.0,0.5,Da Silva Moreira,80.0,2024-07-01,2006-05-03,False,p569014,28,0,0,0,0,0,0,0,0,0,0,0,9,5.2,0.3,0.0,0.6,0,0.00,0.00,0.00,0.31,0,0,0,0,0,0,0,514,237,512,249,634,246,533,245,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,598,347,565,198,482,213,463,168,0.0,0.0,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,513046,0,0,-3,3,0,3,0.7,0.7,0,Danilo,0.2,429,False,,2024-08-17T20:00:06.172553Z,47,513046.jpg,1.4,False,dos Santos de Oliveira,0.0,False,,a,16,17,11,3351,0,7267,0,0.0,2.3,Danilo,30.0,2023-01-16,2001-04-29,False,p513046,270,0,0,1,4,0,0,0,0,0,0,0,43,34.6,5.0,0.0,3.9,5,0.00,0.01,0.01,4.86,0,0,0,0,0,0,0,459,207,476,237,756,324,491,229,,,,,,,0.0,0.0,0.0,0.0,1.62,1.33,343,223,399,185,411,190,632,249,1.67,0.33,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,230251,0,0,-1,1,0,4,0.0,0.0,0,Emmanuel,0.0,430,False,Loaned to Blackburn Rovers,2025-02-04T10:29:11.830830Z,49,230251.jpg,0.0,False,Dennis,0.2,False,,u,16,17,0,49670,0,63989,0,0.0,0.0,Dennis,157.0,2022-08-13,,False,p230251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,777,77,776,76,765,77,777,77,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,257,53,729,65,778,78,365,58,0.0,0.0,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,250199,0,0,-2,2,0,3,2.0,2.1,2,Nicolás,1.6,431,False,,2024-12-21T21:30:08.505388Z,48,250199.jpg,1.6,False,Domínguez,0.0,False,,a,16,17,54,7223,0,8220,0,0.3,11.2,Dominguez,10.0,2023-09-01,1998-06-28,False,p250199,1954,0,1,7,27,0,0,0,9,0,0,0,292,410.2,247.2,237.0,89.4,23,1.58,1.58,3.16,31.90,0,0,0,0,0,0,0,177,73,178,122,147,94,170,94,,,,,,,0.07,0.0,0.07,0.14,1.47,1.24,308,200,227,106,375,174,580,224,1.06,0.32,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,449434,0,0,0,0,4,3,4.5,4.1,2,Anthony,3.6,432,False,,2025-04-05T20:30:07.053074Z,55,449434.jpg,4.0,False,Elanga,9.4,False,,a,16,17,153,2359170,0,1538449,0,0.7,27.8,Elanga,206.0,2023-07-25,2002-04-27,False,p449434,2496,6,11,12,35,0,0,0,1,0,0,15,535,627.0,785.4,582.0,199.8,31,4.81,5.12,9.93,38.74,0,0,0,0,0,0,0,84,30,24,20,52,33,30,24,2.0,,4.0,,,,0.17,0.0,0.18,0.35,1.4,1.26,116,72,87,34,44,21,42,13,1.12,0.43,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,222531,0,0,0,0,4,3,7.0,6.1,2,Morgan,5.6,433,False,,2025-03-30T02:00:09.046182Z,65,222531.jpg,4.5,False,Gibbs-White,7.4,False,,a,16,17,154,1860716,0,1540907,0,0.9,23.7,Gibbs-White,241.0,2022-08-19,2000-01-27,False,p222531,2806,7,11,13,34,0,0,0,9,1,0,18,594,680.4,793.7,632.0,210.6,34,6.31,4.68,10.99,41.21,0,0,0,0,0,0,0,64,20,23,19,47,28,22,17,,,2.0,,2.0,,0.2,0.0,0.15,0.35,1.32,1.09,44,22,28,8,23,12,50,16,1.09,0.42,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
