can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,225321,0,0,-1,1,4,1,2.0,2.3,3,Aaron,3.8,14,False,,2025-01-24T00:00:09.434398Z,44,225321.jpg,3.2,False,Ramsdale,1.3,False,,a,17,20,97,357661,0,340586,0,0.9,22.0,Ramsdale,241.0,2024-08-30,1998-05-14,False,p225321,2700,0,0,3,66,0,2,0,2,0,125,11,315,980.6,0.1,0.0,98.3,30,0.00,0.04,0.04,66.34,0,0,0,0,0,0,0,9,3,526,23,641,61,150,4,,,,,,,0.0,4.17,0.0,0.0,2.21,2.2,516,21,74,7,124,19,174,24,1.0,0.1,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,433979,0,0,-2,2,1,4,-0.5,-0.5,1,Cameron,1.0,27,False,,,48,433979.jpg,1.6,False,Archer,1.1,False,,a,17,20,57,554350,0,586667,0,0.2,11.9,Archer,241.0,2024-08-16,2001-12-09,False,p433979,1421,2,0,2,34,0,0,1,0,0,0,4,145,125.2,102.5,376.0,60.0,13,5.71,0.72,6.43,37.31,0,0,0,0,0,0,0,370,35,294,32,89,28,268,30,,,,,2.0,,0.36,0.0,0.05,0.41,2.36,2.15,310,60,280,27,376,40,191,27,0.82,0.13,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,503714,0,0,-1,1,0,3,-0.7,-0.7,2,Lesley,0.8,188,False,,2025-04-03T09:30:07.026958Z,44,503714.jpg,1.8,False,Ugochukwu,0.3,False,,a,17,20,47,81741,0,85086,0,0.2,10.7,Ugochukwu,73.0,2024-08-16,2004-03-26,False,p503714,1652,1,1,1,39,0,0,0,7,0,0,3,209,265.0,211.9,84.0,55.9,18,0.85,0.62,1.47,40.28,0,0,0,0,0,0,0,261,118,199,135,289,161,276,143,,,,,,,0.05,0.0,0.03,0.08,2.19,2.12,540,322,303,139,330,150,304,92,0.98,0.05,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,90105,0,0,-2,2,0,3,-1.5,-1.5,0,Ryan,0.0,397,False,,2025-01-31T16:00:09.299719Z,48,90105.jpg,0.9,False,Fraser,0.0,False,,a,17,20,7,2848,0,5195,0,0.0,1.5,Fraser,243.0,2024-08-30,1994-02-24,False,p90105,303,0,0,0,12,0,0,0,0,1,0,0,31,35.8,26.8,13.0,6.7,4,0.02,0.10,0.12,10.39,0,0,0,0,0,0,0,456,205,414,216,426,218,468,218,,,,,,,0.01,0.0,0.03,0.04,3.09,3.56,283,182,708,290,531,249,647,259,1.19,0.0,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,499724,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,451,False,Loaned to Strasbourg,2025-02-04T23:53:50.935089Z,44,499724.jpg,0.5,False,Amo-Ameyaw,0.1,False,,u,17,20,1,24416,0,29770,0,0.0,0.2,Amo-Ameyaw,241.0,2023-05-27,,False,p499724,26,0,0,0,0,0,0,0,1,0,0,0,1,4.0,16.1,6.0,2.6,0,0.02,0.13,0.15,1.11,0,0,0,0,0,0,0,522,239,438,225,450,229,499,233,,,,,,,0.07,0.0,0.45,0.52,3.84,0.0,539,321,583,205,555,255,483,175,0.0,0.0,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,193204,0,0,-1,1,0,3,-1.0,-1.0,0,Joe,0.5,452,False,,,49,193204.jpg,2.2,False,Aribo,0.1,False,,a,17,20,72,22304,0,24348,0,0.1,14.7,Aribo,157.0,2022-07-09,1996-07-21,False,p193204,2007,3,0,1,56,0,0,0,1,0,0,7,394,386.2,293.0,242.0,92.3,21,2.69,1.23,3.92,56.51,0,0,0,0,0,0,0,190,81,149,104,142,91,163,92,,,,,,,0.12,0.0,0.06,0.18,2.53,2.51,248,158,349,163,256,108,523,195,0.94,0.04,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,155511,0,0,-4,4,0,4,0.0,0.0,0,Adam,0.0,453,False,Loaned to West Bromwich Albion,2025-02-05T21:03:18.824040Z,51,155511.jpg,2.2,False,Armstrong,0.5,False,,u,17,20,45,273688,0,395522,0,0.0,8.8,Armstrong,241.0,2021-08-10,,False,p155511,1246,2,3,2,35,0,0,1,4,0,0,2,145,154.4,143.7,262.0,56.0,15,3.28,0.56,3.84,33.47,0,0,0,0,0,0,0,348,32,256,27,131,31,275,32,,,,,1.0,,0.24,0.0,0.04,0.28,2.42,2.53,181,44,758,72,261,30,261,44,1.08,0.14,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,456350,0,0,-2,2,0,1,0.0,0.0,0,Gavin,0.0,454,False,Loaned to Standard Liège,2025-02-04T10:28:52.236829Z,43,456350.jpg,0.0,False,Bazunu,0.1,False,,u,17,20,0,2973,0,26185,0,0.0,0.0,Bazunu,104.0,2022-06-17,2002-02-20,False,p456350,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,666,80,660,75,629,59,666,80,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,585,29,559,76,673,80,486,66,0.0,0.0,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,25.0,25.0,171771,0,0,0,0,0,2,0.2,0.1,0,Jan,2.0,455,False,Knee injury - 25% chance of playing,2025-05-18T20:30:07.797324Z,40,171771.jpg,2.0,False,Bednarek,1.9,False,,d,17,20,60,656501,0,608177,0,0.5,15.0,Bednarek,172.0,2023-01-23,1996-04-12,False,p171771,2531,2,0,3,57,0,0,0,7,0,0,3,283,770.6,78.3,71.0,91.9,30,0.65,0.84,1.49,57.80,0,0,0,0,0,0,0,39,16,324,103,306,94,165,46,,,,,,,0.02,0.0,0.03,0.05,2.06,2.03,643,166,184,53,289,92,143,55,1.07,0.11,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,477386,0,0,-1,1,0,2,-1.5,-1.5,0,Armel,0.0,456,False,,,39,477386.jpg,0.5,False,Bella-Kotchap,0.4,False,,a,17,20,2,61408,0,64327,0,0.0,0.5,Bella-Kotchap,80.0,2022-06-21,2001-12-11,False,p477386,329,0,0,0,13,0,0,0,0,0,0,0,7,64.6,2.3,4.0,7.0,2,0.32,0.01,0.33,10.67,0,0,0,0,0,0,0,428,156,487,176,459,167,464,164,,,,,,,0.09,0.0,0.0,0.09,2.92,3.56,763,251,435,139,551,190,291,111,0.55,0.0,20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
