can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,154566,0,0,-2,2,1,4,1.8,2.0,7,Dominic,2.0,82,False,,2025-05-01T23:00:07.858271Z,73,154566.jpg,4.0,False,Solanke-Mitchell,4.7,False,,a,18,6,108,2826385,0,5127407,0,0.3,14.8,Solanke,241.0,2024-08-10,1997-09-14,False,p154566,2199,9,5,4,43,1,0,0,0,0,0,7,404,505.8,199.8,729.0,142.1,25,10.89,1.13,12.02,40.14,0,0,0,0,0,0,0,139,16,210,22,33,14,85,18,,,,,,,0.45,0.0,0.05,0.5,1.64,1.76,22,9,199,19,48,14,81,17,1.02,0.16,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,548308,0,0,0,0,0,2,0.0,0.0,0,Ashley,0.0,478,False,Loaned to Stoke City,2024-08-26T10:10:07.966773Z,40,548308.jpg,0.0,False,Phillips,0.1,False,,u,18,6,0,8361,0,44512,0,0.0,0.0,A.Phillips,,,,False,p548308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,638,234,626,233,587,224,638,234,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,702,211,507,190,645,233,406,146,0.0,0.0,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,,,214572,0,0,0,0,0,1,0.0,0.0,0,Brandon,0.0,479,False,,,40,214572.jpg,1.0,False,Austin,0.4,False,,a,18,6,1,41189,0,47044,0,0.0,0.2,Austin,241.0,2017-07-22,1999-01-08,False,p214572,90,0,0,0,2,0,0,0,0,0,2,0,7,20.0,0.0,0.0,2.0,1,0.00,0.00,0.00,2.53,0,0,0,0,0,0,0,483,42,584,49,543,30,507,42,,,,,,,0.0,2.0,0.0,0.0,2.53,2.0,651,45,461,52,464,43,274,40,1.0,0.0,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,202993,0,0,-1,1,0,3,0.2,0.5,1,Rodrigo,0.5,480,False,,2025-02-17T10:00:09.911033Z,49,202993.jpg,1.9,False,Bentancur,0.1,False,,a,18,6,49,24694,0,41645,0,0.1,10.0,Bentancur,230.0,2022-01-31,1997-06-25,False,p202993,1640,2,0,3,26,0,0,0,9,0,0,1,293,324.6,208.5,165.0,70.2,21,1.36,1.02,2.38,26.87,0,0,0,0,0,0,0,229,103,203,137,207,125,233,119,,,,,,,0.07,0.0,0.06,0.13,1.47,1.43,253,162,351,164,318,144,443,157,1.15,0.16,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,570526,0,0,-1,1,0,3,0.0,0.0,0,Lucas,0.0,481,False,Ankle injury - Expected back 01 Jun,2025-05-01T23:00:08.545135Z,44,570526.jpg,1.6,False,Bergvall,0.8,False,,i,18,6,44,253610,0,268104,0,0.0,10.0,Bergvall,206.0,2024-07-01,2006-02-02,False,p570526,1200,0,2,3,25,0,0,0,3,0,0,0,216,237.2,218.7,97.0,55.0,11,0.71,0.82,1.53,24.33,0,0,0,0,0,0,0,276,125,190,131,277,154,278,145,,,,,,,0.05,0.0,0.06,0.11,1.82,1.88,548,330,589,211,368,169,230,73,0.82,0.23,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,50.0,227127,0,0,-2,2,1,3,0.5,0.6,1,Yves,1.2,482,False,,2025-05-24T20:00:08.632607Z,48,227127.jpg,1.8,False,Bissouma,0.2,False,,a,18,6,50,95124,0,99052,0,0.3,10.4,Bissouma,132.0,2022-06-17,1996-08-30,False,p227127,1396,2,0,3,28,0,0,0,7,0,0,4,258,283.8,133.8,59.0,48.0,16,0.64,0.48,1.12,26.38,0,0,0,0,0,0,0,250,112,262,161,324,178,296,151,,,,,,,0.04,0.0,0.03,0.07,1.7,1.81,303,197,253,118,335,154,337,106,1.03,0.19,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,436234,0,0,0,0,0,3,0.0,0.0,0,Bryan,0.0,483,False,On loan to Girona for the season,2024-07-31T11:08:25.895794Z,50,436234.jpg,0.0,False,Gil Salvatierra,0.0,False,,u,18,6,0,0,0,153,0,0.0,0.0,Bryan,,,,False,p436234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,783,336,782,336,775,334,783,336,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,217,136,744,317,783,336,793,341,0.0,0.0,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,115556,0,0,-2,2,0,2,0.8,0.5,-1,Ben,0.5,484,False,,2025-02-25T12:30:09.810172Z,43,115556.jpg,1.6,False,Davies,0.2,False,,a,18,6,28,19940,0,32145,0,0.1,6.5,Davies,244.0,2014-07-23,1993-04-24,False,p115556,1329,0,0,3,26,0,0,0,5,0,0,0,154,343.6,42.1,49.0,43.7,14,0.27,0.50,0.77,25.79,0,0,0,0,0,0,0,216,79,377,131,342,114,309,98,,,,,,,0.02,0.0,0.03,0.05,1.75,1.76,567,115,336,102,365,119,397,143,0.95,0.2,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,496179,0,0,0,0,0,3,0.0,0.0,0,Alfie,0.0,485,False,Loaned to Westerlo,2024-09-10T11:37:22.522366Z,45,496179.jpg,0.0,False,Devine,0.0,False,,u,18,6,0,4716,0,12913,0,0.0,0.0,Devine,,,,False,p496179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,718,288,715,288,696,279,718,288,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,418,258,635,239,723,289,567,216,0.0,0.0,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,493125,0,0,-2,2,0,2,0.0,0.0,0,Radu,0.0,486,False,Knee injury - Expected back 01 Jun,2025-01-31T15:00:09.267677Z,43,493125.jpg,1.5,False,Drăgușin,0.1,False,,i,18,6,24,56205,0,70397,0,0.0,5.6,Dragusin,177.0,2024-01-11,2002-02-03,False,p493125,1250,0,0,2,29,0,0,0,1,0,0,0,96,256.4,58.1,47.0,36.2,14,0.13,0.16,0.29,28.59,0,0,0,0,0,0,0,269,100,349,115,344,116,339,113,,,,,,,0.01,0.0,0.01,0.02,2.06,2.09,590,132,562,230,381,126,404,145,1.01,0.14,6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
