can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,100.0,100.0,487117,0,0,0,0,0,4,0.7,0.7,0,Evan,0.2,123,False,,2025-04-19T20:30:07.421417Z,55,487117.jpg,1.3,False,Ferguson,0.3,False,,a,19,21,28,90193,0,86868,0,0.0,5.1,Ferguson,104.0,2025-02-03,2004-10-19,False,p487117,385,1,0,1,9,0,0,0,0,0,0,2,97,80.0,68.5,104.0,25.0,3,1.13,0.66,1.79,6.39,0,0,0,0,0,0,0,416,39,339,36,268,41,378,40,,,5.0,,,,0.26,0.0,0.15,0.41,1.49,2.1,120,33,407,39,427,43,327,52,0.7,0.23,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,214590,0,0,0,0,4,2,5.7,6.7,5,Aaron,6.2,388,False,,2025-04-17T16:00:08.340512Z,45,214590.jpg,3.3,False,Wan-Bissaka,6.4,False,,a,19,21,118,1500048,0,1043373,0,1.4,26.2,Wan-Bissaka,241.0,2024-08-13,1997-11-26,False,p214590,3154,2,6,6,59,1,0,0,1,0,0,15,496,807.4,531.5,188.0,152.7,35,1.18,2.75,3.93,56.95,0,0,0,0,0,0,0,31,12,67,12,191,35,72,8,,,,,,,0.03,0.0,0.08,0.11,1.63,1.68,377,63,17,4,112,24,58,20,1.0,0.17,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,213999,0,0,0,0,0,3,0.7,1.3,2,Edson,0.8,511,False,,2025-04-25T00:00:08.647370Z,50,213999.jpg,1.4,False,Álvarez Velázquez,0.1,False,,a,19,21,40,16810,0,21389,0,0.2,8.0,Álvarez,139.0,2023-08-10,1997-10-24,False,p213999,1769,0,1,3,31,0,0,0,7,1,0,0,221,281.8,213.9,51.0,54.7,20,0.39,0.89,1.28,30.15,0,0,0,0,0,0,0,252,114,195,132,340,183,281,148,,,,,,,0.02,0.0,0.05,0.07,1.53,1.58,206,127,312,145,415,193,442,156,1.02,0.15,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,57531,0,0,-3,3,1,4,0.0,0.0,0,Michail,0.0,512,False,Leg injury - Unknown return date,2024-12-09T17:00:08.418178Z,52,57531.jpg,3.0,False,Antonio,0.8,False,,i,19,21,42,386496,0,484346,0,0.0,8.1,Antonio,107.0,2015-09-01,1990-03-28,False,p57531,834,1,4,4,18,0,0,0,1,0,0,3,111,72.0,139.5,194.0,39.5,11,2.20,0.91,3.11,17.83,0,0,0,0,0,0,0,419,40,260,28,185,37,326,36,,,,,,,0.24,0.0,0.1,0.34,1.92,1.94,159,41,762,74,144,21,225,39,1.19,0.43,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,100.0,100.0,84182,0,0,-3,3,0,1,4.3,3.5,0,Alphonse,3.0,513,False,,2025-01-16T22:00:08.950625Z,42,84182.jpg,2.7,False,Areola,7.2,False,,a,19,21,69,877867,0,1021415,0,0.7,16.4,Areola,73.0,2022-07-01,1993-02-27,False,p84182,2259,0,0,4,41,1,0,0,0,0,82,1,261,619.8,0.0,0.0,62.1,25,0.00,0.00,0.00,37.78,0,0,0,0,0,0,0,89,16,653,70,618,53,261,17,,,,,,,0.0,3.27,0.0,0.0,1.51,1.63,605,32,119,10,181,28,54,10,1.0,0.16,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,178186,0,0,4,-4,4,3,9.3,10.0,13,Jarrod,9.5,514,True,,2024-12-30T09:30:07.187593Z,79,178186.jpg,5.7,False,Bowen,18.0,False,,a,19,21,193,3689972,0,2430305,0,1.2,24.4,Bowen,241.0,2020-01-31,1996-12-20,False,p178186,2974,13,11,8,50,0,0,0,1,0,0,21,678,903.0,737.8,1081.0,271.9,34,8.60,6.47,15.07,51.12,0,0,0,0,0,0,0,17,5,30,26,7,3,8,5,2.0,,,,4.0,,0.26,0.0,0.2,0.46,1.55,1.51,13,10,4,1,6,4,19,6,1.03,0.24,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,164555,0,0,-4,4,0,2,2.3,2.5,1,Vladimír,2.0,516,False,,2025-02-21T03:30:10.428614Z,41,164555.jpg,1.2,False,Coufal,0.4,False,,a,19,21,27,43051,0,91093,0,0.5,6.6,Coufal,57.0,2020-10-02,1992-08-22,False,p164555,1056,0,0,2,21,1,0,0,5,0,0,1,89,204.0,142.0,70.0,41.3,11,0.37,0.89,1.25,19.80,0,0,0,0,0,0,0,308,114,258,72,309,96,317,102,,,,,,,0.03,0.0,0.08,0.11,1.69,1.79,629,159,187,56,431,147,283,108,0.94,0.17,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,55459,0,0,-1,1,1,2,2.5,2.7,1,Aaron,2.2,517,False,,2024-08-30T04:00:05.718151Z,39,55459.jpg,2.0,False,Cresswell,1.7,False,,a,19,21,36,258242,0,319638,0,0.6,9.2,Cresswell,241.0,2014-07-03,1989-12-15,False,p55459,818,0,0,3,8,0,0,0,3,0,0,3,159,148.4,152.3,14.0,31.4,10,0.23,1.89,2.12,13.03,0,0,0,0,0,0,0,351,128,243,65,420,149,359,120,,,2.0,,,,0.03,0.0,0.21,0.24,1.43,0.88,736,237,167,49,288,91,150,58,1.1,0.33,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,0.0,0.0,490885,0,0,0,0,0,3,0.0,0.0,0,George,0.0,519,False,Loaned to Bristol City,2024-08-16T11:57:26.531525Z,45,490885.jpg,0.0,False,Earthy,0.0,False,,u,19,21,0,0,0,8137,0,0.0,0.0,Earthy,,,,False,p490885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,715,285,712,285,693,276,715,285,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,414,255,632,236,720,286,654,266,0.0,0.0,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,109533,0,0,-1,1,2,2,1.7,1.3,0,Emerson,0.8,520,False,,2025-01-04T22:00:07.811285Z,44,109533.jpg,2.5,False,Palmieri dos Santos,0.6,False,,a,19,21,76,151170,0,172254,0,0.2,17.3,Emerson,106.0,2022-08-23,1994-08-03,False,p109533,2108,2,1,5,41,0,0,0,5,0,0,4,219,420.4,310.9,173.0,90.4,26,1.95,2.19,4.14,37.51,0,0,0,0,0,0,0,172,65,138,27,202,41,169,49,3.0,,1.0,,,,0.08,0.0,0.09,0.17,1.6,1.75,500,86,299,89,207,65,252,97,1.11,0.21,21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
