can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,0.0,0.0,101982,0,0,-4,4,0,1,0.0,0.0,0,Sam,0.0,204,False,Knock - Unknown return date,2025-04-18T15:30:07.848146Z,41,101982.jpg,1.7,False,Johnstone,0.2,False,,i,20,39,12,56218,0,83029,0,0.0,2.9,Johnstone,241.0,2024-08-30,1993-03-25,False,p101982,630,0,0,0,17,0,0,0,0,0,23,0,42,193.8,10.0,0.0,20.4,7,0.00,0.00,0.00,12.98,0,0,0,0,0,0,0,318,29,463,15,613,48,396,29,,,,,,,0.0,3.29,0.0,0.0,1.85,2.43,627,36,534,69,346,38,328,49,1.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,448514,0,0,6,-6,5,2,3.5,1.2,2,Rayan,1.2,533,False,,2024-12-14T21:30:08.057496Z,51,448514.jpg,3.4,False,Aït-Nouri,15.0,False,,a,20,39,125,3944482,0,2534119,0,0.2,24.5,Aït-Nouri,3.0,2021-07-09,2001-06-06,False,p448514,3112,4,7,7,67,0,0,0,5,1,0,13,447,778.4,694.3,435.0,191.0,37,2.69,3.98,6.67,53.27,0,0,0,0,0,0,0,36,14,37,5,75,3,41,3,,,,,,,0.08,0.0,0.12,0.2,1.54,1.94,188,25,259,74,107,22,26,10,1.07,0.2,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,2,Defenders,DEF,Defender,DEF,5,,,3,5,False,[],268
True,False,100.0,100.0,476502,0,0,-2,2,0,3,0.0,0.0,0,Boubacar,0.0,534,False,,2025-01-14T13:30:09.399865Z,48,476502.jpg,1.0,False,Traoré,0.0,False,,a,20,39,1,2322,0,7081,0,0.0,0.2,B.Traore,132.0,2023-07-01,2001-08-20,False,p476502,1,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.0,0.0,0.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,524,241,772,330,760,326,538,247,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,313,203,721,300,517,237,634,251,0.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,231057,0,0,-1,1,2,3,2.2,2.2,1,Jean-Ricner,2.2,535,False,,2025-04-14T08:30:08.180694Z,49,231057.jpg,2.6,False,Bellegarde,0.2,False,,a,20,39,90,89095,0,79933,0,0.4,18.4,Bellegarde,73.0,2023-09-01,1998-06-27,False,p231057,1666,2,7,6,31,0,0,0,3,0,0,5,332,355.6,422.8,200.0,97.2,20,1.46,2.74,4.20,26.55,0,0,0,0,0,0,0,207,91,92,71,177,112,152,88,,,1.0,,,,0.08,0.0,0.15,0.23,1.43,1.67,258,164,177,76,194,81,395,134,1.08,0.32,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,,,79602,0,0,-1,1,0,1,0.5,0.5,0,Daniel,0.5,536,False,,,39,79602.jpg,4.5,False,Bentley,1.7,False,,a,20,39,9,158234,0,198548,0,0.1,2.3,Bentley,241.0,2023-01-25,1993-07-13,False,p79602,180,0,0,1,4,0,0,0,0,0,8,1,29,60.0,0.0,0.0,6.0,2,0.00,0.00,0.00,3.01,0,0,0,0,0,0,0,429,37,553,28,505,8,472,37,,,,,,,0.0,4.0,0.0,0.0,1.5,2.0,737,66,327,23,18,1,151,22,1.0,0.5,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,0.0,0.0,510363,0,0,0,0,0,3,0.0,0.0,0,Francisco Jorge,0.0,537,False,Season long loan to RCD Mallorca,2024-09-01T09:12:21.111329Z,45,510363.jpg,1.0,False,Tomás Oliveira,0.1,False,,u,20,39,1,11572,0,28167,0,0.0,0.2,Chiquinho,,,,False,p510363,6,0,0,0,0,0,0,0,0,0,0,0,4,3.0,14.3,2.0,1.9,0,0.00,0.05,0.05,0.00,0,0,0,0,0,0,0,532,245,443,227,474,238,512,237,,,,,,,0.0,0.0,0.75,0.75,0.0,0.0,428,267,643,246,496,224,513,189,0.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,497606,0,0,0,0,0,3,0.0,0.0,0,Tawanda,0.0,538,False,Loaened to Derby County,2024-08-27T08:37:28.318365Z,45,497606.jpg,0.0,False,Chirewa,0.0,False,,u,20,39,0,1909,0,8974,0,0.0,0.0,Chirewa,239.0,2023-12-01,,False,p497606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,721,291,718,291,699,282,721,291,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,421,261,638,242,726,292,652,264,0.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,0.0,0.0,589507,0,0,-1,1,0,4,0.0,0.0,0,Leon,0.0,539,False,Knee injury - Expected back 01 Jun,2025-02-05T18:30:09.160636Z,44,589507.jpg,0.0,False,Chiwome,1.1,False,,i,20,39,0,586264,0,512465,0,0.0,0.0,Chiwome,241.0,2024-03-08,2006-01-10,False,p589507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,684,59,679,58,655,59,684,59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,552,87,591,42,689,64,194,29,0.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
True,False,0.0,0.0,245923,0,0,0,0,0,3,0.0,0.0,0,Luke,0.0,540,False,Loaned to Millwall,2025-02-03T10:24:24.082682Z,45,245923.jpg,0.0,False,Cundle,0.1,False,,u,20,39,0,33477,0,38180,0,0.0,0.0,Cundle,241.0,2019-07-16,,False,p245923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,699,272,695,272,675,263,699,272,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,387,239,611,222,704,273,408,141,0.0,0.0,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,3,Midfielders,MID,Midfielder,MID,5,,,2,5,False,[],347
True,False,100.0,100.0,430871,0,0,5,-5,4,4,4.5,1.2,2,Matheus,1.2,541,False,,2025-03-01T21:30:10.092930Z,70,430871.jpg,5.4,False,Santos Carneiro Da Cunha,13.6,False,,a,20,39,178,7151160,0,5977266,0,0.2,25.4,Cunha,30.0,2023-07-01,1999-05-27,False,p430871,2596,15,7,7,54,0,0,0,4,0,0,41,838,936.2,847.8,940.0,272.2,29,8.73,5.29,14.02,44.53,0,0,0,0,0,0,0,13,3,16,1,15,8,7,3,1.0,,3.0,,3.0,,0.3,0.0,0.18,0.48,1.54,1.87,28,12,264,24,8,4,30,7,1.01,0.24,39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38,4,Forwards,FWD,Forward,FWD,3,,,1,3,False,[],87
