id,name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,win,draw,loss,played,points,position
1,Arsenal,5,1350,1350,1390,1400,1310,1300,0,0,0,0,0,2
2,Aston Villa,3,1145,1240,1130,1180,1160,1300,0,0,0,0,0,6
3,Bournemouth,3,1170,1200,1120,1180,1220,1220,0,0,0,0,0,9
4,Brentford,3,1130,1180,1100,1100,1160,1260,0,0,0,0,0,10
5,Brighton,3,1140,1165,1090,1140,1190,1190,0,0,0,0,0,8
6,Chelsea,3,1155,1235,1120,1170,1190,1300,0,0,0,0,0,4
7,Crystal Palace,3,1150,1155,1140,1140,1160,1170,0,0,0,0,0,12
8,Everton,3,1120,1145,1160,1160,1080,1130,0,0,0,0,0,13
9,Fulham,3,1155,1155,1150,1150,1160,1160,0,0,0,0,0,11
10,Ipswich,2,1065,1065,1040,1040,1090,1090,0,0,0,0,0,19
11,Leicester,2,975,975,1000,1020,990,990,0,0,0,0,0,18
12,Liverpool,5,1350,1370,1320,1360,1380,1380,0,0,0,0,0,1
13,Man City,4,1220,1270,1160,1170,1280,1370,0,0,0,0,0,3
14,Man Utd,3,1095,1135,1120,1130,1070,1140,0,0,0,0,0,15
15,Newcastle,4,1220,1255,1150,1170,1290,1340,0,0,0,0,0,5
16,Nott'm Forest,4,1220,1290,1190,1330,1250,1250,0,0,0,0,0,7
17,Southampton,2,975,975,1000,1000,990,990,0,0,0,0,0,20
18,Spurs,3,1100,1170,1060,1070,1210,1270,0,0,0,0,0,17
19,West Ham,3,1090,1100,1090,1090,1090,1110,0,0,0,0,0,14
20,Wolves,3,1125,1145,1100,1120,1150,1170,0,0,0,0,0,16
