can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,code_team,draw,form_team,id_team,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,id_position,plural_name,plural_name_short,singular_name,singular_name_short,squad_select,squad_min_select,squad_max_select,squad_min_play,squad_max_play,ui_shirt_specific,sub_positions_locked,element_count
True,False,,,111234,0,0,2,-2,5,1,3.3,5.0,11,Jordan,5.5,235,True,,,52,111234.jpg,4.2,False,Pickford,15.9,False,,a,8,11,158,2522034,0,2440525,0,1.1,30.4,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,3420,0,1,12,44,0,2,0,7,0,122,15,593,1052.0,20.3,0.0,107.0,38,0.00,0.22,0.22,46.11,0,0,0,0,0,0,0,5,2,429,5,787,79,140,2,,,,,,,0.0,3.21,0.01,0.01,1.21,1.16,165,6,30,2,32,6,24,3,1.0,0.32,11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,85633,0,0,7,-7,3,1,2.3,2.3,2,Matz,1.8,443,False,,2024-10-12T11:00:07.468908Z,52,85633.jpg,3.9,False,Sels,19.9,False,,a,16,17,150,3541533,0,1554132,0,0.3,28.8,Sels,21.0,2024-02-01,1992-02-26,False,p85633,3420,0,1,13,46,0,0,0,4,0,120,11,521,942.2,20.2,0.0,96.7,38,0.00,0.26,0.26,50.17,0,0,0,0,0,0,0,12,5,430,6,785,77,154,5,,,,,,,0.0,3.16,0.01,0.01,1.32,1.21,161,4,218,18,51,9,17,2,1.0,0.34,17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,154561,0,0,1,-1,3,1,4.8,4.5,2,David,3.0,15,False,,2025-01-30T11:00:08.979724Z,56,154561.jpg,3.7,False,Raya Martin,32.6,False,,a,1,3,142,4184559,0,3511572,0,0.5,25.4,Raya,200.0,2024-07-04,1995-09-15,False,p154561,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,38,0.00,0.03,0.03,35.03,0,0,0,0,0,0,0,43,11,458,12,796,82,212,11,,,,,,,0.0,2.26,0.0,0.0,0.92,0.89,101,1,133,14,73,12,6,1,1.0,0.34,3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,118342,0,0,0,0,2,1,6.2,5.6,3,Mark,5.6,91,False,,2025-02-03T02:00:08.276126Z,45,118342.jpg,3.7,False,Flekken,10.0,False,,a,4,94,138,1835614,0,1826995,0,1.2,30.7,Flekken,152.0,2023-07-01,1993-06-13,False,p118342,3275,0,2,7,55,0,0,0,1,0,153,12,584,1298.4,30.3,0.0,132.5,37,0.00,0.11,0.11,54.82,0,0,0,0,0,0,0,2,1,403,2,664,68,96,1,,,,,,,0.0,4.2,0.0,0.0,1.51,1.51,367,16,27,1,69,11,40,7,1.02,0.19,94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,172649,0,0,1,-1,3,1,2.3,2.0,2,Dean,3.0,201,False,,2025-01-12T22:00:08.068713Z,46,172649.jpg,3.6,False,Henderson,11.7,False,,a,7,31,135,1875205,0,2293286,0,0.7,29.3,Henderson,241.0,2023-08-31,1997-03-12,False,p172649,3420,0,0,11,51,0,1,0,3,0,104,8,466,853.6,30.0,4.0,88.6,38,0.01,0.02,0.03,50.33,0,0,0,0,0,0,0,20,6,406,4,465,2,172,6,,,,,,,0.0,2.74,0.0,0.0,1.32,1.34,352,13,125,12,78,13,36,5,1.0,0.29,31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,215059,0,0,0,0,2,1,4.3,3.5,6,Robert,4.0,185,False,,2025-05-01T00:30:08.074171Z,45,215059.jpg,3.9,False,Sánchez,6.2,False,,a,6,8,126,2374350,0,2101220,0,0.9,28.0,Sánchez,200.0,2023-08-05,1997-11-18,False,p215059,2880,0,0,10,34,0,1,0,5,0,95,11,470,755.6,20.0,0.0,77.5,32,0.00,0.02,0.02,38.55,0,0,0,0,0,0,0,42,10,431,7,670,69,208,10,,,,,,,0.0,2.97,0.0,0.0,1.2,1.06,378,17,60,5,50,8,62,11,1.0,0.31,8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,202641,0,0,-1,1,1,1,1.0,0.5,0,André,0.5,383,False,,,49,202641.jpg,3.5,False,Onana,5.0,False,,a,14,1,120,1185049,0,1391174,0,0.1,24.5,Onana,38.0,2023-07-20,1996-04-02,False,p202641,3060,0,0,9,44,0,1,0,0,0,90,8,443,733.0,13.0,0.0,74.7,34,0.00,0.20,0.20,47.79,0,0,0,0,0,0,0,49,13,445,10,764,73,219,13,,,,,,,0.0,2.65,0.01,0.01,1.41,1.29,252,10,350,25,91,16,74,14,1.0,0.26,1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,,,80201,0,0,0,0,1,1,2.5,2.5,2,Bernd,3.0,248,False,,,50,80201.jpg,3.0,False,Leno,2.9,False,,a,9,54,115,594796,0,587626,0,0.6,23.0,Leno,80.0,2022-08-02,1992-03-04,False,p80201,3420,0,2,5,54,0,1,0,5,0,110,5,475,967.0,20.0,0.0,98.6,38,0.00,0.03,0.03,47.75,0,0,0,0,0,0,0,10,4,432,8,770,74,149,3,,,,,,,0.0,2.89,0.0,0.0,1.26,1.42,195,7,128,13,142,21,114,17,1.0,0.13,54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,100.0,100.0,116535,0,0,0,0,2,1,3.5,3.8,3,Alisson,2.8,310,False,,2025-03-22T01:00:07.863924Z,55,116535.jpg,4.0,False,Ramses Becker,8.4,False,,a,12,14,112,1648407,0,2025060,0,0.5,20.4,A.Becker,30.0,2018-07-19,1992-10-02,False,p116535,2508,0,0,10,29,0,0,0,0,0,78,9,451,628.8,13.0,0.0,64.0,28,0.00,0.20,0.20,27.10,0,0,0,0,0,0,0,81,15,446,11,794,81,255,15,,,,,,,0.0,2.8,0.01,0.01,0.97,1.04,104,2,148,15,43,7,46,8,1.0,0.36,14,0,,12,0,Liverpool,0,0,1,LIV,5,,False,0,1350,1370,1320,1360,1380,1380,10,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
True,False,0.0,100.0,98980,0,0,0,0,2,1,7.7,5.2,-2,Emiliano,5.2,47,False,Suspended until 23 Aug,2025-05-25T18:00:07.245002Z,50,98980.jpg,3.0,False,Martínez Romero,13.3,False,,s,2,7,111,1948436,0,1972857,0,1.0,22.2,Martinez,10.0,2020-09-16,1992-09-02,False,p98980,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,37,0.00,0.02,0.02,44.99,0,0,0,0,0,0,0,24,8,433,9,772,76,184,7,,,,,,,0.0,2.82,0.0,0.0,1.27,1.32,198,9,36,3,143,22,31,4,1.04,0.23,7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2,1,Goalkeepers,GKP,Goalkeeper,GKP,2,,,1,1,True,[12],82
