id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,bonus,minutes,form
328,M.Salah,12,3,136,344,29,18,55,3374,4.0
99,Mbeumo,4,3,83,236,20,9,29,3415,5.2
182,Palmer,6,3,105,214,15,10,35,3193,4.2
401,Isak,15,4,94,211,23,6,36,2758,3.2
447,Wood,16,4,72,200,20,3,41,2958,3.2
514,Bowen,19,3,79,193,13,11,21,2974,9.5
58,Watkins,2,4,92,186,16,8,32,2593,4.5
110,Wissa,4,4,69,185,18,6,32,2921,5.2
327,Luis Díaz,12,3,75,183,13,7,21,2393,2.8
351,Haaland,13,4,149,181,22,3,26,2736,2.5
541,Cunha,20,4,70,178,15,7,41,2596,1.2
366,B.Fernandes,14,3,84,174,8,12,28,3017,2.5
78,Semenyo,3,3,57,165,11,7,14,3202,6.0
54,Rogers,2,3,58,161,8,11,15,3115,4.0
402,J.Murphy,15,3,52,159,8,13,11,2356,2.5
71,Kluivert,3,3,59,158,12,6,14,2339,1.8
235,Pickford,8,1,52,158,0,1,15,3420,5.5
247,Iwobi,9,3,54,156,9,6,16,2981,1.8
433,Gibbs-White,16,3,65,154,7,11,18,2806,5.6
350,Gvardiol,13,2,65,153,5,0,15,3278,6.0
432,Elanga,16,3,55,153,6,11,15,2496,3.6
23,Trossard,1,3,67,152,8,8,18,2546,4.0
207,Mateta,7,4,75,150,14,2,27,2642,1.5
443,Sels,16,1,52,150,0,1,11,3420,1.8
106,Schade,4,3,53,149,11,4,12,2281,7.4
585,I.Sarr,7,3,55,149,8,7,14,2708,5.5
199,Eze,7,3,70,148,8,8,15,2588,8.8
311,Alexander-Arnold,12,2,72,148,3,7,13,2362,0.5
252,Raúl,9,4,53,147,12,3,26,2486,5.5
136,Mitoma,5,3,63,145,10,5,12,2597,2.8
573,Milenković,16,2,52,145,5,2,2,3330,2.8
566,Strand Larsen,20,4,52,145,14,4,17,2587,4.0
336,Szoboszlai,12,3,61,143,6,10,14,2485,3.8
339,Virgil,12,2,67,143,3,1,8,3330,2.0
15,Raya,1,1,56,142,0,0,10,3420,3.0
211,Muñoz,7,2,52,142,4,6,9,3229,3.8
91,Flekken,4,1,45,138,0,2,12,3275,5.6
742,Moyes,8,5,5,137,0,0,0,0,10.8
491,Johnson,18,3,62,137,11,6,13,2171,0.8
168,Enzo,6,3,47,135,6,8,11,2943,4.0
201,Henderson,7,1,46,135,0,0,8,3420,3.0
394,Bruno G.,15,3,62,135,5,6,10,3273,3.2
70,Kerkez,3,2,53,134,2,6,10,3336,2.8
163,Cucurella,6,2,54,133,5,2,14,2988,6.5
494,Maddison,18,3,74,133,9,8,15,1799,0.0
268,Delap,10,4,56,132,12,2,22,2587,1.0
89,Damsgaard,4,3,49,131,2,10,10,2911,3.0
18,Saliba,1,2,64,130,2,0,14,3039,0.8
392,Barnes,15,3,59,130,9,5,13,1746,2.2
436,Murillo,16,2,47,130,2,0,18,3188,2.8
